2:29:001:1	Éran áádóó biye'ké ats'á'nil
2:29:001:0	Daho'didoolzįh biniyé kót'éego ádahodoohłííł, áko nááda'iiłniihii dajílį́įgo shá nidajil'a' doo. Dóola yázhí hadaałt'éii índa deenásts'aa' naakigo hadaałt'éii, 
2:29:002:0	índa díík'ǫsh t'áágééd bááh ályaii áádóó díík'ǫsh t'áágééd łees'áán ak'ah bił ályaii, índa bááh dá'áka'í nahalinígíí ak'ah bee yistłahgo ályaii shóidííłt'eeł. Tł'oh naadą́ą́' ak'áán bee ádadííliił. 
2:29:003:0	Éí ts'aa' t'ááłá'í biih dííniłgo bee dííkááł, índa dóola yázhí áádóó deenást'aa' naakigo díí'ish. 
2:29:004:0	Níbaal bii' dahozdísinii bich'é'étiinjį' Éran áádóó biye'ké nidíí'ishgo tó bee táádahodíígis. 
2:29:005:0	Éé' nídidííniłgo éé' nineezígíí áádóó éé' agod ta'jį' nineel'ánígíí áádóó íífad wolyéii índa íífad bikáa'gi ayidgi dah siłtsooz dooígíí Éran bee hadidíílííł, áádóó sis íífad bąąh nít'i'go baa nahodeesgį'go yistł'ónígíí bee áká hodíílzis, 
2:29:006:0	áádóó ch'ah dijoolí bee ál'ínígíí hatsiinídííłt'ih, índa átáa'gi dah sitą́ą dooígíí hátáa'gi dah díítį́į́ł. 
2:29:007:0	Áko ak'ah ak'i yahiidzídígíí nídidííkááł, índa hatsii'káa'gi yeidííziłgo bee ho'doolzį́į' doo. 
2:29:008:0	Áko índída haye'ké ałdó' nídidíí'ishgo íífad biyaadi éé' nineezígíí bee hadahodidííliił; 
2:29:009:0	sis bee áká dahodíílzis índa ch'ah dijoolí dahach'ahgo ádahodííliił; náá'iiłniihii binaanishgo ahóyéel'áágóó yee nihoní'áanii át'ée doo. Éran áádóó biye'ké diyingo bits'ąą hasti'ii dajílį́įgo áhodíílííł. 
2:29:010:0	Áko níbaal bii' dahozdísinii bich'éédą́ą'gi dóola yázhí díílóosgo Éran áádóó biye'ké éí dóola yázhí bitsii'káa'gi dah dahizhdilníih doo, 
2:29:011:0	índa níbaal bii' dahozdísinii bich'éédą́ą'gi Bóhólníihii binááł diyííłhééł, 
2:29:012:0	áádóó dóola yázhí bidił łahjį' nídidííkáałgo níla' bee bikáá' náá'iiniihí bidee' hadaaz'áhígíí dadíídlish, índa yidziihígíí bikáá' náá'iiniihí bitsį́įjį' yeidííził. 
2:29:013:0	Bitsą́ siláii bąąh ak'ahígíí áádóó azid bíighahgi ak'ahígíí índa atsą́ áshk'azhí bąąh ak'ahígíí t'áá bił nídidííniłgo bikáá' náá'iiniihí bikáa'gi didííłił. 
2:29:014:0	Nidi dóola yázhí bitsį' áádóó bikágí índa bichaan éí níbaal haal'áhídóó bits'áhwiiní'ą́ądi didííłił; ádił ni'iidzííhjí nááhániihii át'é. 
2:29:015:0	Ákohgo deenásts'aa' ła' nínáádidíídlóosgo Éran áádóó biye'ké éí deenásts'aa' bitsii'káa'gi dah dahizhdilníih doo. 
2:29:016:0	Áádóó deenásts'aa' diyííłhéełgo bidił nídidííkáałgo bikáá' náá'iiniihí t'áá ałtsodę́ę́' bik'ídííłtah. 
