2:38:001:1	Didlidgo nááhániihii bá bikáá' náá'iiniihí
2:38:001:0	Didlidgo nááhániihii biniyé bikáá' náá'iiniihí tsin nitł'izii yee áyiilaa; tsosts'id ké siláádóó ná'áłníi'go áníłnééz áádóó naaniigo tsosts'id ké siláádóó ná'áłníi'go áníłtéél, áko dik'ą́ągo áyiilaa índa dego éí dį́į́' ké siláádóó ná'áłníi'go ánízah. 
2:38:002:0	Dį́į'go naanáz'áhídóó adee' hadaaz'áago t'áá ła' bizhi'ee áyiilaa, índa béésh łitsoii yik'íísti'. 
2:38:003:0	Bikáá' náá'iiniihí bił chodao'ínígíí t'áá ałtso áyiilaa: ásaa' éí łeeshch'iih bee hadahakaahí áádóó ásaa' dantsaaígíí áádóó bíla'táa'ii danineezígíí índa tsííd bee naakáhí éí t'áá ałtso béésh łitsoii yee áyiilaa. 
2:38:004:0	Bikáá' náá'iiniihí bá béésh łitsoii ałnáshizhoozhgo bikáá' at'eesí áyiilaa; bikáá' náá'iiniihí bidáa'gi ahééní'áhídóó yaago a łníi'gi béésh łitsoii ałnáshizhoozhgo bikáá' at'eesí dah si'ą́ągo áyiilaa. 
2:38:005:0	Béésh łitsoii ałnáshizhoozhígíí t'áá dį́į'go naanáz'áhígi béésh łitsoii názbąsii yídeidiyiiłhį́į́'; éí tsin níyizii ii' ní'áago bee naat'áa doo biniyé áyiilaa. 
2:38:006:0	Tsin nitł'izii níyizgo béésh łitsoii bik'ésti'go áyiilaa. 
2:38:002:1	Bii' tá'ádígisí álnéhígíí
2:38:007:0	Bikáá' náá'iiniihí booshk'iizh t'áá ałch'ishjí béésh łitsoii názbąsii yii' tsin níyizii yideeztsiígíí bee naat'áa doogo áyiilaa; tsin nitł'izii tsits'aa'go áyiilaa, nidi biyaadę́ę́' t'áá biih hool'á. 
2:38:003:1	Níbaal bii' hodílzinii binaa haz'ánígíí
2:38:008:0	Áádóó bii' tá'ádígisí índa bá si'ánígíí béésh łitsoii yee áyiilaa; sáanii éí níbaal bii' dahozdísinii bich'éédą́ą'gi nidaal'a'ígíí béésh łitsoii bii' adéest'į́į́' nideijaah yę́ę áajį' adayiiznilgo éí yee bii' tá'ádígisí índa bá si'ánígíí áyiilaa. 
