51:4:001:1	An Encouragement for Prayer
51:4:001:0	Masters , be just and fair to your slaves . Remember that you also have a Master — in heaven .
51:4:002:0	Devote yourselves to prayer with an alert mind and a thankful heart .
51:4:003:0	Pray for us , too , that God will give us many opportunities to speak about his mysterious plan concerning Christ . That is why I am here in chains .
51:4:004:0	Pray that I will proclaim this message as clearly as I should .
51:4:005:0	Live wisely among those who are not believers , and make the most of every opportunity .
51:4:002:1	Paul 's Final Instructions and Greetings
51:4:006:0	Let your conversation be gracious and attractive so that you will have the right response for everyone .
51:4:007:0	Tychicus will give you a full report about how I am getting along . He is a beloved brother and faithful helper who serves with me in the Lord 's work .
51:4:008:0	I have sent him to you for this very purpose — to let you know how we are doing and to encourage you .
51:4:009:0	I am also sending Onesimus , a faithful and beloved brother , one of your own people . He and Tychicus will tell you everything that 's happening here .
51:4:010:0	Aristarchus , who is in prison with me , sends you his greetings , and so does Mark , Barnabas 's cousin . As you were instructed before , make Mark welcome if he comes your way .
51:4:011:0	Jesus ( the one we call Justus ) also sends his greetings . These are the only Jewish believers among my co-workers ; they are working with me here for the Kingdom of God . And what a comfort they have been !
51:4:012:0	Epaphras , a member of your own fellowship and a servant of Christ Jesus , sends you his greetings . He always prays earnestly for you , asking God to make you strong and perfect , fully confident that you are following the whole will of God .
51:4:013:0	I can assure you that he prays hard for you and also for the believers in Laodicea and Hierapolis .
51:4:014:0	Luke , the beloved doctor , sends his greetings , and so does Demas .
51:4:015:0	Please give my greetings to our brothers and sisters at Laodicea , and to Nympha and the church that meets in her house .
51:4:016:0	After you have read this letter , pass it on to the church at Laodicea so they can read it , too . And you should read the letter I wrote to them .
51:4:017:0	And say to Archippus , “ Be sure to carry out the ministry the Lord gave you . ”
51:4:018:0	Here is my greeting in my own handwriting — Paul.Remember my chains.May God 's grace be with you .
