58:13:001:1	Nats'ahts'ą' Vit'eegwijyąhchy'aa Shoo Tr'ahahtsyaa
58:13:001:0	Nakhwan gwik'injiighit nąįį khit ts'ą' nihlak ǫhłįį k'it tseenjyaa ch'eet'igwiniindhan nihłeenjit akhwa'įį .
58:13:002:0	Ch'eeshroonchy'aa haa aakin nąįį nakhwazheh nihdǫhchik ts'ą' gwinzii gook'ǫǫhtii , dinjii lat nąįį jyaa digiizhit akhai' zheekat gwich'in lat nąįį t'iginlik łee gaa gaagiindaii kwaa gwinyąą , ąįį zhit ganoondaii ts'ą' gwik'it t'akhwa'in .
58:13:003:0	Juu zheh gwaazhrąįį dilk'ii nąįį goots'ahohjyaa ganoondaii , goovaa zheh gwaazhrąįį dook'įį k'it t'ohchy'aa . Juu khaiinjich'iighit nąįį goots'ahohjyaa gaanoondaii , goovaa khaiinjich'akhwaghit k'it t'ohchy'aa .
58:13:004:0	Datthak ts'ą' nihłeeraadii łyaa gwarahah'aa gwizhrįh , ts'ą' ch'akai' , ch'a'at haa ch'izhii nąįį haa gahahchųų kwaa goo'aii , juu ch'aadhichįį ts'ą' juu vakai' akwat va'at yinlii kwaa haa dhichįį nąįį t'ee Vit'eegwijyąhchy'aa goohahkat t'igiinchy'aa .
58:13:005:0	Vit'eegwijyąhchy'aa jyaa nyąą , “ Duuyeh gwik'it ch'ihłok gaa akhanoihnyąą , ts'ą' duuyeh gwik'it zhyaa naał'in t'oonchy'aa , ” nyąą geh'an gǫhdaii datthak laraa eet'ihohkhyaa ąįį gwits'į' adak'ǫǫntii , ts'ą' jidii ni'įį kwaii datthak eenjit shoo inlii .
58:13:006:0	Jii geh'an tr'ahąąnjat kwaa goo'aii Dęhtły'aa Choh zhit Psalms kat jyaa digwinyąą , “ Haaljat kwaa , K'eegwaadhat shits'inyąą geh'an . Dinjii nąįį shats'ą' gwiizųų t'ii'in ji'gaa nihk'it duuyeh goovaaljat . ”
58:13:007:0	Jews ǫhłįį nąįį , zhit juu gwehkįį kįh daak'i' nąįį , Vit'eegwijyąhchy'aa vagwaandak nakhwats'ą' giginkhe' gaanoondaii . Nats'ahts'ą' gwigwiindaii ts'ą' nigiindhat ąįį gininjich'ohthat ts'ą' googwik'injigwiighit k'it gǫhdaii .
58:13:008:0	Jesus Christ t'ee k'ehdąį' drin , juk drin ts'ą' ndaagwąą'ąį' kwaa haa datthak nihk'it t'iichy'aa t'inchy'aa .
58:13:009:0	Nihłehjuk k'ii'an geech'agwąąhtan , haa gwinzii t'akhwa'in gihłeenakhwagahohchyaa shrǫ' . Vit'eegwijyąhchy'aa vich'eegoonzhrii ts'an t'aih ǫhjii ąįį gwinzii ts'ą' nats'ahts'ą' shih tr'ihee'aa gwinyąą ąįį gwik'it nakwaa . Juu jii nats'ąą shih tr'ihee'aa gwinyąą gwik'eegwahthat t'ee yits'inyąą kwaa .
58:13:010:0	Niighit dąį' juu ginkhih nilii nąįį Jewish diikhadigiriinjii zheh gwadhah zhit gwitr'it t'agwah'in gwiizhit Vit'eegwijyąhchy'aa ts'ą' shih dii-ataiinjii tr'ahtsii deek'it gwantł'eetr'ahchak duuyeh ga'aa goo'aii .
58:13:011:0	Ąįį Jewish ndak khii ginkhii choh ąįį nin eekaii oondak ts'ą' ch'andaa shroodiinyąą dehk'it goo'aii gwizhit gwats'ą' yahahkat ts'ą' Israel nąįį gootr'agwaanduu eenjit Vit'eegwijyąhchy'aa ts'ą' ataiinjii yahtsii , gaa nin nilii ąįį gwigwich'įį geh'at gwa'an hee giiyahk'an .
58:13:012:0	Jii geh'an t'ee Jesus , kwaiik'it gwachoo geeghaih gwa'an khaiinjich'ahoodhat ts'ą' niindhat , jyąhts'ą' gwik'iighai' dinjii nąįį tr'agwaanduu t'ii'in dadaa haa Shroodiinyąą gavahahtsyaa geenjit t'iizhik .
58:13:013:0	Ąįį geh'an , gwirich'įį gwats'an vats'a' charoojyaa ts'ą' vaa khaiinjich'iriighit k'it t'agǫǫ'ya' .
58:13:014:0	Diikhwan gwik'injiighit nąįį dzaa nankat kwaiik'it gwachoo khit geenjit gwireheechy'aa diineenjit goo'aii kwaa , kwaiik'it gwachoo diits'ą' gwirehee'aa ąįį keegwarah'in t'igwii'in .
58:13:015:0	Ąįįts'ą' , Jesus k'iighai' Vit'eegwijyąhchy'aa khit videerahoh'ee , jii t'ee vats'a' ataiinjii tr'ahtsii k'it t'oonchy'aa , nijin Vit'eegwijyąhchy'aa , Diik'eegwaadhat inlii varahnyąą dąį' .
58:13:016:0	Nihłehts'ohnyaa haa nihts'ą' gwinzii t'akhwa'in ganoondee shrǫ' , jyaa dakhwa'in dąį' Vit'eegwijyąhchy'aa vats'a' ataiinjii ohtsii k'it t'oonchy'aa ts'ą' shoo ohtsii t'inchy'aa .
58:13:017:0	Juu tr'igiinkhii zheh gwizhit kįh dilk'ii nąįį deenakhwagahnyąą gook'eegohthat . Neegaazhii kwaa haa nakhwazhin k'eegahtii , nats'ahts'ą' gwitr'it t'agwagwah'in ąįį Vit'eegwijyąhchy'aa haa gwagwahaandak goo'aii geh'an . Gook'eegohthat ji' , shoh haa digwigwitr'it gwinzii t'agwagwahah'yaa ; gook'eegohthat kwaa ji' , tr'igwigwidii haa t'igihee'yaa ts'ą' duuyeh gwinzii nakhwats'iginyąą .
58:13:018:0	Khit ts'ą' nihk'it diineenjit khagadǫhjii . Diigwitr'it khit ts'ą' gweheezyaa gwizhrįh gininjich'arahthat geh'an diigwandaii gwinzii diihaa dha'aii gaagwiindaii .
58:13:002:1	Khaiinkǫǫ Khadigeedi'
58:13:019:0	Jii nakhwats'eehihdyaa geenjit nakhwadrii datthak haa Vit'eegwijyąhchy'aa vats'a' khadagohjii .
58:13:003:1	It'ee Jii Zhrįh T'ihihjyaa
58:13:020-021:0	Vit'eegwijyąhchy'aa t'ee K'eegwaadhat Jesus , ch'ichį' ts'an ninęęyiłkhin , dadaa eh'an divii k'ąąhtii jiintsii dhidlit . Ąįį gwik'iighai' deeshi'yaa nyąą gwik'it t'iizhik khit geenjit łangwiłdzii . Vit'eegwijyąhchy'aa vats'an tsinehdan gwanlii jidii nizįį datthak nakhwats'an oolį' , jyąhts'ą' gwik'iighai' deekhwa'ya' nakhwahnyąą gwik'it t'akhwa'yaa geenjit . Ąįįts'ą' Christ khit ts'ą' khit geenjit ch'eegwąhndit vats'an oolį' ! Amen !
58:13:022:0	Jii dęhtły'aa nakhwats'ą' dįhtł'oo łyaa nahgwan gaa , shijyaa nąįį gwinzii khai'gwidlii ch'oodǫǫhk'įį nakhwaihnyąą t'ihnyąą , jii ginjik k'iighai' t'aih akhwa'yaa geenjit gwinzii shoodǫǫhk'įį .
58:13:023:0	Diichaa Timothy zhee gwaazhrąįį gwats'an chineezhii ąįį gaakhwandaii geenjit nakhwaa gwahaldak t'ihnyąą . Dzaa khants'ą' gwats'ą' haazhii ji' , nakhwahał'yaa nagwaanąįį ji' shaa heekhaa t'inchy'aa .
58:13:024:0	Dzaa Italy nahkat gwik'injiighit nąįį nakhwadiveegoozų' nakhwagahnyąą . Juu nakhwatr'igiinkhii zheh kįh dilk'ii nąįį ts'ą' Vit'eegwijyąhchy'aa vigii nąįį datthak diineenjit nakhwadiveegoozų' gavoohnyąą .
58:13:025:0	Vit'eegwijyąhchy'aa vich'eegoonzhrii datthak nakhwaa oolį' !
