58:1:001:1	Vit'eegwijyąhchy'aa , Didinji' K'iighai' Diits'ą' Ginkhii
58:1:001:0	Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį k'iighai' , yeenaa dąį' gwats'an Vit'eegwijyąhchy'aa gwinlęįį nihłehjuk diilak nąįį ts'ą' ginkhe' .
58:1:002:0	Gaa juk Khaiinkǫǫ Drin zhit Gwidinji' zhit diits'ą' ginkhe' . Ąįį Vit'eegwijyąhchy'aa vidinji' k'iighai' jii nankat ts'ą' zheekat datthak gwiłtsąįį , ndaagwąą'ąį' ji' jii jidii datthak vats'an yiheelyaa t'inchy'aa .
58:1:002:1	Vit'eegwijyąhchy'aa , Vidinji' , Zheekat Gwich'in Andaa Jiintsii T'inchy'aa
58:1:003:0	Ąįįt'ee Vit'eegwijyąhchy'aa vich'eegwąhndit haa nint'aii ts'ą' ch'ąhndit nilii ts'ą' Vit'eegwijyąhchy'aa haa nihłihk'it t'igiichy'aa , ts'ą' jidii datthak diginjik nint'aii haa khaihłan nihłoontą' gwiłtsąįį . Jidii nankat gwidinji' nąįį datthak gootr'agwaanduu oo'an gweheelyaa geenjit datthak gwinzii gwiłtsąįį ts'ą' zheekat gwizhit Vit'eegwijyąhchy'aa vishriits'ąįį dhidii ts'ą' nijuk datthak ts'ą' jidii datthak gwats'ą' k'eegwaadhat yiłtsąįį t'inchy'aa .
58:1:004:0	Vit'eegwijyąhchy'aa Vidinji' , ąįįt'ee zheekat gwich'in nąįį andaa veegoo'aii ts'ą' gwik'it Vit'eegwijyąhchy'aa ch'oozhri' goovandaa jiintsii ąįį yantł'eiin'ąįį .
58:1:005:0	“ Shidinji' inlii t'oonchy'aa , juk drin it'ee niti' dhiidlit . ” Vit'eegwijyąhchy'aa , jii deenyąą , ch'ihłok gaa zheekat gwich'in naii jyaa dahnyąą kwaa . “ Shįį t'ee viti' hihłyaats'ą' shidinji' heelyaa , t'inchy'aa ” Ąįįts'ą' chan Vit'eegwijyąhchy'aa , jii deenyąą , ch'ihłok gaa zheekat gwich'in naii jyaa dahnyąą kwaa .
58:1:006:0	Gaa Vit'eegwijyąhchy'aa tr'ookit Didinji' dzaa nankat gwats'ą' nahahchįį dąį' jyaa nyąą , “ Vit'eegwijyąhchy'aa vizheekat gwich'in nąįį datthak giits'ą' khadigiheejyaa ts'ą' nikiigwagwahah'aa gwizhrįh , ” nyąą .
58:1:007:0	Gaa Vit'eegwijyąhchy'aa ąįį zheekat gwich'in nąįį eenjit jii jyaa nyąą , “ Vit'eegwijyąhchy'aa dizheekat gwich'in nąįį ahtr'aii nint'aii k'it t'igiinchy'aa gaviłtsąįįts'ą' ąįį nąįį chan kwankyaa k'it t'igiinchy'aa gaviłtsąįį . ”
58:1:008:0	Googaa Didinji' eenjit , Vit'eegwijyąhchy'aa jii jyaa nyąą , “ Vit'eegwijyąhchy'aa , Neegwinii'ee gwizhit khit ts'ą' khit geenjitłi'deegwidlii haa nigii nąįį ts'ą' k'eedeegwahaandhat t'oonchy'aa .
58:1:009:0	Jidii gwiizųų ąįį datthak gitr'iin'ee , ts'ą' jidii gwinzii datthak chan geet'iindhan , izhit geh'an Vit'eegwijyąhchy'aa , ąįį Nivit'eegwijyąhchy'aa ihłii gwitee tr'anąąhchįį , ąįįts'ą' shoh gwanlii gwihil'ee jiintsii nantł'eegwiin'ąįį . Ąįį juu naa neehiidal nąįį andaa gwihil'ee jiintsii nantł'eegwiinlii t'inchy'aa . ”
58:1:010:0	Ąįįts'ą' chan jyaa yahnyąą , “ K'eegwaadhat , tr'ookit dąį' gwats'an nan jii nankat datthak goohtsąįį , ąįįts'ą' nanli' haa zheekat datthak chan goohtsąįį .
58:1:011:0	Datthak gwihiljii nagwahaadhal , gaa nan ąįį nihk'it dzaa t'ihiinchy'aa , gwach'aa ch'aa yit'eerahchy'aa kwaa k'it an gweheelyaa .
58:1:012:0	Ch'adak ik ch'aa k'it gwinzii łaadahaanchyaaąįįts'ą' gwach'aa k'eejit nanaazhii k'it jidii datthak k'eejit neehahtsyaa , gaa nan ąįį duuyeh ch'ijuk t'iinjii , gweedhaa datthak jyaa gwizhrįh t'ihiinchy'aa , ts'ą' khit gwandaii hiinlyaa . ”
58:1:013:0	Vit'eegwijyąhchy'aa , ch'ihłok gaa dizheekat gwich'in nąįį jyaa dahnyąą kwaa , “ Dahthee juu nitr'ii'ee nąįį , diikwai' vakat diriłdlii , ąįį k'įh nakwai' t'eh nagavahihłyaa gwats'ą' datthakdzaa shishriits'ąįį gwihil'ee dhindii , ” jyaa nyąą .
58:1:014:0	Zheekat gwich'in nąįį juu t'igiinchy'aa ? Zheekat ch'anky'aa ginlii ts'ą' Vit'eegwijyąhchy'aa deenyąą datthak gwik'eegwagwahthat t'igiinchy'aa ąįįts'ą' juu neeheezhii nąįį ts'igiheenjyaa goo'aii geh'an Vit'eegwijyąhchy'aa goots'ą' goohił'ee t'iginchy'aa .
