58:3:001:1	Jesus , It'ee Moses Andaa Gwiintsii Veegoo'aii
58:3:001:0	Shijyaa gwik'injiighit zhit nąįį , nakhwan t'ee Vit'eegwijyąhchy'aa gwit'eetr'anakhweiinlii , jii Jesus eenjit łi'deegwidlii kwaii vininjich'ohthat , ąįį gwik'injigwiighit eegariinkhii ąįį vit'injiraahchy'aa Vit'eegwijyąhchy'aa , ndak khii giinkhih choh eenjit yiłtsąįį .
58:3:002:0	Vit'eegwijyąhchy'aa doo'ya' yuunyąą datthak gwik'it t'ee'ya' ąįį gwitee tr'iiyahchįį t'inchy'aa yeenjit gwitr'it t'agwahah'yaa geenjit , Moses Vit'eegwijyąhchy'aa vizheh datthak gwizhit łi'deegwidlii haa gwitr'it t'agwah'ya' ąįį gwik'it t'iiyinlik t'inchy'aa .
58:3:003:0	Dinjii juu zheh gwiłtsąįį ąįįt'ee ąįį zheh andaa veegoo'aii t'inchy'aa . Ąįį gwik'it dinjii nąįį Jesus , Moses andaa gahah'aa .
58:3:004:0	Zheh kwaii datthak dinjii ch'ihłee gwiłtsąįį gaa Vit'eegwijyąhchy'aa jidii datthak gwiłtsąįį t'inchy'aa .
58:3:005:0	Moses , it'ee Vit'eegwijyąhchy'aa vizheh gwizhit yitsyaa k'it doo'ya' yuunyąą datthak gwik'it t'ee'ya' ts'ą' yeendaa ji' Vit'eegwijyąhchy'aa ąįį deeheenjyaa ąįį geeginkhe' t'inchy'aa .
58:3:002:1	Vit'eegwijyąhchy'aa Vigii Nąįį Neegahaazhii Geenjit
58:3:006:0	Gaa Christ , Gwidinji' nilii ts'ą' Vit'eegwijyąhchy'aa vizheh gwats'ą' k'eedeegwaadhat geh'an adan vit'injirahahchy'aa . Yeendaa ji' vit'injirahahchy'aa vaagwiindaii haa vizheh tr'iinlii k'it t'oonchy'aa ts'ą' gweedhaa datthak diit'aii gwarah'ii t'oonchy'aa .
58:3:007:0	Ąįį geh'an Ch'anky'aa Shroodiinyąą jyaa nyąą , “ Juk drin Vit'eegwijyąhchy'aa viginjik dohtth'ak ji' ,
58:3:008:0	yeenii nakhwalak nąįį Vit'eegwijyąhchy'aa jyaa dakhwa'ya' shrǫ' goovahnyąą gaa nihk'it gwik'it t'igii'in nąįį k'it nakhwaki' tth'an dach'at shrǫ' . Nijin drin nangwinjir gwa'an Vit'eegwijyąhchy'aa zhyaa shroondaii deehee'yaa li' giindhan haa gwik'it t'igee'ya' dąį' .
58:3:009:0	Izhit zhat dąį' deehee'yaa li' shagoonyąą haa shik'eegagoonjik , 40 years datthak deeshi'ya' shagaah'in gaa nihk'it .
