58:11:001:1	Diigwik'injigwiighit Geh'an
58:11:001:0	Nijin gwik'injiriighit dąį' yeedaa diineenjit deehee'yaa nyąą ąįį gwaroontą' , jidii gwaraah'in kwaa gaa nihk'it gwik'it gweheelyaa gaagwiindaii .
58:11:002:0	Deenaadąį' gwats'an diilak nąįį googwik'injigwiighit k'iighai' Vit'eegwijyąhchy'aa gooshoo ahłįį .
58:11:003:0	Gwik'injigwiighit eh'an t'ee Vit'eegwijyąhchy'aa diginjik haa nankat ts'ą' zheekat goodlii datthak gwiłtsąįį gaagwiindaii , ąįį gwik'iighai' jidii tr'ąąh'in kwaii tr'ąąh'in kwaa haa iłtsąįį t'oonchy'aa .
58:11:004:0	Abel vigwik'injigwiighit eh'an , Cain andaa ataiinjii nizįį Vit'eegwijyąhchy'aa ts'ą' iłtsąįį . Vit'eegwijyąhchy'aa haa gwinzii nadhat ts'ą' yashoo ahłįį , Vit'eegwijyąhchy'aa antł'eech'ahtsit geenjit yashoo ahłįį . Abel vigwik'injigwiighit eh'an niindhat gaa juk drin tth'aii hee diits'ą' ginkhii k'it t'inchy'aa .
58:11:005:0	Enoch vigwik'injigwiighit eh'an niindhat kwaa , gaa Vit'eegwijyąhchy'aa neeyuunjik ts'ą' juu nąįį datthak giiyankantii gaa gigwah'ąįį kwaa . Vit'eegwijyąhchy'aa zheekat gwats'ą' yihiłchįį . Vit'eegwijyąhchy'aa neeyahoondal gwehkįį dąį' Dęhtły'aa Choh zhit jyaa digwinyąą , Vit'eegwijyąhchy'aa Enoch , ashoo'ahłįį geh'an zheekat gwats'ą' yihiłchįį gwinyąą .
58:11:006:0	Dinjii ch'ihłee gwik'injigwiighit di'įį kwaa ji' duuyeh Vit'eegwijyąhchy'aa shoo ąhtsii , juu Vit'eegwijyąhchy'aa k'injiighit t'ee Vit'eegwijyąhchy'aa gwanlii gwik'injiheeghit ts'ą' juu yankantii nąįį goodivee gwinzii gwahtsii t'inchy'aa .
58:11:007:0	Yeendaa ji' gwiizųų t'igweheenjyaa gwah'in kwaa gaa Noah vigwik'injigwiighit eh'an Vit'eegwijyąhchy'aa deeyahnyąą gwiitth'ak . Vit'eegwijyąhchy'aa k'eegwiłthat ts'ą' tr'ihchoo choo iłtsąįį ąįį zhit adan , ts'ą' dizheh k'ąą haa an gaadlit kwaa . Noah deezhik ąįį geh'an nankat gwidinjii nąįį gwiizųų t'igii'in gwigweech'in ts'ą' Noah , Vit'eegwijyąhchy'aa deeyahnyąą gwik'it dinjii nilii .
58:11:008:0	Ch'adanh nankat nantł'eegwihih'aa yahnyąą ąįį nijin gwats'ą' goo'aii gaandaii kwaa gaa , Abraham gwik'injigwiighit di'įį eh'an nijin Vit'eegwijyąhchy'aa nanahkat gihłeehinkhaii yahnyąą dąį' yik'eegwiłthat .
58:11:009:0	Vit'eegwijyąhchy'aa ch'adanh nahkat nantł'eegwihih'aa nyąą ąįį Abraham yik'injiighit geh'an aakin nilii ts'ą' ch'izhii yaaneehiidal nąįį haa ch'adanh nahkat gwa'an zheh gwadhah zhit gwich'įį , Isaac ts'ą' Jacob haa chan giik'it t'igee'ya' , geedan chan Vit'eegwijyąhchy'aa jidii nakhwantł'eehihłyaa nyąą , ąįį gwik'injigiighit geh'an .
58:11:010:0	Abraham zheegwadhah zhit gwich'įį gwiizhit kwaiik'it gwachoo gweedhaa datthak gwehee'aa , ąįį Vit'eegwijyąhchy'aa adan nats'ahts'ą' gwahahtsyaa nyąą ąįį gwik'it gwiłtsąįį , ąįį Abraham geenjit nagwal'in .
58:11:011:0	Abraham , vigwik'injigwiighit eh'an va'at Sarah tr'iinin hee'yaa izhit dąį' googhaii lęįį geh'an tr'iinin gii'įį kwaa , gaa chan nijin Sarah nich'it nilii dąį' gaa tr'iinin vee'agwantrii Vit'eegwijyąhchy'aa deehee'yaa nyąą ąįį łi'deegwidlii gweheelyaa gaandaii geh'an .
58:11:012:0	Abraham , dinjii ch'ihłak zhrįh nilii ts'ą' dyahch'į' nilii ts'ą' vaghaii chan lęįį gaa nihk'it vats'an lęįį nąįį deedhaa goodlit , zhee t'įį są' dhidlit aanchy'aa łąą ginlii , ts'ą' chųų choh vee needdhak gwanlii agaanchy'aa gaadlit .
58:11:013:0	Datthak ts'ą' Vit'eegwijyąhchy'aa zhit gwik'injigwiighit gii'įį gwiizhit nigiinjik , Vit'eegwijyąhchy'aa deehee'yaa nyąą ąįį gwats'ą' niighit dąį' hee gaa gwik'it t'igwiizhit ts'ą' gwagwah'ya' k'it gooveenjit t'oonchy'aa , ts'ą' gooveenjit shoo ginlii , ts'ą' oozhii ginlii kwaa haa dzaa nankat aakin tr'inlii ts'ą' gwireheechy'aa gaa gwakwaa ginyąą .
58:11:014:0	Juu jyaa nyąą nąįį t'ee nahkat goots'an gweheelyaa gwinkeegwagwah'in t'iginyąą .
58:11:015:0	Ąįį daganahkat gihłeegahaajil , ąįį ch'ihłak gaa gininjich'agahthat kwaa . Ąįį geegigiinkhii t'iginyąą ji' khan gwits'ee giheedaa gaagiindaii .
58:11:016:0	Gaa nahkat gwandaa gwinzii ąįį giindhan , ąįįt'ee zheekat gwanahkat . Ąįįts'ą' nijin Vit'eegwijyąhchy'aa vigii ihłii ginyąą dąį' gooveenjit oozhii nilii kwaa , kwaiik'it gwachoo gooveenjit tr'iilęįį nigwiin'ąįį geh'an .
