58:7:001:1	Giinkhih Melchizedek
58:7:001:0	Jii Melchizedek t'ee kwaiik'it Salem geenjit k'eedeegwaadhat choo ( king ) inli' ts'ą' Vit'eegwijyąhchy'aa jiintsii eenjit ndak khii giinkhih choo chan inli' . Abraham nihłiriighan gwa'an k'eedeegwaadhat choo nąįį gaiiyii'iłtsąįį gwats'an needyaa gwiizhit Melchizedek yadaazhii ts'ą' vaagweheezyaa geenjit yeenjit Vit'eegwijyąhchy'aa ts'ą' khagideedi' .
58:7:002:0	ts'ą' Abraham jidii oonjik ts'an 1/10th yantł'eiinlii . ( Tr'ookit Melchizedek gwinyąą t'ee “ K'eedeegwaadhat Choo Vit'eegwijyąhchy'aa haa gwinzii ahaa , ” ts'ą' kwaiik'it Salem gwats'ą' k'eedeegwaadhat nilii geh'an chan voozhri' , “ Tsinehdan eenjit k'eedeegwaadhat ( king ) . ” gwinyąą t'igwinyąą . )
58:7:003:0	Melchizedek , nijin gwats'an deedhaa gaa vaagwiindaii kwaa ts'ą' viti' ts'ą' vahan haa juu t'igiinchy'aa vaagwiindaii kwaa ts'ą' nijin dąį' vagoodlit akwat nijin dąį' vakwaa , jii kwaii datthak gaagwiindaii kwaa gwadanakhwatł'oo kwaa geh'an . Vit'eegwijyąhchy'aa Vidinji' k'it t'inchy'aa geenjit giinkhih dhidlit t'arahnyąą .
58:7:004:0	Melchizedek deegwahtł'oo jiintsii gooh'in . Abraham t'ee yeenaa diilak vaagwiindaii choo nilii ts'ą' nihłeeriighan zhit jidii gaiiyiigwiłtsąįį ts'an 1/10th yantł'eiinlii t'inchy'aa .
58:7:005:0	Ts'ą' Levi ts'an deedhaa nąįį ginkhih nilii t'ee Moses va-law k'iighai' Israel gwich'in nąįį ts'an 1/10th agwaanchy'aa ǫhjii googaanyąą gwik'it t'igii'in . Abraham ts'an digeedhaa gaa nik'it dagalak ts'an tr'igwigwilii t'igii'in .
58:7:006:0	Melchizedek , Levi giinkhih nąįį ts'an deedhaa kwaa googaa nihk'it Abraham ts'an 1/10 oonjik ts'ą' vaagweheezyaa geenjit yeenjit Abraham khagideedi' , ąįį Abraham t'ee Vit'eegwijyąhchy'aa deeshi'yaa nyąą , ąįį yeenjit gwik'it t'iizhit t'inchy'aa .
58:7:007:0	Juu Vit'eegwijyąhchy'aa ts'ą' ch'izhii dinjii eenjit gweheezyaa geenjit khagidiinjii t'ee gwandaa gwihil'ee t'oonchy'aa juu nąįį datthak gaandaii t'oonchy'aa .
58:7:008:0	Levi ts'an deedhaa giinkhih nąįį , Israel gwich'in nąįį ts'an 1/10 teegwagwąhjii nąįį datthak nigiinjik , gaa Melchizedek ąįį 1/10 teegwįłjik ąįį Dęhtły'aa Choh zhit tth'aii hee gwaandaii giiyahnyąą geh'an goovandaa hil'ee .
58:7:009:0	Ąįį geh'an t'ee nijin Abraham 1/10th oiinkwat dąį' Levi ts'an deedhaa nąįį 1/10th Melchizedek agogoįįnkwat k'it t'oonchy'aa khit ts'ą' Vit'eegwijyąhchy'aa eenjit Israel nankat gwats'an 1/10 goonjii geh'an .
58:7:010:0	Nijin Melchizedek , Abraham eenihkhee dąį' , Levi tth'aii vigwilii kwaa , gaa yeenaa valak Abraham vatthąį' zhit t'inchy'aa k'it veenjit t'oonchy'aa .
