58:9:001:1	Zheekat ts'ą' Nankat Nats'ąą Vit'eegwijyąhchy'aa Deegihil'ee
58:9:001:0	Nijin tr'ookit Vit'eegwijyąhchy'aa ąįį gwik'it t'ihee'yaa zhit nats'ąą kharigidiinjii ts'ą' ch'iridlii haa Vit'eegwijyąhchy'aa deerihił'ee ąįį dinjii nąįį geenjit gwideek'it gwigwiłtsąįį .
58:9:002:0	Zheegwadhah gwineegiintthaii ąįį oozhee gwizhit nihdeegweedii shroodiinyąą goozhii , izhit gwizhit khwaiidaak'a' vakat doo'aii dha'aii ts'ą' , Vit'eegwijyąhchy'aa ts'ą' vantł'eetr'ahchak geenjit vakaii'aa dha'aii kat łųhchy'aa doo'aii ,
58:9:003:0	ąįį gwizhit gwatł'an gwach'aa gihdeiinvyaa ant'ii t'ee ch'andaa shroodiinyąą gwideek'it goozhii .
58:9:004:0	Ąįį gwizhit , vakaii'aa chil'ee gold zhrįh haa iltsąįį dha'aii , ąįįt'ee gwanzhįh gwinzii vagwaatsan vakat daak'a' ts'ą' Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'ihee'yaa tyah gold haa iltsąįį ąįį vizhit jii kwaii dhidlii : ts'ą' jar gold haa iltsąįį vizhit manna łųhchy'aa k'it t'inchy'aa , ts'ą' Aaron vagal , ąįį vakat ch'at'an hahshii ts'ą' kii neekwaii kat nats'ahts'ą' dinjii tr'iheelyaa ( 10 Commandments ) gwadanakhwatł'oo . Jii kwaii datthak vizhit dhidlii .
58:9:005:0	Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'ihee'yaa tyah ehdee zheekat gwich'in k'it t'inchy'aa neekwaii gold haa iltsąįį nihts'ą' nagadhat ąįįt'ee Vit'eegwijyąhchy'aa zhat t'inchy'aa gwigweech'in geenjit , digit'ee choo ąįį Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'ihee'yaa tyah taa nihky'aa t'agahthan , gootee t'eh Vit'eegwijyąhchy'aa diitr'agwaanduu oo'an gwahaadlii goo'aii . Gaa juk jii kwaii datthak geegireheehkhyaa geenjit goo'aii kwaa .
58:9:006:0	Kharigidiinjii zheegwadhah gwizhit t'ee jii jyaa digwehee'yaa goo'aii . Giinkhih nąįį , drin gwiteegwąąnchy'aa nihdineegiidal ts'ą' deehee'yaa goo'aii gwik'it t'ii'in .
58:9:007:0	Gaa ndak khii ginkhih choo ąįį oozhee ch'andaa shroodiinyąą gwideek'it goo'aii , shree drin gwizhit ch'ihłok neegwiidhat gwizhrįh hee zhat nin ts'an ch'eekaii , Vit'eegwijyąhchy'aa ts'ą' ataiinjii hahtsyaa geenjit adahaa hah'ak , ąįįt'ee da-tr'agwaanduu ts'ą' Israel gwich'in nąįį gootr'agwaanduu tr'agwah'in , ąįį jyaa digii'in gaa gaagiindaii kwaa nąįį eenjit t'ii'in .
58:9:008:0	Ąįį zheegwadhah nihdeegweedii gwizhit shroodiinyąą tth'aii hee goo'aii geh'an nijin ch'andaa shroodiinyąą gwideek'it goo'aii izhit zhat dąį' tth'aii hee nihky'aa gwaroonjii kwaa , jii t'ee nats'ąą goo'aii ąįį Ch'anky'aa Shroodiinyąą gwinzii gwireheetth'ak geenjit geech'ǫąąhtan .
58:9:009:0	Jii gwik'it t'oonchy'aa t'ee juk gweendaa gwats'ą' gwiin'ee . Zhit juu Vit'eegwijyąhchy'aa ts'ą' ginkhih nąįį k'iighai' ataiinjii ąhtsii nąįį , nin akwat gwanzhįh haa giiyantł'ee'ahchak duuyeh goodrii zhit tr'agwaanduu kwaa gwahtsii akwat gooyinji' chan duuyeh goovaanigwii'ąįį kwaa gwahtsii ,
58:9:010:0	shih tr'a'aa chųų tr'iinįį , ts'ą' dik'eech'araatryaa haa shroodiinyąą adatraatsii geh'an Vit'eegwijyąhchy'aa jii kwaii diineenjit ataiinjii ąhtsii , diitthąį' chan hee shroodiinyąą heelyaa gwiłtsąįį dahthee ch'izhii k'eejit gwik'it t'igwehee'yaa neegwahahtsyaa gwats'ą' .
