65:1:001:1	K'é ha'níinii
65:1:001:0	Shí Jude , Jesus Christ yá naal'a'í , James yił háá'áázh nishłíinii , Diyin God aTaa' nilíinii diyingo ádahoolaii , Jesus Christ haa áhályą́ągo bíí' dajílínígíí , Diyin God háká ádííniidii , hach'į' naaltsoos áshłééh :
65:1:002:1	Doo ákǫ́ǫ́ nida'nitinii
65:1:002:0	Diyin God bibee aa a'ááh hasinii , áádóó bibee ach'į' hózhǫ́ náhásdlį́į'ii , índa bibee ayóó'ó'ó'níinii k'ee'ąą yilzhishgo yee nihik'ijidlíi doo .
65:1:003:0	Shik'isóó ayóó'ánihósh'níinii , yisdá'iildééh bee łá'í niidlínígíí bee nihich'į' ak'e'deeshchííł niizį́į́' , nít'éé' na'nitin woodláanii t'ááłáhádiígíí hool'áágóó Diyin God bidiyį́į́' danilíinii yeidiyiiz'ánígíí bee yéego nidaahbaah dooleełjígo t'áá ákónéehee baa nánihooshkąąhgo nihich'į' ak'e'deeshchííł néiniisdzį́į́' .
65:1:004:0	Háálá diné ła' Diyin God doo deidísinii t'áá nanit'inee nihitah dahakááh , éí badaa'ihgo adáhonooní deinízinígíí biniinaa Diyin God bibee ajooba' bee na'nitinígíí łahgo ádeile' , índa Jesus Christ t'áá éí t'éiyá nihiNanit'a'í áádóó nihiBóhólníihii nilíinii doo deinízin da . Éí t'áá shiidą́ą'di atídabidi'doolníiłgo bá nidahodiist'ą́ .
65:1:005:0	Azhą́ t'áá íídą́ą́' díí t'áá ałtso nihił béédahózin nidi béénihiyiishnííh , jó , Ííjip dine'é bits'ą́ą́dóó Ízrel dine'é hwéédahideeshchidgo Bóhólníihii yisdáhóójaa' , áádóó bik'ijį' doo da'joodlánígíí áho'disdįįd .
65:1:006:0	Díí ałdó' béénihiyiishnííh , diyingo nidaal'a'í bee óhólníihii doo deiniizį́į' dago dahólónídóó yits'ą́ąjį' dah diikai ; éí ts'ídá hodiłhiłgo chahałheeł góyaa bá nihodiyoot'ááł beiníłką́ąjį' hool'áágóó beda'astł'ǫ́ǫgo Diyin God ákóne' bidá'di'níłkaal .
65:1:007:0	T'áá ákót'éego Sádam áádóó Gomárah índa binaagóó kin hadaas'áá nít'é'ígi diné baa'ihgo na'ageh yee tsi'deeskai , áádóó ahaa nináldeehgo ałdádanoolníí nít'éé' , éí hool'áágóó hodook'ą́ą́ł bee até'él'į́įgo ti'hoo'níhígíí yee k'ééhodidoodlííł bee na'nitinii át'é .
65:1:008:0	T'áá ákót'éego ałdó' díí diné t'áá ádzaagóó nida'nitinii yaa nidayiiyeeł nahalingo t'óó bił ádaat'íinii biniit'aa ahíldahgo nída'ahi'iilnaadgo nida'ádiilchxǫǫh , áádóó bee ídahólníihii ts'ídá doo deidísingóó ayóó ádaat'éii nidi yił nida'í'įįh .
65:1:009:0	Azhą́ Máíkel aláahgo diyingo naal'a'í nilį́į nidi t'áadoo ákódííniid da . Jó , éí Mózes yę́ę bits'íís biniinaa níłch'i bida'iiníziinii binanit'a'í yił ałgha'dit'ááh yę́ędą́ą́' , doo t'áá k'ad yiyíí'įįdgo yá nihoní'ą́ą da , nidi ádííniid , Bóhólníihii nididooteh .
