32:1:001:1	Jónah éí Bóhólníihii hólǫ́ǫ́dóó yóó'ajilyeed
32:1:001:0	Amítai biye' Jónah éí Bóhólníihii bich'į' haadzíi'go ábíłní ,
32:1:002:0	Nídiidáahgo nílááh , Níneveh kin haal'áágóó dínááh , éí ayóó át'éego kin haal'áii bi'ayíłníihgo bich'į' ahidílgháásh , háálá éí ts'ídá bidoo yá'áshǫ' shinááł yaa deeskai .
32:1:003:0	Nidi Jónah dah diiyáago Társhish kin haal'áajigo Bóhólníihii bits'ąą yóó'ajilyeedgo Jápa kin haal'áá góyaa ajííyá áádóó Társhishgóó tsinaa'eeł deez'éél léi' bik'ízhníyá , áko bik'é nazh'níláago biih jííyáago Társhish kin haal'áajigo atah hoł dah adii'éelgo Bóhólníihii hólǫ́ǫ́dóó yóó'ajilyeed .
32:1:004:0	Nidi Bóhólníihii éí ayóó át'éego tónteel bich'į' níyolgo áyiilaa , áko t'óó báhádzidgo deeyolgo tsinaa'eeł t'áá ádeígo neheltǫ' .
32:1:005:0	Ákohgo nida'ał'eełii nídaasdzíidgo t'ááłá'í nítínígo bidiyin dabidi'níinii yich'į' hadadeeshghaazhgo tsinaa'eeł ászólí dooleeł biniyé naalyéhé dajíyeehígíí taah dadziistł'ííd . Nidi Jónah éí t'ah doo diyóółgóó tsinaa'eeł biih jííyáago ná'áyaídi jineeztį́įgo ajiiłhaazh .
32:1:006:0	Ákohgo nida'ał'eełii binanit'a'í haa níyáago áhodííniid , Haa lá áhoodzaa , ałhoshí nílíinii ? Nídiidáahgo nidiyin néinikąąh ; eii shį́į́ nidiyin nihąąh tsídookosgo doo ádiidįįł da .
32:1:007:0	Áádóó áda'ahidoo'niid , Hágo , haa'íshą' yáá'iilt'e' ádadiilníiłgo díí doo yá'áshóonii nihik'i hoole'ígíí baa ákodadíníidzįįł . Áko yáá'iilt'e' ádayiilaa , nít'éé' Jónah bik'i hodiit'ą́ .
32:1:008:0	Áádóó ádahodííniid , Nihił hólne' , baa nídaniikąąh . Háishą' díí doo yá'át'éehii nihik'ijį' kóyiilaa ? Ha'át'íishą' ninaanish ? Háádę́ę'shą' naniná ? Háadish nikéyah ? Ha'át'íí dine'é shį́įshą' nílį́ ?
32:1:009:0	Áádóó ábizhdííniid , Hííbrew dine'é nishłį́ , áko Bóhólníihii dinisin ; éí Diyin God yá'ąąshdi hólóonii , tónteel áádóó nahasdzáán áyiilaii nilį́ .
32:1:010:0	Ákohgo diné t'áá íiyisí nídaasdzíidgo ádahodííniid , Ha'át'íishą' biniyé ánít'į́ ? Háálá nida'ał'eełii Jónah éí Bóhólníihii hólǫ́ǫ́dóó yits'ąą yóó'eelwodígíí bił béédahoozin ; jó , t'áá ákót'éego bił hojoolne' .
32:1:011:0	Áádóó ádahodííniid , Haashą' dandiilníiłgo tónteel nihá ánáhodidoolzih ? Háálá tónteel t'áá íiyisí náádadiidáahgo yéego yilk'ooł .
32:1:012:0	Áádóó ábizhdííniid , Nídashidoołteehgo tónteel biih dashiyołhan , áko tónteel nihá ánáhodidoolzih , háálá shił bééhózingo shí shiniinaa ayóó át'éego nihich'į' deeyol .
32:1:013:0	Azhą́ ákózhdííniid nidi , nida'ał'eełii táłts'á da'diil'oł daznízin , nidi ch'ééh ádajíít'įįd , háálá tónteel t'áá íiyisí hak'ijį' náádadiidáahgo yilk'ooł .
32:1:014:0	Ákohgo Bóhólníihii yich'į' hadadeeshghaazhgo ádaaní , Nídaniikąąh , Bóhólníihii , nídaniikąąh , t'ááká díí diné be'iina' biniinaa ánihóółdįįh lágo ; dił doo bohodiit'i'ii bee doo nihik'i hodidíí'áał da , háálá , Bóhólníihii nílíinii , nił yá'át'éhígi íinidzaa .
32:1:015:0	Ákohgo Jónah nídeidiiłtį́įgo tónteel yiih dayiisxan , áko tónteel t'óó báhádzidgo náádadiidáhígíí áhodiilzee' .
32:1:016:0	Áádóó diné éí Bóhólníihii yik'ee t'áá íiyisí bił yéé' dahazlį́į'go yich'į' nááda'iisnii' índa yich'į' ádee hadaasdzíí' .
32:1:017:0	Ákohgo Bóhólníihii éí łóó' ayóó áníldíilii hasht'eyiilaago Jónah iidoołnah yiniyé yiníł'a' , áádóó Jónah éí łóó' bibid biyi' dziztį́įgo tágí jį́ áádóó tágí tł'éé' azlį́į́' .
