32:3:001:1	Nínevehgi dine'é łahgo át'éego tsíńdadeezkééz
32:3:001:0	Áádóó naakidi aleeh góne' Bóhólníihii éí Jónah yich'į' hanáánáádzíi'go ííłní ,
32:3:002:0	Nídiidáahgo nílááh , Níneveh ayóó át'é kin haal'áajį' dínááh , áádóó nidishnínígíí bee bił hodíílnih .
32:3:003:0	Áko Bóhólníihii bizaad k'ehgo Jónah hasht'e'ádiilyaago Nínevehgóó dashdiiyá . Ákohgo Níneveh ayóó át'é kin haal'á ha'naa nijígháahgo tágí jį́ oodááł bíighah .
32:3:004:0	Áádóó Jónah dashdiiyáago kin haal'áá góne' ajííyáago ła'a jį́ oodááł ánízahgóó nizhníyá , áko jidilwoshgo ájíní , Dízdiin jį́ t'ah hadziih áádóó índa Níneveh kin haal'á ałtso ádooldįįł !
32:3:005:0	Ákohgo Níneveh dine'é Diyin God dayoosdląąd , áádóó hodílzingo doo adą́ nídaoł'aah , dadííniid áádóó aláahgo ádajít'éii índa a'ohgo ádajít'éii tł'oh yishbizh biih dadziskai .
32:3:006:0	Níneveh dine'é aláahgo binanit'a'í hane' yidiizts'ą́ą'go yikáá'dóó naha'áii yikáá'dóó nídii'na'go bi'éénééz agháago yá'át'éhígíí haidiiltsooz áádóó tł'oh yishbizh yiih yíyáago łeeshch'iih yahiikaahígi neezdá .
32:3:007:0	Áádóó aláahgo naat'áanii índa bikéédę́ę́' naat'áanii danilíinii éí bee nihoot'áanii kóníigo Níneveh kin haal'áagi t'áá níłtéél nít'éé' baa dahane'go ádayiilaa , Diné áádóó nidaaldlooshii , da'alį́į́' dah danéelkaadii t'ááká ha'át'íhída dayólįh lágo ; bíni'dii t'áadoo da'ayání índa t'áadoo da'adlání doo ,
32:3:008:0	nidi diné índa nidaaldlooshii bíni'dii tł'oh yishbizh bik'ídaasti'go yéego Diyin God nídayookąąh ; bíni'dii t'áá ádzíłtso doo yá'áshǫ́ǫ́góó dajíkáahii índa t'áá na'níle'dii ádajooníiłii yóó'adazhdidoo'ááł .
32:3:009:0	Háísh díí bił bééhózin ? Diyin God daats'í łahgo át'éego tsíńdookos áádóó báhóóchįįdii łahgo át'éego ánéidoodlíiłgo da'át'é , áko doo ádiidįįł da .
32:3:010:0	Ákohgo Diyin God éí ádajooníiłii doo yá'áshǫ́ǫ́góó dajíkááh nít'éé' yę́ę łahgo áńdajiidlaago yiyiiłtsą́ągo Diyin God éí áhodoołdįįłgo tsídeezkéezii łahgo ánááyiidlaa ; atíhodoolíiłgo yee haadzíi'ii t'áadoo áyiilaa da .
