32:2:001:1	Jónah ahééh nízingo bisodizin
32:2:001:0	Áádóó Jónah éí łóó' bibid biyi'di Bóhólníihii haDiyin God bich'į' sozdilzingo
32:2:002:0	ájíní , Ti'hooshníhígíí biniinaa Bóhólníihii bich'į' sodeeszingo shidiizts'ą́ą́' , áádóó hool'áágóó ti'hoo'nííh haz'ą́ bitł'ááhdę́ę́' hadeeshghaazhgo shiinéé' disíníts'ą́ą́' .
32:2:003:0	Jó , ayóó ánízáád góyaa ashiyíníłhango tónteel ałníí' góne' sélį́į́' , áádóó tó t'áá át'é shik'i diilkǫ' ; nito' náádadiidáhígíí áádóó yilk'oołígíí t'áá át'é shik'i diilkǫ' .
32:2:004:0	Ákohgo ádííniid , Nits'ą́ąjį' ch'íshidi'yeelghan ; azhą́ ákót'ée nidi , nikin bii' sohodizin dílzinii si'ą́ą́góó sonáádideeszįįł .
32:2:005:0	Tó shináálk'ołgo shii' sizíinii bide áhoodzaa ; tó ditánígíí shik'i diilkǫ' , áádóó táyi' ch'ilígíí éí shitsiits'iin bik'ídeesdiz .
32:2:006:0	Yaago dził nidanees'ą́ąjį' niníyá ; nahasdzáán bidáádíljah hool'áágóó shich'ą́ą́h nikidadii'á nahalin ; azhą́ ákót'ée nidi , Bóhólníihii shiDiyin God nílíinii , a'áándę́ę́' she'iina' shá háínídlá .
32:2:007:0	Shii' sizíinii doo bidziil da silį́į'go Bóhólníihii bénááshnii' , áádóó nikin bii' sohodizin dílzinii si'ą́ąjį' shisodizin disíníts'ą́ą́' .
32:2:008:0	T'áá ádzaaí yich'į' nidahałáii éí aa a'ááh hasin yóó'adeidiyii'aah .
32:2:009:0	Nidi shizaad bee ahééh nisinii nich'į' nááhideeshnih ; bee ádee hadeesdzíi'ii éí ádeeshnííł . Bóhólníihii éí bee yisdá'iildééh .
32:2:010:0	Áádóó Bóhólníihii éí łóó' yich'į' haadzíi'go ni' hóółtseijį' Jónah łóó' bídeeskwi .
