21:7:001:1	Hódzą́ aláahdi át'éii
21:7:001:0	Yá'át'éehgo ho'dójíigo tłah da'ílíinii biláahgo yá'át'ééh áádóó ła' ho'dizhchínígíí biláahgo dadziztsą́ą́jígo yá'át'ééh. 
21:7:002:0	Hooghangi ída'azįįdgo jiníyáhígíí biláahgo hooghangi yínííł hólǫ́ǫgo jiníyáájígo yá'át'ééh, háálá diné t'áá ałtso díí bee bá nidahwiizt'i' áádóó dahináanii díí yee ádiih dahwiidiyoo'nił. 
21:7:003:0	Aníjídlohígíí biláahgo yínííł jílį́į́jígo yá'át'ééh, háálá yínííł joolnii'ígíí daats'í hajéí bá yá'át'ééh. 
21:7:004:0	Diné hóyáanii éí yínííł bá hooghanígíí bijéí yee yaa nitsíkees, nidi diné doo áhályáanii dloh hanáltǫǫhgo bá hooghanígíí bijéí yee yaa nitsíkees. 
21:7:005:0	Diné doo ádahalyáanii nidadi'a'go wólts'ą́'ígíí biláahgo diné hóyáanii hashkéego wólts'ą́ą́'jígo yá'át'ééh. 
21:7:006:0	Háálá ásaa' bii' abézhí biyaagi ch'il deeníní dook'ą́ąłgo dilch'iłígíí nahalingo diné doo áhályáanii anádloh. Díí ałdó' t'áadoo nánídlíní da. 
21:7:007:0	T'áá aaníí diné hóyáanii bide áhólzingo báháchį' ábiił'įįh, áádóó bee nabi'diiniihii éí bibee ak'i'diitįįhii éí yee át'éii ííłdįįh. 
21:7:008:0	Ha'át'íhída hadahat'éhígíí biláahgo t'óó nidahazt'i'jí yá'át'ééh áádóó ádaa hodzódlí biláahgo ha'ahónííjígo yá'át'ééh. 
21:7:009:0	T'áadoo hání síní'ání, háálá diné doo ádahalyáanii áháchį' bii' dahólǫ́. 
21:7:010:0	Ha'át'íí lá bee át'éego díí yoołkáłígíí biláahgo nahdę́ę́' yoołkááł yę́ę yá'át'ééh nít'éé' lá? t'áadoo diníní, háálá díí éí doo áháyą́ą́góó na'ídíłkid át'é. 
21:7:011:0	Hódzą́ éí hwíí' dooleełii biłgo ílį́, áádóó binááł háá'át'áahgo hódzą́ bił bídayéełkaahii t'ah yówehgo bá yá'át'ééh. 
21:7:012:0	Háálá béeso ách'ą́ą́h naalyéhígi át'éego hódzą́ ałdó' ách'ą́ą́h naalyéii át'é, nidi ił ééhózin aláahgo yá'át'éehii éí hódzą́ bee dahólóonii yee dahiná. 
21:7:013:0	Diyin God binaanish baa nitsídaohkees, háálá ha'át'íhída digizgo áyiilaii háishą' k'éidoołdǫǫł? 
21:7:014:0	T'áá ałtsoní bee ída'azįįd haleehgo baa nił hózhǫ́, nidi nits'ą́ą́jí ne'akǫsgo díí baa nitsíníkees: diné hakéé' áhásdįįdóó bik'ijį' hakéédę́ę́' áhodooníiłii doo hoł bééhózin da dooleełígíí biniyé Diyin God t'áá áłah hólǫ́ǫgo áyiilaa. 
21:7:015:0	T'áadoo nánídlínígóó hinínaadę́ę́' t'áá ałtsoní yiiłtsą́. Diné t'áá ákogi át'éii t'áá ákogi ááníiłgo bikéé' áhádįįh, áádóó diné doo yá'áshóonii doo yá'áshǫ́ǫ́góó hináago t'áá náás yołt'ih. 
21:7:016:0	T'áá ákogi át'éii t'áá biláahgo t'áadoo t'áá ákogi ánít'éhí, áádóó honíyánígíí t'áá biláahgo t'áadoo honíyą́ ádíínílziní. Ha'át'íísh biniyé t'áá ni atí'ádílnéeh doo? 
21:7:017:0	Doo yá'áníshónígíí t'áá biláahgo t'áadoo doo yá'áníshóní, áádóó doo áhólyánígíí t'áá biláahgo t'áadoo doo áhólyání. Ha'át'íísh biniyé ná haz'ánígíí t'áá bich'į' dadíítsaał? 
21:7:018:0	Díí bee ádiih tsííníkéezgo la' t'áá íiyisí yá'át'éeh doo, áádóó doo bididííchił da, háálá Diyin God yidósinii díí t'áá áłah yits'ádoogááł. 
21:7:019:0	Kin haal'áagi diné neeznált' éego naat'áanii danilínígíí éí biláahgo diné hóyáanii hódzą́ yee bidziil. 
