21:1:001:1	T'áá ałtsoní t'áadoo nánídlíní da
21:1:001:0	David yę́ę biye' aláahgo naat'áanii nilíinii Jerúsalemgi halne'í nilį́įgo díí saad yee hahaasdzíí'. 
21:1:002:0	T'áadoo nánídlíníii t'áadoo nídandlíní da, ní halne'í, T'áadoo nánídlíníii t'áadoo nídandlíní da; t'áá ałtsoní t'áadoo nídandlíní da. 
21:1:003:0	Oo'áłígíí biyaagi diné joolnishgo naanish t'áá ałtso baa nijigháhígíí ha'át'íí bee há bilááh nídoodleeł? 
21:1:004:0	T'ááłá'í oochíłígíí ałtso eeldee'go, áádóó náánáła' hanáá'ahidoolchííł, nidi nahasdzáán éí hool'áágóó hólǫ́. 
21:1:005:0	Áádóó ałdó' ha'doo'ááł, áádóó i'doo'ááł, índa haayáhígóó tsį́įłgo ańdoodáałgo áádę́ę́' hanáádoodááł. 
21:1:006:0	Shádi'áahjigo níyol łeh, áádóó naa náyołgo náhookǫsjigo nááníyol łeh; t'áá áłahjį' t'áá ákǫ́ǫ́ hááhidiiyóół, índa t'áá ákǫ́ǫ́ ahééh héyóół. 
21:1:007:0	Tooh danílínígíí t'áá ałtso tónteel biih daazlį́; azhą́ ákót'ée nidi, tónteel doo de adíníl'ąąh da; tooh danílį́įjį' náádanídlį́įh łeh. 
21:1:008:0	Ts'ídá t'áá ałtsoní baa ch'ééh adidááh; diné díí át'éegi doo baa nahojólne' át'ée da; anáá' bee níl'į́į nidi, doo sih da, áádóó ajaa' bee wólts'ą́ą' nidi, doo sih da. 
21:1:009:0	T'áá íídą́ą́' hólǫ́ǫ́ nít'é'ígíí éí t'áá hólǫ́ǫ doo; t'áá íídą́ą́' ádaadzaaígíí éí t'áá ádaaníił doo, áko oo'áłígíí biyaagi náánáła' ániidíii ádin. 
21:1:010:0	Łahgo haz'ą́ą́sh t'áá bee ha'doodzih kóhá'níigo, Shoo, díí ániidí? Éíyee' t'áá nihítséedi hoolzhiizh bilááhdę́ę́' t'áá shiidą́ą'dii hólǫ́. 
21:1:002:1	Halne'í át'é niizį́į'ii
21:1:011:0	T'áá íídą́ą́' ádahoodzaii doo béédahaniih da, índa ádahodooníłígíí dahazlį́į́'dóó bik'ijį' nidi, doo béédahodoonih da. 
21:1:012:0	Halne'í nishłį́įgo Jerúsalem kin haal'áagi aláahgo naat'áanii nishłį́įgo Ízrel dine'é binanisht'áá nít'éé'. 
21:1:013:0	Yádiłhił biyaagi t'áá ałtsoní ádahóót'įįdígíí hódzą́ binahjį' shijéí bee hásht'į́įgo ádaa dinisht'ą́. Diyin God éí diné biye'ké ádił ni'íníísh yee na'ádídantaah doogo yeidiní'ą́. 
21:1:014:0	Oo'áłígíí biyaagi naanish t'áá ałtso ádaadzaaígíí nééł'į́į'go, jó, t'áá ałtsoní t'áadoo nánídlíní da áádóó níyol ch'ééh bíjílyeed nahalin. 
21:1:015:0	Naneeshtł'iizhii doo k'ézdon óolne' át'ée da, áádóó bídin ídlíinii doo wóolta' ánéelą́ą' da. 
21:1:016:0	T'áá shí ádił náhweeshne'go ádíshní, T'áá shítséedi Jerúsalemgi nidant'áá nít'éé' yę́ę bilááh át'éego hódzą́ ayóó át'éii shóisíłt'e'; t'áá aaníí, shijéí biyi' ts'ídá ayóó át'éego hódzą́ áádóó ił ééhózin át'é niizį́į́'. 
21:1:017:0	Áko hódzą́ áádóó áhodiigis índa doo hóshkał shił bééhodoozįįł biniyé shijéí baa diní'ą́, áko díí ałdó' níyol ch'ééh bíjílyeed nahalinígíí baa ákoniizį́į́'. 
21:1:018:0	Háálá t'áá íiyisí hojiyąąhgo yínííł ałdó' yiląąh áádóó lą'ígóó hoł ééhoozįįhgo yínííł nitsaii ałdó' k'ee'ąą dilzhish.
