21:10:001:1	Doo áháyą' bits'ą́ą́dę́ę́' áhodzaii
21:10:001:0	Tsé'édǫ́'ii daneeznánígíí éí ak'ah łikání dahalchinígíí t'óó baa'ih halchingo áyiił'įįh; t'áá ákót'éego doo hóshkał áłts'íísí nidi hódzą́ áádóó ił ídlį́ bilááh ábóodziil. 
21:10:002:0	Diné hóyáanii bijéí yee t'áá ákogi át'éego áánííł, nidi diné doo áhályáanii bijéí yee doo ákǫ́ǫ́ ááníił da. 
21:10:003:0	T'áá aaníí, diné doo áhályáanii ałdó' atiingóó yigáałgo yee ak'idi'yiitįįhígíí ádįįh, áádóó t'áá bidááh hakáhígíí t'áá ałtso yich'į' doo áháyą́ yee yit'íní í'dólzin. 
21:10:004:0	Naat'áanii nich'į' báhóóchįįdgo doo dah didíínáał da, háálá ayóó át'é bąąhági áhóót'įįd nidi, doo íits'a'ígóó dzizdáhígíí bee k'éédahodoodǫǫł. 
21:10:005:0	Naat'áanii ni'iisíi'ii bits'ą́ą́dóó hooleełígíí nahalingo oo'áłígíí biyaagi doo yá'áshónígi áhooníiłgo yiiłtsą́. 
21:10:006:0	Doo hóshkał yaa nidaakaígíí alą́ąjį' dah dabidi'nildaah, nidi diné da'at'íinii éí akéédę́ę́' dah dabidi'nildaah. 
21:10:007:0	Nidaal'a'í éí łį́į́' yik'i dah naazdáago yiiłtsą́, áádóó naat'áanii danilíinii naal'a'ígi át'éego t'áá ni' nidaakai. 
21:10:008:0	Łeeh hojíígeedii t'áá hóda biih nízhdootłish áádóó tsé ahénátł'inii bighá jíłne'ígíí tł'iishda hodoołhash. 
21:10:009:0	Tsé hajiiníiłiida atínáhodoodlííł áádóó tsin nijiiłkaałiida há nahodít'é. 
21:10:010:0	Tsénił doo deeníígóó áádóó doo háájiik'aashgóó yéego bich'į' nidzildzilgo chojooł'į́, nidi hódzą́ éí t'áadoo le'é yá'ádaat'éehgo áyoolííł. 
21:10:011:0	T'ah doo tsin bee í'dílzoołí bee tł'iish hasht'edilt'eehgóó ajííłhazhgo t'áadoo biniyéhígóó tsin bee í'dílzoołí bee ádizhdooniił. 
21:10:012:0	Diné hóyáanii jooba'go yáłti', nidi diné doo áhályáanii bizaad yee ák'ijį' nídootsił. 
21:10:013:0	Doo hódzą́ą́jí saad yee yáhidiłtééh áádóó be'ádíláahgo tsi'niyáháłtééh. 
21:10:014:0	Diné doo áhályáanii ałdó' saad t'óó ahayóí áyoolííł. Áhoot'ée dooleełígíí diné doo bił bééhózin da, áádóó bikéé' áhoot'ée dooleełígíí háísh bił hodoolnihgo yíneel'ą́? 
21:10:015:0	Diné doo áhályáanii binaanish yąąh ch'ééh dighááh, áko kin haal'áágóó doogáłígíí doo hoo'į́į da. 
21:10:016:0	Shoo, kéyahgi kéédahoht'íinii, aláahgo nihinanit'a'í ashkii nilį́įgo áádóó naat'áanii abínígo ída'asįįdgo nihich'į' doo hojooba' ájíníi da! 
21:10:017:0	Kéyahgi kéédahoht'íinii, aláahgo nihinanit'a'í éí diné baa yádahasinii biye' nilį́įgo áádóó bidziil doo biniyé índa adlą́ doo yee tsi'doogáał da biniyé baa náhwiilzhíishgo naat'áanii da'ayą́ągo éí bee nihik'ihojisdli'. 
21:10:018:0	Hoł hóyée'go kin bighą́ą́'dę́ę́' iiłtsǫs, áádóó doo binjilnishgóó tó bighánílį́ yileeh. 
21:10:019:0	Dloh hasin doo biniyé áda'azįįd áádóó wáin éí ił hóshǫ́ áádóó béeso éí t'áá ałtsoní nayiiłná. 
21:10:020:0	Aláahgo naat'áanii t'áadoo yínídziihí, t'óó bee nitsíníkees nidi dooda. Nítéhí góne' nidi diné at'íinii t'áadoo yínídziihí, háálá tsídii wót'áahdi nidaat'a'ígíí niinéé' yidiizts'ą́ą'go éí hane' dah yididoo'ááł, áko bit'a' hólóonii naa hodoolnih.
