40:18:001:1	Juu Ch'andaa Hil'ee
40:18:001:0	Izhit dąį' Jesus vitsyaa nąįį giits'ą' haajil ts'ą' giiyųąhkat, “Juu shrit Zheekat Gweegwinii'ee ch'andaa hil'ee t'oonchy'aa?” Giiyahnyąą.  
40:18:002:0	Ąįįts'ą' Jesus tr'iinin tsal aanaii ahnyąą ts'ą' gavandaa nadhat gwiizhit jyaa goovahnyąą, 
40:18:003:0	Jii t'ee łyaa t'ihnyąą, tr'iinin tsal k'it t'inchy'aa needhoodlit ji' gwizhrįh Zheekat Gweegwinii'ee nihdeehohdaa t'oonchy'aa gavahnyąą. 
40:18:004:0	Jii łi'haa nakhwaagwaldak t'ihnyąą, Zheekat Gweegwinii'ee, datthak ts'ą' ch'ijuk dinjii needhoodlit ts'ą' tr'iinin k'it nakhweegoo'aii ji' zhat nihdeehohdaa t'oonchy'aa. 
40:18:002:1	Ch'izhii Nąįį Tr'agwaanduu T'ii'in Tr'ahahtsyaa Kwaa
40:18:005:0	Juu tr'iinin tsal shoozhri' zhit shoo nilii haa oonjik t'ee shįį chan sheenjit shoo nilii t'oonchy'aa.” 
40:18:006:0	“Gaa jii tr'ii'in shik'injiighit ąįį juu tr'agwaanduu t'ii'in yahtsii ji', ąįį juu jyaa dii'in yahtsii vak'ohchan kii choo diriłchaa ts'ą' chųų choh zhit nijin chųų lęįį gwa'an tee t'eeraahnaii ts'ą' teenakhwanii ji' ts'ąįį vidivee gweheezyaa t'inchy'aa. 
40:18:007:0	Juu ch'izhii nąįį tr'agwaanduu t'ii'in ąhtsii nąįį łyaa goodiveegweheezuu gwiizhit dzaa nankat gwirich'įį ts'ą' tr'agwaanduu t'igii'in gooraah'in dąį' diikhwan chan gwik'it t'agǫǫ'ya' gweheen'yaa, gaa zhit juu gwik'it t'agǫǫ'ya' gwiindhan diinahtsii łyaa, vidivee gweheezųų. 
40:18:008:0	Nanli' tr'agwaanduu t'ini'in nahtsii ji' vik'eech'iint'ii ts'ą' oo'an hohkhii! Nanli' ch'ihłak kwaa haa gwandaii ndaanąą'ąį' kwaa gwats'ą' hoiizhii ts'ąįį gwinzii. Izhit kwaa ji' nanli' neekwaii gwanlii haa kǫ' khit geenjit ak'an gwizhit t'anakhwaraheełnaii aiizhit ts'ąįį gwiizųų. 
40:18:003:1	Divii Vaatr'igweendaii, Ąįį Haa Geech'arǫąąhtan Gwagwandak
40:18:009:0	Nandee tr'agwaanduu t'ini'yaa nihiłtsąįį ji' khaiin'ąįį, ts'ą' oo'an haakhii! Nandee ch'ihłak haa gwandaii ndaanąą'ąį' kwaa gwats'ą' hoiizhii ts'ąįį gwinzii, nandee neekwaii gwanlii haa hell izhit gwizhit kǫ' zhit t'ee naraahkhii aiizhit ts'ąįį gwiizųų.” 
40:18:010:0	“Jii tr'iinin tsal nąįį goots'į' t'ohchy'a' shrǫ'! Jii łyaa nakhwaa gwaldak t'ihnyąą, zheekat gwizhit goozheekat gwich'in nąįį, zheekat Shiti' gweedhaa datthak haa giilk'ii t'iginchy'aa. 
40:18:011:0	Gwidinji', ąįį dinjii teehaajil nąįį neehahshii geenjit dzaa nankat gwats'ą' haazhii. 
40:18:012:0	“Jii dinjii divii 100 aanchy'aa dii'įį ts'ą' nijin ch'ihłak haa tr'agwąhdaii dąį' deehee'yaa shrǫǫ ohnyąą? Zhit divii 99 kwaii akhahoonjyaa ts'ą' zhat taih khyųų gwa'an ch'aga'aa gwiizhit t'oołii heekhaa ts'ą' zhat gwa'an ąįį divii ch'ihłak vaatr'igweendaii kaheentyaa t'inchy'aa. 
40:18:013:0	Nakhwaagwahaldak, ąįį divii 100 dii'įį ąįį ch'ihłak ineegwah'ąįį dąį' łahchy'aa gwintł'oo shoh nilii. 
40:18:004:1	Nijin Dinjii Ch'ihłak Tr'agwaanduu T'ii'in Dąį'
