40:14:001:1	John Chųų Gwats'an Ąhtsii, Geełkhwąįį Dąį'
40:14:001:0	Izhit dąį' k'eedeegwaadhat choh (King) Herod Antipas ąįį Galilee gwats'ą' k'eedeegwaadhat nilii, ts'ą' Jesus eenjit gwiitth'ak. 
40:14:002:0	Ąįįts'ą' dinjii yeenjit tr'agwah'in nąįį t'ahnyąą, “John chųų gwats'an ąhtsii, ąįį niindhat gwats'an khakee'ąįį! Ąįį geh'an gwigwii'in t'ihee'yaa geenjit t'aih di'įį t'inchy'aa!” yahnyąą. 
40:14:003:0	Izhit gwehkįį dąį' Herod Antipas, John chųų gwats'an ąhtsii oonjik ts'ą' zheh gwaazhrąįį niyąąhchįį ts'ą' ch'iitsii tły'ah haa digiiyiłchaa yeenjit gwiłtsąįį. King Herod dachaa Philip, va'at noonjik geh'an jii jyaa digiizhik. 
40:14:004:0	John chųų gwats'an ąhtsii gweedhaa datthak jii jyaa yahnyąą geh'an, “Herodias noodhinjik ąįį dii-Law łaahnaii t'ini'in t'oonchy'aa!” yahnyąą. 
40:14:005:0	Herod łyaa yęhdaa tr'agoo'aa yuunyąą, gaa Jews nąįį aanjat. John chųų gwats'an ąhtsii, ąįįt'ee Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii giiyuunyąą geh'an. 
40:14:006:0	Gaa nijin Herod, vagoodlit drin nagwiindhat dąį', Herodias vigii nich'it juu zhat dilk'ii nąįį eenjit ch'aadzyaa ts'ą' łahchy'aa Herod shoo iłtsąįį, 
40:14:007:0	ąįįtł'ęę nich'it t'ahnyąą, “Jidii niindhan datthak nik'ee gwahałthat t'oonchy'aa.” yahnyąą 
40:14:008:0	Vahan Herodias, deiinyąą yahnyąą ąįį gwik'it t'iiyahnyąą, “Dzaa, juk zhat, John chųų gwats'an ąhtsii viki' k'ik kat deedhin'ąįį ts'ą' shantł'eiin'ąįį,” yahnyąą. 
40:14:009:0	King Herod łyaa tr'igwidii gaa ch'adąį' hee dinjii lęįį łeeljil nąįį tee jidii niindhan ąįį nihk'it shi'yaa yahnyąą chy'ah ąįį diniveet'ah'in nąįį gwik'it t'akhwa'in ahnyąą. 
40:14:010:0	Ąįįts'ą' zheegwaazhrąįį dhidii gwiizhit John viki' k'eech'igiint'uu. 
40:14:011:0	Ąįįts'ą' t'ee giiki' k'ik kat deedha'aii ts'ą' zhit nich'it antł'eegiiyin'ąįį, ąįį nich'it chan ants'ą' dahan antł'eeyin'ąįį. 
40:14:002:1	Jesus, 5,000 Nąįį Ach'ah'al
40:14:012:0	John, chųų gwats'an ąhtsii, vitsyaa nąįį giich'ichį' gihłeehiłchįį ts'ą' giinąąhjik, ąįįtł'ęę Jesus ts'ą' gahaajil ts'ą' giiyaagwaandak. 
40:14:013:0	Nijin Jesus, John vagwandak goodlii gwiitth'ak dąį', ditsyaa nąįį haa tr'ihchoo haa gihłeegahoojil ts'ą' tthan gwa'an gwats'ą' gahahjil. Dinjii nąįį datthak giiyeegwiitth'ak dąį' dagakwaiik'it gihłeegahaajil ts'ą' nankat deetaa giitąįį haajil. 
40:14:014:0	Nijin Jesus, zhat teedhizhii dąį', dinjii lęįį nąįį łeeljil nah'in ąįįts'ą' didrii zhit gooveenjit tr'igwidii ts'ą' gootee juu iłts'ik nąįį shrineiinlik. 
40:14:015:0	Nijin khaa nagwaanąįį dąį' vitsyaa nąįį yats'ą' haajil ts'ą' t'igiiyahnyąą, “Tr'ihkhit tǫǫ gwilii ts'ą' dzaa łyaa tthan goo'aii. Jii dinjii nąįį oo'an neekhwajyaa gooraihnyąą ts'ą' kwaiik'it gwa'an ideenjit shih ohkwat gooraihnyąą.” giiyahnyąą. 
40:14:016:0	Jesus t'agoovahnyąą, “Oo'an neegeheenjyaa gwit'eegaahchy'aa kwaa, nakhwan ąįį giihee'aa goovantł'ohtsit!” 
40:14:017:0	“Łųhchy'aa ch'ihłoanli' (5) ts'ą' łuk dhichy'aa neekwaii zhrįh tr'ii'įį!” giiyahnyąą.  
