40:4:001:1	Jesus Tr'agwaanduu T'ihee'yaa Vik'eegwarandaii
40:4:001:0	Ch'anky'aa Shroodiinyąą ąįį Jesus nangwinjir gwa'an gwats'ą' hiłchįį, Ch'anky'aa Tr'aanduu, Jesus tr'agwaanduu t'ii'in hahtsyaa shrǫǫ ji' geenjit. 
40:4:002:0	Drin 40 days ts'ą' tǫǫ haa ch'a'aa kwaa ts'ą' zhat indi', nijin ndaanaahjik dąį' vizhit gwiłts'ik. 
40:4:003:0	Gwiizhit Ch'anky'aa Tr'aanduu yats'ą' tr'iinzhii ts'ą' t'iiyahnyąą, “Vit'eegwijyąhchy'aa vidinji' inlii ji' jii kii kwaii łųhchy'aa ąhtsii.” yahnyąą. 
40:4:004:0	Gaa Jesus ąįį t'iiyahnyąą, “Dęhtły'aa Choo kat gwadanakhwatł'oo, ‘Duuyeh dinjii łųhchy'aa k'iighai' gwizhrįh gwandaii gwinyąą t'oonchy'aa.’” 
40:4:005:0	Ąįįtł'ęę Ch'anky'aa Tr'aanduu, Jerusalem kwaiik'it gwachoo shroodiinyąą gwizhit Kharigidiinjii Zhee Gwachoo gwikiit'ik Jesus nąąhchįį 
40:4:006:0	ts'ą' t'iiyahnyąą. “Vit'eegwijyąhchy'aa Vidinji' inlii ji' dzaa k'iizhak neehantłit. Dęhtły'aa Choo kat gwadanakhwatł'oo,‘Vit'eegwijyąhchy'aa ąįį vats'an zheekat gwich'in nąįį nats'ą' hah'aa ts'ą' nik'eegahąąhtyaa.Daganli' haa ndak nagooheetą' ts'ą' duuyeh gaa kii kat nakwai' ts'iighit gwinyąą.’” 
40:4:007:0	Jesus t'iiyahnyąą “Dęhtły'aa Choo zhit jyaa deegwinyąą, ‘K'eegwaadhat Nivit'eegwijyąhchy'aa zhyaa shroondaii tsinteerookaii shrǫ'!’” gwinyąą. 
40:4:008:0	Ąįįtł'ęę Ch'anky'aa Tr'aanduu ddhah kiit'ik Jesus nąąhchįį ts'ą' nahkat datthak gwinzii giiyiichy'a' yats'ą' gwizhrįh nigwiinlii ts'ą' 
40:4:009:0	t'iiyahnyąą, “Jii kwaii datthak nantł'eegwihihłyaa, shats'ą' nikiigwiintthaii ts'ą' shats'ą' khadigiinjii ji'!” yahnyąą. 
40:4:010:0	Ąįįtł'ęę Jesus t'iiyahnyąą, “Satan, shihłeehiindii! Dęhtły'aa Choh kat gwadanakhwatł'oo, ‘K'eegwaadhat Nivit'eegwijyąhchy'aa zhrįh ts'ą' khadigireheejyaa ts'ą' adan zhrįh vik'eegwarahahthat gwizhrįh goo'aii t'oonchy'aa!’” 
40:4:002:1	Galilee Nahkat gwizhit Jesus Gwitr'it T'igwihił'ya'
40:4:011:0	Ąįįtł'ęę Ch'anky'aa Tr'aanduu, Jesus ihłeehoozhii, ts'ą' zheekat gwich'in nąįį giits'ą' haajil ts'ą' giik'aahtii. 
40:4:012:0	Jesus, nijin John zhee gwaazhrąįį naraahchįį gwinyąą gwiitth'ak dąį' Galilee nahkat gwats'ą' haazhii. 
40:4:013:0	Jesus, Nazareth gihłeehoozhii ts'ą' Zebulun nahkat ts'ą' Naphtali nahkat Capernaum kwaiik'it Galilee van vee goo'aii gwats'ą' haazhii ts'ą' ch'ihłee zhat indi'. 
40:4:014:0	Jii t'ee jyaa t'igwiizhik ąįį Vit'eegwijyąhchy'aa Eenjit Ginkhii Isaiah deenyąą ąįį zhit łi'deegwidlii gweheelyaa geenjit, 
40:4:015:0	“Galilee van gwats'ą' tąįį gwiin'ee gwinjik t'ee Zebulun nahkat ts'ą' Naphtali nahkat haa goodlii,Jordan han ndųhts'ąįį ts'ą' Galilee nahkat kwaii t'ee Gentiles nąįį goonahkat t'oonchy'aa ginyąą. 
40:4:016:0	Zhit juu dinjii nąįį tǫǫ gwizhit gwigwich'įį nąįį,ch'eegwąhndit gwachoh gwagwahąąh'yaa t'oonchy'aa,zhit juu iłchįį gwanahkat gwich'įį nąįį,ch'eegwąhndit gook'aa haadrii gweheelyaa gwinyąą.” 
40:4:003:1	Jesus, Dinjii Dǫǫ Łuk Kee'in Nąįį Aanaii Ahnyąą
40:4:017:0	Aiizhit gwats'an it'ee Jesus Gwandak Nizįį eegwaandak, ts'ą' jyaa nyąą, “Nakhwatr'agwaanduu ts'an łihts'eedǫǫ'ee, Zheekat Gweegwinii'ee gwats'ą' nahgwan t'oonchy'aa!” goovahnyąą. 
40:4:018:0	Ąįįts'ą' Jesus, ąįį Galilee vanvee gwa'an neehidik akhai' ch'oondee ts'ą' ch'achaa haa łuk keegii'in łee neeł'in. Łuk keegii'in giinlii, ch'ihłak ąįį Simon (gaa Peter giiyahnyąą) ąįįts'ą' vachaa chan Andrew. 
40:4:019:0	Jesus jyaa gavahnyąą, “Aanaii, shaa hoh'oo, nats'ahts'ą' dinjii nąįį teegahohdal ąįį geenakhwahaałchyaa łuk teegǫhjii gwik'it.” 
40:4:020:0	Jyaa nyąą googwahkhan digichihvyaa akhagoonyąą ts'ą' giiyaahaa'oo. 
40:4:021:0	Ąįįtł'ęę k'ii'an teeghaih tth'aii hee ahaa, akhai' James ts'ą' John ts'ą' gooti' haa neeł'in. Digiti' Zebedee haa tr'ihchoo zhit giilk'ii ts'ą' digichihvyaa kwaii shrineegilii gwiizhit Jesus aanaii, gavahnyąą.  
40:4:004:1	Jesus Geech'ǫąąhtan, Gwandak Nizįį Eeginkhii, ts'ą' Juu Ts'ik Nihłehjuk Daazhyaa Haa Iłts'ik Nąįį Datthak Shrininlik.
40:4:022:0	Izhit gwagwahkhan digitr'ihchoo ts'ą' digiti' haa iłeegahaa'oo ts'ą' giiyaahaa'oo. 
40:4:023:0	Jesus, Galilee nahkat gwizhit gwa'an datthak k'eekhwazhii ts'ą' Jews tr'igiinkhii zheh kwaii datthak gwizhit geech'ǫąąhtan, ts'ą' Gwandak Nizįį haa Zheekat Veegwinii'ee eegwaandak ts'ą' juu ts'ik nihłehjuk daazhyaa haa iłts'ik nąįį datthak shrininlik. 
40:4:024:0	Ąįįts'ą' Syria nahkat datthak giiyeegwiitth'ak ts'ą' juu ts'ik nihłehjuk daazhyaa di'įį nąįį datthak giits'ą' haadlii, juu vanah gwint'aii gwiłts'ik ts'ą' juu vizhit ch'anky'aa iizųų haa t'ihee'yaa kwaa gwik'it t'ii'in nąįį ts'ą' juu naandoo nąįį, ts'ą' neehidik kwaa nąįį datthak giits'ą' haadlii ts'ą' goots'ą' tr'iinjik. 
40:4:025:0	Ts'ą' Jordan han ndųhts'ąįį geh'ok gwa'an gwats'an, ts'ą' Judea nahkat, ts'ą' Jerusalem kwaiik'it gwachoo, ts'ą' Decapolis ts'ą' Galilee nahkat kwaii datthak gwats'an dinjii lęįį nąįį Jesus tąįį neegihiidal.
