40:5:001:1	Taih Kat Gwandak Nizįį Eeginkhii
40:5:001:0	Ch'ihłan drin nijin Jesus, dinjii lęįį nąįį yeelin łeeljil gwah'in dąį', taih kat hahdhizhii ts'ą' naadii. Gwiizhit vitsyaa nąįį yeelin niinjil, 
40:5:002:0	ts'ą' t'ee geegooviheełchya'.  
40:5:003:0	“Zhit juu nakhwatee Vit'eegwijyąhchy'aa t'aahchy'aa ts'ą' neeshreegaahchy'aa gaagiindaii nąįį shoo giinlii,Zheekat Gweegwinii'ee t'ee goots'an gwanlii t'oonchy'aa! 
40:5:004:0	Zhit juu nakhwatee tr'igwidii nąįį shoo gooli',Vit'eegwijyąhchy'aa goovaa gwinzii t'inchy'aa geh'an! 
40:5:005:0	Zhit juu nakhwatee datthak khazhak t'iinchy'aa nąįį shoo gooli',Vit'eegwijyąhchy'aa jidii nankat datthak goovintł'eehee'aa gavahnyąą ąįį goohoondal t'igiinchy'aa geh'an! 
40:5:006:0	Zhit juu nakhwatee łyaa Vit'eegwijyąhchy'aa doo'ya' yuunyąą ąįį gwik'it t'ii'in nąįį shoo gooli',Vit'eegwijyąhchy'aa ts'an jidii giindhan datthak gihee'yaa t'oonchy'aa! 
40:5:007:0	Vit'eegwijyąhchy'aa neeshraahchy'aa gavahoonjyaa geh'an,zhit nakhwatee juu neeshraahchy'aa niindhan nąįį shoo gooli'! 
40:5:008:0	Zhit juu nakhwatee vidrii zhit Vit'eegwijyąhchy'aa deenyąą ąįį gwik'it gwizhrįh t'ii'in nąįį shoo gooli',Vit'eegwijyąhchy'aa gahąąh'yaa t'igiinchy'aa. 
40:5:009:0	Zhit juu nakhwatee tsinehdan geenjit tr'agwah'in nąįį shoo gooli',Vit'eegwijyąhchy'aa shigii gavaahaanjyaa t'iginchy'aa. 
40:5:010:0	Zhit juu nakhwatee Vit'eegwijyąhchy'aa deenyąą gwik'it t'ii'in geenjit gwiizųų khaiinch'igiighit nąįį shoo gooli',Zheekat Gweegwinii'ee goots'an nilii t'igiinchy'aa. 
40:5:011:0	“Shatąįį ohdaa geh'an, juu nakhwatee gwiizųų vats'a' girinkhii ts'ą' khaiinjich'iighit ts'ą' oots'it haa tr'agwaanduu t'iizhit varahnyąą nąįį shoo gooli'. 
40:5:002:1	Lisil ts'ą' Aadrii Haa Eegareheekhyaa
40:5:012:0	Jyąhts'ą' t'ee yeenii Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį khaiinjich'ahoodhat. Shoo ǫhłįį ts'ą' nakhwaashroonchy'aa, zheekat nakhweenjit gwintsii gwinzii goo'aii t'oonchy'aa.” 
