40:26:001:1	Jesus Giiyęhdaa Tr'igwihee'aa Gwik'eegwagwandaii
40:26:001:0	Nijin Jesus jii kwaii eenjit geegavąąhtan ndaanaahjik dąį', ditsyaa nąįį t'ahnyąą, 
40:26:002:0	“Juk, drin neekwaii taa gwahaadhat ąįįtł'ęę t'ee Passover ch'aga'aa gwagwahahtsyaa gaakhwandaii ąįį zhit ji' Gwidinji' gwantł'ee giihaahchyaa ts'ą' Cross kat gigiiyahahtsak.” 
40:26:003:0	Ąįįtł'ęę giinkhih kįh dilk'ii nąįį ts'ą' Israel kįh dilk'ii nąįį haa ndak khii giinkhih choh Caiaphas oozhii ąįį vizheh gwachoh nidigweeltsį' gwizhit khaihłan nigiinjil. 
40:26:004:0	Ts'ą' gweentak hee Jesus nats'ahts'ą' zheegwaazhrąįį nigiiyahahchyaa ts'ą' giiyęhdaa tr'igwihee'aa, ąįį geegiginkhe'. 
40:26:002:1	Jesus, Bethany Kwaiik'it gwizhit Gwanzhįh Chų' Gwinzii Vagwaatsan Giikat Naanjaa
40:26:005:0	“Passover ch'aga'aa gwagwahtsii gwiizhit tr'ooheendal kwaa nihłagaanyąą jyaa digwiizhit ji' duulee dinjii nąįį datthak diits'ą' nich'itsahahthat.” ginyąą. 
40:26:006:0	Nijin Bethany kwaiik'it gwizhit Jesus, Simon gwehkįį dąį' gwatthąį' ahjat (leprosy) haa iłts'ik vizheh neech'a'aa dąį',  
40:26:007:0	Tr'injaa alabaster kii tyah zhit gwanzhįh chų' daatł'oo gwinzii vagwaatsan neeha'ak haa yits'ą' niinzhii, Jesus vakaii'aa ts'oodii gwiizhik yiki' kat neeyaanjaa. 
40:26:008:0	Gaa nijin vitsyaa nąįį gwagwaah'in dąį' gook'įį goodlit, ts'ą' ch'agoahkat, “Jaghaii zhyaa an yahtsii? ginyąą. 
40:26:009:0	Jii gwanzhįh chų' giit'įį laraa lęįį oonjii ts'ą' neeshraahchy'aa nąįį antł'eegiiyuulyaa jaghaii?” ginyąą. 
40:26:010:0	Jesus deeginyąą gavaandaii ts'ą' t'agavahnyąą, “Jii tr'injaa jaghaii vaanagoh'ąįį? Łyaa gwiinzii shats'ą' tr'agwah'in t'ii'in. 
