40:21:001:1	Jesus Jerusalem K'inidik
40:21:001:0	Jesus ąįįts'ą' ditsyaa nąįį haa Jerusalem kwaiik'it gwachoo gwats'ą' niighit kwaa geedaa gwiizhit Bethphage kwaiik'it, geeghaih Taih Vakat Olives Nahshii goo'aii aiizhit k'eegiidal, aiizhit gwats'an Jesus ditsyaa neekwaii nąįį dits'ii oo'an goovihił'e'. 
40:21:002:0	Jii jyaa khwa'yaa yuu goovahnyąą, “Yeendaa kwaiik'it goo'aii gwats'ą' hoh'oo. Izhit gwizhit donkey gakhwachaa ts'ą' veeghaii chan vigii dhidii, ąįį kwaii danoh'at ts'ą' shats'ą' goovahohchįį. 
40:21:003:0	Ąįįts'ą' k'eegwiichy'aa t'anakhwagahnyąą ji', ‘Shik'eegwaadhat yit'eehaahchy'aa ts'ą' yit'aahchy'aa,’ dohnyąą ji' gwagwahkhan gooneegeheendal t'iginchy'aa,” gavahnyąą. 
40:21:004:0	Jii jyaa digwiizhit, ąįį Vit'eegwijyąhchy'aa Eenjit Ginkhii deiinyą' ąįį gwik'it t'igweheenjyaa geenjit, jii jyaa nyąą. 
40:21:005:0	“Zhit kwaiik'it gwachoo,Zion gwich'in nąįį jyaa gavahnyąą.Gooh'in! Nakhwa-King khazhak t'iichy'aa donkey gii kat dohdii nakhwats'ą' ahaa t'oonchy'aa.” 
40:21:006:0	Ąįįts'ą' t'ee vitsyaa nąįį Jesus deenyąą gwik'it t'igiizhik, 
40:21:007:0	Donkey ąįįts'ą' vigii tsal giits'ą' hiłchįį, digi'ik giikat deedhidlii ts'ą' Jesus gwakat daandii. 
40:21:008:0	Dinjii lęįį łeeljil nąįį digi'ik tąįį gwinjik nigilii ts'ą' ts'iivii ah khagit'ii ts'ą' gideekwaii nilii. 
40:21:009:0	Zhit dinjii yęhdaa łeeljil ts'ą' yeent'ii łeeljil nąįį geedaa gwiizhit gazhral ts'ą' t'igiiyahnyąą.”“Yeenii King David ts'an deedhaa tr'ahoh'e'!Juu K'eegwaadhat voozhri' zhit ahaa ąįį geenjit Vit'eegwijyąhchy'aa gwintł'oo deerahoh'e'!Hosanna zhit jiintsii!” 
40:21:010:0	Nijin Jesus, Jerusalem nihdeiinzhii dąį' ąįį kwaiik'it gwachoo gwizhit gwich'in nąįį datthak łagalgaadaa gwiizhit deegwii'in gaagiindaii kwaa ts'ą', “Juu t'inchy'aa?” ginyąą. 
