40:24:001:1	Jesus, Jerusalem Kharigidiinjii Zheh Gwachoh An Gweheelyaa Geeginkhii
40:24:001:0	Nijin Jesus, Kharigidiinjii Zheh gihłeehoozhii ts'ą' gwa'an tr'ineezhii dąį' vitsyaa nąįį giits'ą' haajil ts'ą' jii Kharigidiinjii zheh gwachoh ts'ą' geeghaih gwa'an zheh goodlii haa gwąąh'in giiyahnyąą. 
40:24:002:1	Gwigweheetrii ts'ą' Khaiinjich'ireheeghit
40:24:002:0	Gaa Jesus goodii ginkhe', “Aahą', jii kwaii datthak gwinzii nǫh'in. Jii łi'haa nakhwaagwaldak, Yeendaa ji' kii tsal ch'ihłak gaa neekwat dehee'aa kwaa ts'ą' gwideek'it hee'aa kwaa. Datthak an heelyaa.” 
40:24:003:0	Jesus, Taih Vakat Olives Nahshii kat dhidii gwiizhit vitsyaa nąįį gweentak giits'ą' haajil ts'ą' giiyųąhkat, “Zhat nigwiindhat ji', deegwehee'yaa ts'ą' deegweheenjyaa diinaa gwandak. Nijin neiindyaa ts'ą' ndaagwahąąn'ąį' gwats'ą' nahgwan ji' deegwehee'yaa gwarahąąh'yaa?” 
40:24:004:0	Jesus t'agoovahnyąą, “Gwits'į' adak'ǫǫntii! ts'ą' neenakhwaroon'ee shrǫ'! 
40:24:005:0	Dinjii lęįį nąįį nakhwats'ą' giheedaa ts'ą' ‘Shįį t'ee Christ (Messiah) t'ihchy'aa!’ giheenjyaa ts'ą' veenjit gihkhii t'inyąą giheenjyaa ts'ą' dinjii lęįį nąįį neegeheen'ee t'oonchy'aa. 
40:24:006:0	Nihłiriighan gwahohtth'ak ts'ą' yeenjik niighit gwa'an nihłiriighan gwinyąą gwahohtth'ak, gaa geenjit nakhwadrii zhit neets'ąįįneegoojyaa shrǫ'! Jyaa dagweheenjyaa goo'aii, gaa ąįį nan ndaanąą'ąį' gweheelyaa t'igwii'in kwaa. 
40:24:007:0	Nahkat gwanlii ts'ą' geegwinii'ee gwinlęįį chan nihłigiheeghaa. Nijuk datthak chan nan haatrat, ts'ą' dinjii chan ihdeeheengaii. 
40:24:008:0	Ąįį kwaii datthak t'ee tr'injaa tr'ookit tr'iinin haa tr'iłts'ik k'it t'oonchy'aa. 
40:24:009:0	“Ąįįtł'ęę nakhwagooheendal ts'ą' khaiinjich'anakhwagahahkhit geenjit gwantł'ee nakhwagahahchyaa ts'ą' nakhwęhdaa tr'igwigwehee'aa. Ts'ą' shęh'an nahkat datthak nakhwatr'igehee'ee. 
40:24:010:0	Lęįį nąįį zhat nigwiindhat ji' digwik'injigwiighit akhagagooheenjyaa, gwantł'ee nihłagahaachyaa ts'ą' chan łyaa nihłitr'igihee'ee. 
40:24:011:0	Ąįįtł'ęę Vit'eegwijyąhchy'aa Eenjit Ginkhii adaa'įį lęįį nąįį gweheelyaa ts'ą' dinjii lęįį nąįį neegeheen'ee t'oonchy'aa. 
40:24:012:0	Izhit ji', dinjii lęįį nąįį tr'agwaanduu googwitr'it gweheelyaa, ts'ą' lęįį nąįį nihłeenjit ch'eet'igwiniindhan hee'yaa kwaa. 
40:24:013:0	Gaa juu ndaagwąą'ąį' gwats'ą' datthak gwik'injigwiighit di'įį t'ee neeheezhii t'oonchy'aa. 
40:24:003:1	Gęhdaa Kwaa Tr'agwaanduu T'igwehee'yaa
40:24:014:0	ts'ą' jii Vit'eegwijyąhchy'aa Veegwinii'ee, Gwandak Nizįį haa nankat datthak geech'agoohahtan, dinjii nąįį datthak shik'injigiheeghit, ąįįtł'ęę nan ndaagwahąąn'ąį' nagwahaadhal.” 
40:24:015:0	“Ąįį Kharigidiinjii Zheh gwizhit shroodiinyąą goo'aii ąįį, ‘Jidii tr'agwaanduu gwiizųų,’ Vit'eegwijyąhchy'aa vakharigidiinjii zheh shroodiinyąą kwaa gwahtsii zhat gwizhit nin'ąįį. Ąįįt'ee Daniel Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii geenjit gwadąąntł'oo t'inchy'aa.” (Ąįįts'ą' juu jii dęhtły'aa nah'in nąįį t'ee deegwinyąą t'igwinyąą gwinzii gaakhwandaii gwat'oohchy'aa, t'oonchy'aa.) 
40:24:016:0	“Jyaa digwiizhik gwagwahkhan zhit juu Judea nahkat gwizhit gwich'įį nąįį taih kat gwats'ą' gal gahahdaa gwizhrįh goo'aii. 
40:24:017:0	Zhit juu dizheh gwakat doodii gwiizhik jyaa digwiizhik ji' dik'eiich'ii neehoondal geenjit dizheh nihdanǫǫzhi' shrǫ'. 
40:24:018:0	Zhit juu gwanzhįh deek'it gwitr'it t'agwah'in gwiizhik jyaa digwiizhik ji' ch'adak ik nooheendal geenjit dizheh gwits'eehoozhi' shrǫ'. 
40:24:019:0	Izhit ji' łyaa tr'injaa vizhit tr'iinin chan ts'ą' juu tr'iinin ach'ahma' nąįį haa eenjit gwigweheetrii t'oonchy'aa! 
40:24:020:0	Vit'eegwijyąhchy'aa vats'a' khagadǫhjii Neegwaazhii Drin akwat khaii gwanlii gwiizhit t'igweheenjyaa kwaa geenjit! 
40:24:021:0	Zhat nigwiindhat ji' googwantrii nagwahaadhal, Vit'eegwijyąhchy'aa jii nan iłtsąįį dąį' gwats'an ch'ihłok gaa jyaa dagwahtł'oo googwantrii gwaraah'in kwaa, akwat chan ch'ihłok gaa jyąhts'ą' neegwarahaan'yaa kwaa t'oonchy'aa. 
40:24:022:0	Gaa K'eegwaadhat, drin gwitee gwagwaanchy'aa nahgǫǫ neegwiłtsąįį kwaa ji' jii nankat dinjii nąįį datthak an heelyaa t'oonchy'aa. Ąįį dinjii gwitee tr'iinlii nąįį jyaa dagwahkhyuk khaiinjich'igiheeghit kwaa eh'an drin gwiteegwagwaanchy'aa nahgǫǫ niłtsąįį t'inchy'aa. 
40:24:023:0	“Ąįįts'ą' chan, ‘Dzaa Christ dhidii nǫh'in!’ akwat ‘Oo'at dhidii t'inchy'aa!’ ąįį dinjii ch'ihłee jii jyaa nahnyąą ji' gaa gwik'injuhkhit shrǫ'! 
40:24:024:0	Christ adagaa'įį ts'ą' Vit'eegwijyąhchy'aa eenjit ginkhii ihłii nyąą nąįį gwigwee'in ts'ą' geegwaroolii kwaa t'igihee'yaa haa Vit'eegwijyąhchy'aa dinjii gwitee tr'iinlii nąįį neegeheen'ee gaa gach'agwadhan ji' gwizhrįh t'igihee'yaa t'oonchy'aa. 
40:24:025:0	Gwik'it t'igweheenjyaa gwehkįį nakhwaagwaldak t'ihnyąą, geenjit shoodǫǫhk'įį! 
40:24:026:0	“Akwat dinjii nąįį, ‘Zhit gooh'in nangwinjir gwa'an dhidii t'inchy'aa,’ ginyąą ji' gwats'ą' hohjyaa shrǫ'. Akwat chan ‘Dzaa gooh'in, geegoh'ik ch'an'įį łee!’ ginyąą ji' gaa gook'injuhkhit shrǫ'. 
