40:16:001:1	Gwidiigwigwii'in Gwarooh'ya' Giindhan
40:16:001:0	Pharisee ts'ą' Sadducee nąįį lat Jesus ts'ą' gahaajil, goodhaii nigiiyahaahthal geenjit gwankee gwagwaah'in, “Zheekat gwats'an gwigwee'in t'igwii'in diits'ą' gwagwaahkįį,” giiyahnyąą. 
40:16:002:0	Gaa Jesus, jyaa gavahnyąą, “Nijin zheekat k'iidak gwaatsik gwizhit shree gwiky'aa'at dąį', ‘Hahtr'aii kwaa ts'ą' gweheezyaa,’ dohnyąą. 
40:16:003:0	Nijin zheekat k'iidak gwaatsik ts'ą' tǫǫ goo'aii gwiizhit vanh khach'a'ąįį dąį' hee, ‘Chan hahtsin t'oonchy'aa,’ dohnyąą. Ehjyaa t'oonchy'aa ts'ą' deegweheechy'aa gaakhwandaii, k'iidak zheekat gwats'ą' gooh'in dąį' t'ee ehjyaa deegweheechy'aa gaakhwandaii, gaa jii gwigwii'in t'igwii'in ąįį juk gweendaa tth'aii hee khyų' gwiky'uunjii! 
40:16:002:1	Pharisee ts'ą' Sadducee Nąįį Haa K'ii'an Geech'agǫąąhtan Googwandak
40:16:004:0	Juk gweendaa gwidinjii nąįį łyaa tr'ihkhit gwik'injigiighit kwaa ts'ą' tr'agwaanduu gwizhrįh googwitr'it gwanlii! Nakhwan gwigwii'in eenjit ch'oohkat? Nakwaa, duuyeh nakhweenjit gwigwii'in t'ishi'in ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii Jonah, deezhik gwik'it gwizhrįh gwigwii'in gahǫǫh'yaa t'oonchy'aa.” gavahnyąą, ts'ą' goołeehoozhii. 
40:16:005:0	Nijin vitsyaa nąįį van ndųhts'ąįį nigiinjil dąį' łųhchy'aa gahoondal gineegildee łee ts'ą', 
40:16:006:0	Jesus, t'agavahnyąą, “Pharisee ts'ą' Sadducee nąįį goołuh niituu ts'į' gwinzii adak'ǫǫntii.” gavahnyąą. 
40:16:007:0	Ąįįts'ą' nihłihtee jyaa ginyąą, łųh chy'aa tr'oonjik kwaa geh'an t'inyąą giiyahnyąą. 
40:16:008:0	Jesus, deeginyąą gavaandaii ts'ą' t'agavahnyąą. “Jaghaii zhyaa łųhchy'aa khwa'įį kwaa geenjit nihłaa gookhii? Nakhwak'injigwiighit łahchy'aa nitsii kwaa t'agwarahnyąą! 
40:16:009:0	Nijin ji' gwik'eehoondal t'oonchy'aa? Nijin dąį' nakhwandah łųh chy'aa 5, dinjii 5,000 nąįį eenjit khadidhiizhuu nik'ee chan ganoondaii? Tyah daanchy'aa zhat dąį' deedąą'ąį' dhohtsąįį?” 
40:16:010:0	Dinjii 4000 nąįį łųhchy'aa 7 loaves aanchy'aa goovał'al ąįį yu', zhat dąį' ch'ityah daanchy'aa deedąą'ąį' dhohtsąįį? 
40:16:011:0	Nats'ahts'ą' chan łųhchy'aa eegiihkhii kwaa t'ihnyąą gaahahkhwandaii? Pharisee ts'ą' Sadducee nąįį goołuh niituu ts'į' adak'ǫǫntii.” 
40:16:003:1	Peter, Ąįį Jesus T'ee Vit'eegwijyąhchy'aa Oodaa Yihił'e' T'inchy'aa Nyąą
40:16:012:0	Ąįįtł'ęę gǫhju' hee vitsyaa nąįį deenyąą t'inyąą giiky'aanjik, łųhchy'aa zhit łųh niituu ąįį t'ahnyąą giiyuunyąą, akhai' Pharisee ts'ą' Sadducee ąįį nąįį jidii eech'agwaahtan, ąįį gwits'į' adak'agahaantyaa t'inyąą łee giiky'aanjik. 
40:16:013:0	Nijin Jesus, ditsyaa nąįį haa ąįį Caesarea Philippi geeghaih gwa'an kwaiik'it gwachoo goodlii gwats'ą' gahaajil, dąį' ditsyaa nąįį oahkat, “Dinjii nąįį juu Gwidinji' t'inchy'aa ginyąą?” 
40:16:014:0	Vitsyaa nąįį t'iiyahnyąą, “Goolat nąįį John chųų gwats'an ąhtsii inlii nagahnyąą, ts'ą' ch'izhii nąįį chan Elijah akwat Jeremiah duulee inlii nagahnyąą, goolat nąįį chan ch'izhii Vit'eegwijyąhchy'aa Eenjit Ginkhii ch'ihłak inlii nagahnyąą.” 
40:16:015:0	“Nakhwan ąįį yu'? Juu t'ihchy'aa shoohnyąą?” gavahnyąą. 
40:16:016:0	Simon Peter t'iiyahnyąą, “Christ t'ee Messiah nilii t'ee nan t'inchy'aa, ts'ą' Vit'eegwijyąhchy'aa khit gwandaii nilii ąįį Vidinji' inlii!” yahnyąą. 
40:16:017:0	“Simon, John vidinji' inlii haa łahchy'aa gwinzii t'iinyąą t'oonchy'aa. Jii łi'deegwidlii t'ee dzaa nankat dinjii nąįį ts'an oodhinjik kwaa, gaa Zheekat Shiti' nats'an yiłtsąįį t'inchy'aa! 
40:16:018:0	Ąįįts'ą' jii naagwaldak Peter, nant'ee kii t'inchy'aa ąįį gwik'it dinjii inlii, ąįį kii kat t'ee shitr'igiinkhii zheh gwahałtsyaa, ąįįts'ą' ch'ichį' gaa duuyeh an yahtsii ts'ą' duuyeh gaiiyiigwagwahtsii t'oonchy'aa. 
40:16:019:0	Zheekat Gweegwinii'ee gwats'an lidlįį nantł'eeheelyaa t'oonchy'aa, dzaa nankat gwats'an nakwaa diinyąą ji' zheekat chan nakwaa giheenjyaa t'oonchy'aa. Ąįįts'ą' jii nankat jidii geenjit aahą' diinyąą ji' zheekat chan aahą' giheenjyaa t'oonchy'aa.” 
40:16:004:1	Jesus, Khaiinjich'iheedhat ts'ą' Niheedhaa Geegwaandak
40:16:020:0	Jesus, ditsyaa nąįį jii jyaa dahnyąą, Christ t'ihchy'aa ch'ihłak gaa haagoondak shrǫ'!” goovahnyąą. 
40:16:021:0	Izhit zhat gwats'an it'ee Jesus, ditsyaa nąįį deerahah'yaa gwinzii haa gwaandak, “Jerusalem gwats'ą' hihshyaa gwizhrįh goo'aii, ąįį zhit gwats'an Israel kįh dilk'ii nąįį ts'ą' giinkhih kįh dilk'ii nąįį ts'ą' Law eech'ǫąąhtan nąįį khaiinjich'ashagahahthat ts'ą' shęhdaa tr'igwigwehee'aa gaa drin tik gwahaadhat ąįįtł'ęę ch'ichį' ts'an neegwihįhdaii t'oonchy'aa.” goovahnyąą. 
40:16:022:0	Peter ąįį Jesus adan zhrįh nąąhchįį ts'ą' ginjik nint'aii haa yats'ą' ginkhii, “Vit'eegwijyąhchy'aa gwik'it gooli' shrǫ'! K'eegwaadhat, jii duuyeh nats'ą' jyaa digwinjii t'oonchy'aa!” yahnyąą. 
40:16:023:0	Jesus, yats'ą' nil'ee ts'ą' Peter t'ahnyąą, “Satan, shihłeehiindii! Shats'ooghaii nindhat t'oonchy'aa, jii nats'ahts'ą' ninjich'iindhat Vit'eegwijyąhchy'aa vats'an t'oonchy'aa kwaa gaa dinjii ts'an jyaa diinyąą t'iinyąą.” Yahnyąą. 
40:16:024:0	Ąįįtł'ęę Jesus, ditsyaa nąįį datthak aanaii ahnyąą ts'ą' t'agoovahnyąą, “Nakhwatee juu shaa hoozhii niindhan ji' adanaandee ts'ą' nihk'ataa'ee (cross) dakat ichyaa ts'ą' shatąįį hahkhaii. 
40:16:025:0	Juu dagwandaii, diyinji' haa intsai' ji' t'ee yaa shrihteegwehee'aa. Gaa juu shęh'an niindhat ąįįt'ee dagwandaii, diyinji' haa neehahshii. 
40:16:026:0	Dinjii jii nankat datthak ideenjit goonjik gaa viyinji' an dhidlit ji' ąįį dinjii nihk'it gaayiich'ahaahtsyaa shrǫǫ? Łyaa duuyeh! Akwat dinjii gweheendaii geenjit jidii gwantł'eehee'aa? 
40:16:027:0	Gwiti' vich'eegwąhndit, ts'ą' vizheekat gwich'in nąįį ts'ą' Gwidinji' haa izhit ji' dzaa nankat gwits'eegiheedaa diitee gwagwaanchy'aa ts'ą' diigwitr'it t'agwarah'ya' geenjit diineegoheekwat. 
40:16:028:0	Łi'haa t'anakhwaihnyąą, juk nakhwatee nakhwalat nąįį tth'aii gwandaii gwiizhit Gwidinji' Diveegwinii'ee haa needyaa gwahah'yaa t'oonchy'aa.”
