40:12:001:1	Neeraazhii Drin Zhit Geenjit Ch'agoahkat
40:12:001:0	Ąįįtł'ęę vijuu gwanaa dąį' Neegwaazhii Drin zhit, Jesus ts'ą' ditsyaa nąįį haa gwanzhįh deek'it tł'oo li' (wheat) tee geedaa gwiizhit vitsyaa nąįį goozhit gwiłts'ik ts'ą' tł'oo li' vitsii gwanzhįh tsal dhidlii kwaii gihłeegihiljil ts'ą' giiyaajyaa. 
40:12:002:0	Nijin Pharisee nąįį gwagwaah'in dąį' Jesus jyaa dagahnyąą, “Dzaa gwąąh'in, dii-law zhit nitsyaa nąįį Neegwaazhii Drin zhit gwizhit jyaa digihee'yaa kwaa goo'aii!” 
40:12:003:0	Jesus, jyaa gavahnyąą, “Yeenii David ts'ą' juu yaa nilii nąįį haa goozhit gwiłts'ik dąį' deegiizhik ąįį nik'ee Dęhtły'aa Choo kat gooh'in? 
40:12:004:0	Vit'eegwijyąhchy'aa vizheh gwadhah zhit nihdeiinzhii ts'ą' adan ts'ą' juu vaa neehiidal nąįį datthak jidii Vit'eegwijyąhchy'aa antł'eetr'ahtsit giin'al, giinkhih nąįį zhrįh ąįį łųhchy'aa hee'aa goo'aii gwinyąą, dii-Law zhit jyaa digwehee'yaa kwaa goo'aii googaa gwik'it t'iizhik. 
40:12:005:0	Nik'ee Dęhtły'aa Choh kat Moses va-law gwadanakhwatł'oo ąįį gooh'in? Neegwaazhii Drin gwitee gwagwaanchy'aa datthak giinkhih nąįį Kharigidiinjii zheh gwizhit gwitr'it t'agwah'in k'iighai' Moses va-law łeegahnaii gaa nihk'it Vit'eegwijyąhchy'aa gootr'agwaanduu gwakwaa goovahnyąą. 
40:12:006:0	Łyaa nakhwaa gwaldak t'ihnyąą, nakhwatee ch'ihłee dzaa dhidii ąįį łyaa Kharigidiinjii zheh andaa gwiintsii veegoo'aii t'inchy'aa. 
40:12:007:0	Jii t'ee Dęhtły'aa Choo zhit gwadanakhwatł'oo, ‘Ch'eet'igwiniindhan nihłeenjit akhwa'įį ąįįt'ee iindhan t'inyąą, nin ataiinjii tr'ahtsii ąįį nihthan kwaa.’ Jii deegwinyąą t'igwinyąą gaakhwandaii ji' duuyeh dinjii vatr'agwaanduu kwaa, ąįį nąįį nakhwatr'agwaanduu gwanlii ohnyąą t'oonchy'aa. 
40:12:002:1	Dinjii Vanli' Ch'ihłak Iłchįį Dhidlit
40:12:008:0	Ąįįt'ee shįį Gwidinji' t'ihchy'aa ts'ą' Neegwaazhii Drin gaa gwats'ą' k'eedeegwaldhat t'oonchy'aa.” Jesus gavahnyąą. 
40:12:009:0	Jesus, zhat gihłeehoozhii ts'ą' Jews' nąįį gootr'igiinkhii zheh nihdineezhii. 
40:12:010:0	Izhit gwizhit dinjii vanli' iłchįį zhat dhidii. Izhit zhat dinjii lat dilk'ii nąįį, Jesus gwaahkat, “Dii-law zhit Neegwaazhii Drin zhit, gwizhit dinjii shrineereheelyaa geenjit gwiizųų kwaa lee t'oonchy'aa?” giiyahnyąą. Jyaa diizhik ji' gwiizųų t'ii'in giihaanjyaa geenjit t'igiiyahnyąą. 
40:12:011:0	Jesus t'agoovahnyąą, “Nakhwatee dinjii ch'ihłak divii dii'įį akhai' ch'a'an gwachoh gwizhit t'aanaii ji', Neegwaazhii Drin zhit gwanlii ji' gaa k'iizhak gwinzii oohiindal ts'ą' khaneehahchyaa lee t'inchy'aa? 
40:12:012:0	Dzaa nankat gwidinjii nąįį divii kwaii andaa gihil'ee t'igiinchy'aa. Izhit geh'an dii-law zhit khan Neegwaazhii Drin zhit ch'izhii dinjii nąįį ts'igweheenjyaa gwinyąą t'oonchy'aa.” 
40:12:013:0	Jesus ąįį dinjii vanli' iłchįį dhidlit t'ahnyąą, “Nanleetth'ak kwaii nihky'aa oonjii.”Ąįį dinjii jyaa diizhik ts'ą' vanli' nizįį neekhwadlit, ch'izhii vanli' nizįį ąįį k'it t'inchy'aa needhidlit. 
40:12:003:1	Vit'eegwijyąhchy'aa, Jesus Yeenjit Gwitr'it T'agwahah'yaa Geenjit Gwitee Tr'ąąhchįį
40:12:014:0	Ąįįts'ą' t'ee Pharisee nąįį cheegahoojil ts'ą' Jesus nats'ahts'ą' ęhdaa tr'igwigwehee'aa geegiginkhii. 
40:12:015:0	Nijin Jesus ęhdaa tr'igwihee'aa geenjit nihłaa nigiinjil dąį' Jesus gwiitth'ak ąįįts'ą' ąįį zhit gwats'an t'ohłii neehoozhii. Dinjii lęįį nąįį yaa łeeljil ąįį nąįį chan giiyaahaajil, gwiizhit juu iłts'ik nąįį datthak shrinilii. 
40:12:016:0	“Juu t'ihchy'aa geegǫǫndak shrǫ'!” Jesus, ąįį dinjii nąįį, ginjik nint'aii haa jyaa gavahnyąą. 
40:12:017:0	Jii t'ee jyaa diizhik ts'ą' jyaa dihee'yaa vareiinyą', ąįį Vit'eegwijyąhchy'aa Eenjit Ginkhii Isaiah gwadąąntł'oo, yeenii Vit'eegwijyąhchy'aa deenyą' ąįį deeyahnyąą ąįį łi'deegwidlii gweheelyaa geenjit gwik'it t'igwiizhik: 
40:12:018:0	“Jii dinjii t'ee shitsyaa nilii łyaa veet'iihthan ts'ą' dee'in datthak shoo shahtsii,adan t'ee gwitee tr'ahchįį t'inchy'aa.Jii nankat gwich'in nąįį datthak nats'ahts'ą' neereheezhii goovaagwahandak geenjitCh'anky'aa Shroodiinyąą vats'an hałtsyaa. 
40:12:019:0	Duuyeh gwik'it chan azhral ts'ą' ch'izheedaan'ee t'inchy'aa.Akwat chan duuyeh dinjii lęįį nąįį andah gwint'aii azhral ts'ą' ginkhii t'inchy'aa. 
40:12:020:0	Gwanzhįh tł'oo k'it t'inchy'aa ąįį ch'iłtsąįį, nilii ji' gaa, duuyeh łeerahnaii.(Lamp) kwaii daak'a' adrii niheekyaa k'it t'ii'in ji' gaa duuyeh neeyahkyaa t'inchy'aa.Ąįįts'ą' dahthee tr'aanduu gaiiyiihahtsyaa gwats'ą' datthak giheendal kwaa t'inchy'aa. 
40:12:004:1	Tr'aanduu, Beelzebul Oozhii ąįįts'ą' K'eegwaadhat Jesus Haa
40:12:021:0	Ąįįts'ą' dzaa nankat dinjii nąįį datthak neegeheezhii geenjit, giit'injyahchy'aa t'iginchy'aa.” 
