40:17:001:1	Jesus Ch'ijuk Vigweheechy'aa ts'ą' Vaa Ch'eegwąhndit
40:17:001:0	Drin nihk'iitik gwahaadhat ąįįtł'ęę Jesus, Peter, John ts'ą' John vachaa James nąįį haa ddhah choh kat tthan goo'aii gwa'an gwats'ą' goovahaadlii. 
40:17:002:0	Aakin giiyaa'įį gwiizhit Jesus ch'ijuk t'inchy'aa naanaii, gwiizhit vinin shree k'it ch'ąhndit dhidlit, ąįįts'ą' vagwach'aa it'ee shrit daagąįį ts'ąįį vakat gaa ch'ąhndok haadhak.  
40:17:003:0	Ąįįtł'ęę vitsyaa tik nąįį deenaadąį' gwats'an Vit'eegwijyąhchy'aa Eenjit Ginkhii neekwaii, Elijah ts'ą' Moses haa Jesus ts'ą' giginkhii googwah'in. 
40:17:004:0	Ąįįts'ą' Peter, Jesus t'ahnyąą, “K'eegwaadhat, dzaa tr'iilk'įį geenjit łyaa gwinzii gwik'it t'iindhan ji' dzaa nakhweenjit tr'ał zheh tik gwarahahtsyaa, ch'ihłak ąįį neenjit, ts'ą' ch'ihłak chan Moses veenjit, ts'ą' ch'ihłak chan Elijah veenjit.” 
40:17:005:0	Peter, tth'aii hee ginkhii gwiizhit zheek'ǫh ch'ąhndit gook'aa t'iizhit ts'ą' zheek'ǫh zhit gwats'an gwideezhuh jyaa nyąą gwigwiitth'ak, “Jii t'ee Shidinji' t'inchy'aa, veet'iihthan ts'ą' łyaa shooshahtsii t'inchy'aa oodǫǫhk'įį!” 
40:17:006:0	Nijin vitsyaa nąįį zhit gwideezhuh giitth'ak dąį', łahchy'aa gwint'aii gihiłghaa ts'ą' nankat diginin gwagwaa'ee ts'ą' jyąhts'ą' oo'an gahaatł'it. 
40:17:007:0	Jesus goots'ą' haazhii ts'ą' gookat naanjik ts'ą' t'agavahnyąą, “Ndak nineekhwakhin ts'ą' noojat kwaa.” 
40:17:008:0	Ąįįts'ą' t'ee k'iidak gwagwaah'in akhai' Jesus zhrįh nadhat łee gwagwah'in. 
40:17:009:0	Ddhah kat gwats'an k'iizhak neegeedaa gwiizhit Jesus t'agoovahnyąą. “Nakhwandee ts'ą' gwigweelkįį gǫǫh'ya' łyaa ch'ihłak gaa haa goondak shrǫ', dahthee Gwidinji' ch'ichį' ts'an neegweheendaii gwats'ą'!” goovahnyąą. 
40:17:010:0	Ąįįtł'ęę vitsyaa nąįį giiyųąhkat, “Jaghaii Law eech'ǫąąhtan nąįį Elijah tr'ookit k'ineeheedik ginyąą t'iginyąą?” 
