40:15:001:1	Yeenii Diitsii Nąįį Jidii Geech'agahchya'
40:15:001:0	Ąįįtł'ęę Pharisee, ts'ą' Law eech'ǫąąhtan nąįį lat haa, Jerusalem gwats'an gahaajil ts'ą' Jesus goahkat, 
40:15:002:0	“Jaghaii nitsyaa nąįį yeenii diitsii nąįį jidii eech'agwaahtan ąįį gwik'it t'igii'in kwaa? Ch'igihee'aa gwehkįį diinanli' geech'arahtryaa, jaghaii gwik'it t'igii'in kwaa?” 
40:15:003:0	Jesus t'agoovahnyąą, “Jaghaii, Dęhtły'aa Choo zhit Vit'eegwijyąhchy'aa deenakhwahnyąą ąįį gwik'it t'akhwa'in kwaa gwiizhit yeenii nakhwatsįį nąįį jidii geenakhwagǫǫłtin ąįį gwik'it t'akhwa'in? 
40:15:004:0	Akwat Vit'eegwijyąhchy'aa jyaa nyąą, ‘Niti' ts'ą' nakhan haa khadhoo'ee!’ ąįįts'ą' chan, ‘Niti' ts'ą' nakhan nąįį ts'ą' gwiizųų gohkhyaa shrǫ', jii gwik'it t'ini'in kwaa ji' t'ee nęhdaa tr'igwirehee'aa goo'aii!’ gwinyąą. 
40:15:005:0	Gaa, nakhwan ąįį jii jyaa dohnyąą ts'ą' geech'oohtan, nakhwati' ts'ą' nakhwakhan haa jidii t'eegąhchy'aa ni'įį ji' gaa datthak Vit'eegwijyąhchy'aa veenjit dohnyąą ąįįtł'ęę, 
40:15:006:0	Nakhwati' ts'ą' nakhwahan haa goots'ohnyąą k'iighai' khadhoo'ee gwat'oohchy'aa kwaa, dohnyąą. Jii jyaa dohnyąą haa nakhwan ąįį law ideenjit ohtsii ts'ą' geech'oohtan, jii jyaa dakhwa'in ts'ą' Vit'eegwijyąhchy'aa va-law ąįį zhyaa k'it ǫhjii. 
40:15:007:0	Juu dinjii nizįį adaa'įį nąįį! Yeenii Isaiah ąįį łyaa k'igwąą'ee ts'ą' ginkhii t'inyąą łee, nijin jyąhts'ą' nakhweeginkhii dąį'! 
40:15:008:0	‘Jii nankat gwich'in nąįį digiginjik haa shigihił'ee, Vit'eegwijyąhchy'aa nyąągaa łahchy'aa tr'ihkhit goodrii zhit shats'ą' niighit dha'aii t'iginyąą, gavahnyąą! 
40:15:002:1	Jii K'eiich'ii Kwaii T'ee Dinjii Nąįį Shroodiinyąą Kwaa Ąhtsii Kwaa T'oonchy'aa
40:15:009:0	Dzaa nankat gwa-law eech'agǫąąhtan, ąįį Sha-law k'it giiyuunjii geh'an.Shats'ą' nikiigwagwah'ee ts'ą' khadigigiinjii gwit'eegaahchy'aa kwaa t'igiinchy'aa.’” 
40:15:010:0	Ąįįtł'ęę Jesus, zhit juu yaałeeljil nąįį aanaii ahnyąą ts'ą' adats'ą' nagoovinlii ts'ą' t'agavahnyąą, “Ch'oodǫǫhk'įį deegwinyąą t'igwinyąą, gahahkhwandaii geenjit! 
40:15:011:0	Jidii nakhwaghit gwik'ijyaa, ąįįt'ee shroodiinyąą kwaa nakhwahtsii kwaa, gaa jidii nakhwaghit tr'ijyaa ąįįt'ee shroodiinyąą kwaa nakhwahtsii t'oonchy'aa.” 
