40:11:001:1	John Chųų Gwats'an Ąhtsii Ąįį Vats'an Tr'ihił'e' Nąįį.
40:11:001:0	Nijin Jesus, ditsyaa 12 nąįį gǫąąhtan ndaanaahjik, dąį' zhat gihłeehoozhii ts'ą' zhat gwa'an kwaiik'it goodlii gwitee gwa'an geech'ǫąąhtan ts'ą' Gwandak Nizįį eegiinkhii. 
40:11:002:0	Nijin John chųų gwats'an ąhtsii, zheegwaazhrąįį dhidii gwiizhit Jesus dee'in datthak eegwiitth'ak dąį', ditsyaa nąįį Jesus ts'ą' hił'e'. 
40:11:003:0	“Diihaa gwandak, nanlee dinjii oo'ee heekhaa ginyąą lee t'inchy'aa? Akwaa ji' ch'izhii dinjii ąįį keegwarahah'yaa?” giiyahnyąą. 
40:11:004:0	Jesus t'agavahnyąą, “Nijin gwats'ąnh ohdaa gwits'eekhwajyaa ts'ą' jidii nǫh'ya' ts'ą' jidii gootth'ak datthak John vaagoondak. 
40:11:005:0	Dinjii vandee kwaa nąįį gaa goovaagweheechy'aa geenjit shrineegaazhik, juu neehidik kwaa nąįį chan neehidik neekhwadlit. Zhit juu gootthąį' kat gwiizųų (leprosy) haa khaiinjich'iidhat nąįį chan shrineegaazhik ts'ą' gookat gwinzii neegahoodlit. Juu ch'iitth'ak kwaa nąįį gaa ch'igiheetth'ak geenjit shrineegaazhik, juu niindhat gaa chan neegweheendaii, ąįįts'ą' Gwandak Nizįį zhit juu neeshraahchy'aa nąįį haa gwaldak. 
40:11:006:0	Zhit juu khit shik'injiighit nąįį łahchy'aa sheenjit shoo giinlii.” 
40:11:007:0	John vitsyaa nąįį neegeheenjyaa, gwiizhit Jesus, zhit juu yaa łeeljil nąįį John eegavaagwaandak, “Nijin John nangwinjir gwa'an vats'a' hadhoojil dąį' jidii hǫǫh'yaa nohthan? Dinjii vat'aii kwaa, tł'oo ts'ik ch'ihłak ahtr'aii tee yihichik k'it t'inchy'aa hǫǫh'yaa nohthan? 
40:11:008:0	Zhat gwats'ą' khadhoojil dąį' jidii hǫǫh'yaa nohthan? Dinjii gwach'aa nidiiltsį' nizįį naazhii hǫǫh'yaa nohthan? Dinjii jyąhts'ą' nagwaazhii nąįį zhrįh King vizheh gwachoh gwizhit gwigwich'įį t'oonchy'aa. 
40:11:009:0	Shaagoondak, jidii hǫǫh'yaa nohthan ąįį nǫh'ya'? Vit'eegwijyąhchy'aa Eenjit Ginkhii hǫǫh'yaa nohthan? Aahą', łyaa Vit'eegwijyąhchy'aa Eenjit Ginkhii hǫǫh'yaa nohthan akhai' Vit'eegwijyąhchy'aa Eenjit Ginkhii andaa hil'ee nilii ąįį nǫh'ya'. 
40:11:010:0	Ąįį John t'ee Dęhtły'aa Choo zhit jyąhts'ą' veerigiinkhe', ‘Vit'eegwijyąhchy'aa ąįį yeenjit jyaa diinyą' juu neehał'at nits'ii oo'an hał'aa t'oonchy'aa, neenjit tąįį shrigweheelyaa geenjit.’ 
