40:28:001:1	Jesus Neegwiindaii
40:28:001:0	Neegwaazhii Drin ąįįtł'ęę Drinzhit vanh shree khahee'aa gwehkįį, Mary Magdalene ts'ą' ch'izhii Mary, haa tth'ank'it gwagwahąąh'yaa geenjit gwats'ą' gahaa'oo.  
40:28:002:0	Khan hee nankat gwint'aii gwaatrat nagwaanąįį, gwiizhit zheekat gwats'an K'eegwaadhat vizheekat gwich'in zhat nadaanaii ts'ą' kii choh gwadąįį dha'aii gihłeehiłdzik ts'ą' yakat doondii. 
40:28:003:0	Nahtan needoohaadhak k'it viyiichy'a' ts'ą' vagwach'aa chan zhah k'it daagąįį. 
40:28:004:0	Niveet'ah'in zhat gwak'ąąhtii nąįį it'ee shrit gihilghaa ts'ąįį gwint'aii gaatrat ts'ą' oozhak t'eegiiheełnaii ts'ą' giłchįį k'it t'igiinchy'aa nagaanaii. 
40:28:005:0	Gaa zheekat gwich'in ąįį zhit tr'injaa nąįį t'ahnyąą, “Noojat kwaa, Jesus giriłtsak chy'ah vankeegǫǫh'in nakhwaashandaii. 
40:28:006:0	Dzaa dhidii kwaa, gwandaii neeheelyaa nyąą chy'aa gwik'it t'iizhit t'inchy'aa, aanaii dzaa vich'ichį' nijin t'inchy'aa, chy'aa gooh'in. 
40:28:007:0	Khants'ą' oo'an neekhwajyaa ts'ą' vitsyaa nąįį haa goondak. ‘Ch'ichį' ts'an needhikhin ąįįts'ą' juk zhat Galilee nahkat nakhwehkii gwats'ą' haazhii ts'ą', ąįį zhit ji' hǫǫh'yaa t'inchy'aa.’ Deenakhwaihnyą' gineehoondaii yuu.” 
40:28:008:0	Ąįįts'ą' tth'ank'it gwats'an gąąnjat gaa goozhit shoo dha'aii haa oo'an vitsyaa nąįį haa gwagwaandak geenjit gihłeegalgihiljil. 
40:28:009:0	Khan hee Jesus goots'ą' tr'iinzhii ts'ą' t'agavahnyąą, “Tsinehdan nakhwaa oolį'!” Giits'ą' haajil ts'ą' zhat giikwai' oonjik ts'ą' giits'ą' nikiigwiintthaii. 
40:28:002:1	Niveet'ah'in Nąįį Tth'ank'it Gwik'eegaahti' Geenjit Deeginyą'
40:28:010:0	“Noojat shrǫ', shitsyaa nąįį, shachaa k'it t'igiinchy'aa Galilee nahkat gwats'ą' hohjyaa goovohnyąą ts'ą' ąįį zhit ji' goohaał'yaa.” gavahnyąą. 
40:28:011:0	Tr'injaa nąįį k'ii'an gihłeegahoojil gwiizhit niveet'ah'in tth'ank'it gwik'eegąąhtii lat nąįį, giinkhih kįh dilk'ii nąįį ts'eegahoojil ts'ą' deegwiizhik datthak gavaa gwagwaandak. 
40:28:012:0	Giinkhih kįh dilk'ii nąįį ts'ą' Jews kįh dilk'ii nąįį haa nihłaa khaihłan nigiinjil ts'ą' deegihee'yaa geegiginkhe' ts'ą' laraa lęįį gavantł'eegiinlii, 
40:28:013:0	ts'ą' t'agoogahnyąą, “Zhat tǫǫ tr'iłchųų gwiizhik vitsyaa nąįį zhat gwats'ą' gahaajil ts'ą' giichį' naa'įį łee hohjyaa yuu.” googahnyąą. 
40:28:014:0	Ąįįts'ą' Governor Pilate gwiitth'ak ji', nakhwan'ąįį gwiizųų t'akhwazhit kwaa varahaanjyaa ts'ą' diik'injiheeghit tr'ahahtsyaa t'inchy'aa, ąįįts'ą' geenjit tr'agohdii gwat'oohchy'aa kwaa googahnyąą.” 
40:28:003:1	Jesus, Ditsyaa Nąįį Ts'ą' Vigweelkįį
40:28:015:0	Niveet'ah'in nąįį laraa lęįį tee gwigwįłjik ts'ą' deegooreiinyą' chy'aa gwik'it t'igiinyą'. Ts'ą' juk gweendaa googaa nihk'it jyaa diginyąą haa Jews nąįį datthak nihłehjuk geegigiinkhii goodlit. 
40:28:016:0	Jesus, vitsyaa, 11 nąįį, Galilee nahkat gwizhit taih dha'aii ąįį zhit gwats'ą' hohjyaa gavahnyąą ąįį gwik'it t'igiizhik. 
40:28:017:0	Goolat nąįį giik'injiighit kwaa gaa nijin giiyąąh'ya' dąį' giits'ą' khadigeedi'. 
40:28:018:0	Jesus goots'ą' nahgǫǫ niinzhii ts'ą' t'agavahnyąą. “Zheekat ts'ą' nankat haa datthak geenjit t'aih shintł'eetr'iin'ąįį t'oonchy'aa! 
40:28:019:0	Ąįįts'ą' nankat gwich'in nąįį datthak goots'ą' hohjyaa ts'ą' shitsyaa gavohtsii. Gwiti', Gwidinji' ts'ą' Ch'anky'aa Shroodiinyąą oozhri' zhit chųų goots'an ohtsii, 
40:28:020:0	ts'ą' shik'eegwagwahahthat geenjit geegavǫhtan ts'ą' deenakhwaihnyą' datthak geenjit chan gavaa goondak. Ts'ą' nan ndaagwąąn'ąį' gwats'ą' datthak, nakhwaa hihłyaa t'oonchy'aa.” Jesus gavahnyąą. 
