31:1:001:1	Íídam dine'é a'ohgo ábi'didoolnííł
31:1:001:0	Kót'éego Obadáíyah bił áhoodzaa . Bóhólníihii Diyin God éí Íídam dine'é yeinít'į́įgo ání : Bóhólníihii bits'ą́ą́dę́ę́' hane' dasidiits'ą́ą́' , índa ał'ąą dine'é dabitahgóó naal'a'í abi'dool'a'go ání , Sołtį' , hasht'edadohnéehgo bił anaa' dahodiidleeł .
31:1:002:0	A ł'ąą dine'é bitahgóó hojooba' ánít'éego ándeeshłííł índa t'áá íiyisí ni'dit'į́ , jó'akon .
31:1:003:0	Wódahdi tsédaagiizh góne' kééhóht'íinii , háishą' hayóí shį́į́ ni'jį' hadashidínóoyoł , diníinii nijéí ádaa ha'niihgo ádiná'ídlo' .
31:1:004:0	Azhą́ átsá nahalingo yót'ááh náhodídleeh nidi , azhą́ sǫ' bitahdi nit'oh íinilaa nidi , áádę́ę́' hadah kónándeeshdlííł , ní Bóhólníihii .
31:1:005:0	Dooládó' ádadoohdįįł da ! Ani'įįhii naaníjée'go , doodaii' tł'ée'go aghada'ii'níiłii naatįįh yíjée'go t'áásh ádíighahígo ádá da'dínóo'į́į́ł ? Ch'il na'atł'o'ii dayóbéhígíí neiyíkaigo da' doósh ła' áá deidoosįįł da ?
31:1:006:0	Dooládó' Íísa bee áhásdįįd da índa yit'íinii ałtso beineest'į́į' da !
31:1:007:0	Diné bił aha'díínít'ánígíí t'áá ałtso kéyah nineel'ą́ąjį' adanizlóóz ; diné bił k'é da'ahidí'níinii nida'deezlo' índa nik'eh dadeesdlį́į́' ; nibááh dayííyą́ą'ii ná nida'az'ą́ . Éí doo ak'i'diitįįh da .
31:1:008:0	Bóhólníihii ání , Éí bijį́įdi Íídam kéyahdóó hastóí dahóyáanii ts'ídá ádeeshdįįł ; Íísa bidziłdóó ak'i'diitįįhii ádeeshdįįł .
31:1:009:0	Tííman nílíinii , kin haal'á nitahdóó diné dabidziilii nani'eeshígíí biyadahodidoolyis , áko Íísa bidziłdóóígíí t'ááłá'í jinítínígo nidahodi'dootsiłgo ádazhdoodįįł .
31:1:010:0	Baa yáhásinii nik'iidooldohgo hool'áágóó ándi'dooldįįł , háálá nik'is Jéíkab atíinilaa .
31:1:011:0	Éí bijį́ łahjí yinizį'go t'áadoo baa nítsínít'įįd da ; éí bijį́ dé'éyóní bisiláo yisnááh hats'ą́ą́' adayiizh'eezh índa ana'í danilíinii yah a'atiin góne' yah aheeskaigo Jerúsalem biniyé yáá'iilt'e' yaa naaskai , índa éigi ánít'éé nít'éé' .
31:1:012:0	Nidi nik'is nilíinii yisnááh silį́į'go doo baa ts'ííd nínízin da doo nít'éé' ; Júdah dine'é danilíinii atídabi'diilyaa góne' doo baa nił nihoozhǫǫh da doo nít'éé' ; yínííł bił beiníłką́ągo doo ádaa hó'niihgóó hadíídzih da nít'éé' .
31:1:013:0	Ti'hoo'nííhtsoh béé'oo'nííh beiníłką́ą́ góne' shidine'é bich'é'étiin góne' doo yah adíínáał da nít'éé' ; ti'hoo'nííhtsoh béé'oo'nííh beiníłką́ą́ góne' doo baa ts'ííd nínízin da doo nít'éé' ; ti'hoo'nííhtsoh béé'oo'nííh beiníłką́ągo yá'át'éehii bee hólónígíí doo ła' nídidííléeł da nít'éé' .
31:1:014:0	Yóó'adahinichéhígíí ádííłdįįł biniyé bá ch'íhonít'i'gi doo sínízį́į da doo nít'éé' ; yínííł beiníłką́ą́ góne' ch'ída'iisdįįdígíí yisnááh dadooleeł biniyé doo ninádidíí'áał da nít'éé' .
31:1:015:0	Jó , Bóhólníihii beidoołkáłígíí ał'ąą dine'é t'áá ałtso bik'i hwiidooleeł . T'áá íínít'įįdígi át'éego nich'į' áhodoonííł ; íinidzaaígíí nik'ijį' nídoodleeł .
31:1:002:1	Ízrel dine'é bidziilgo ádabidi'doolnííł
31:1:016:0	Áko shidził diyinii bighą́ą'di íínídlą́'ígi át'éego ał'ąą dine'é t'áá ałtso da'adlą́ą dooleeł ; idadí'nóodlį́įłgo nídadí'nóodlį́į́ł índa ts'ídá t'áadoo nidahaazhchį́į da nidahalin doo .
31:1:017:0	Nidi Dził Záíyan bighą́ą'di ła' yisdáhidookahgo hodiyin dooleeł áádóó Jéíkab bighandóó danilínígíí t'áá daabíí' nít'éé' yę́ę bíí' nídadoodleeł .
31:1:018:0	Jéíkab ba'áłchíní náás ahoolchíiłii kǫ' nidahalin , áádóó Jóseph ba'áłchíní náás ahoolchíiłii éí kǫ' dah nídíno'ii nidahalin , nidi Íísa ba'áłchíní náás ahoolchíiłii ehégod nidahojílingo hohodidoo'niłgo ahodi'doolk'ą́ąłgo doo ła' doodzih da , háálá Bóhólníihii yee haadzíí' .
31:1:019:0	Shádi'áahjigo kéédahojit'ínígíí Íísa bidził hóó' dadooleeł ; dzígaigi kéédahojit'ínígíí Filístiya kéyah hóó' dadooleeł ; Íífreiyim bikéyah áádóó Samériya bikéyah ałdó' hóó' dadooleeł , áádóó Bénjamin éí Gíliyad kéyahígíí bíí' dooleeł .
31:1:020:0	Ízreldóó siláo danilíinii dabi'disnááh yę́ę éí Kéínan kéyahdóó Zárefathjį' bíí' dadooleeł , índa Jerúsalemdóó dabi'disnááh yę́ę Siiféíradgi nidaakaígíí éí shádi'áahjigo kin hadaas'áhígíí bíí' dadooleeł .
31:1:021:0	Nídabisnánígíí Dził Záíyan si'ánígóó hadookahgo Íísa bidził si'ánígi áadi nidant'áa doo ; aláahgo bee óhólníihgo bił haz'áanii éí Bóhólníihii bí doo .
