62:3:001:1	Jii T'ee Vit'eegwijyąhchy'aa Vitr'iinin Nąįį
62:3:001:0	Diiti' łyaa deegwiłtł'oo diineet'iindhan diits'ą' googwaahch'in , izhik gininjich'ohthat . Ch'eet'igwiniindhan diineenjit di'įį łyaa nitsii . Ąįį geh'an t'ee Vit'eegwijyąhchy'aa vitr'iinin nąįį diinahnyąą . Akwat it'ee łyaa zhyąą vitr'iinin nąįį t'irinchy'aa . Ąįį geh'an t'ee zhik juu dzaa nankak deegwii'in gwizhrįį gininjich'ahthat nąįį diihaagiindaii kwaa . Ąįįts'ą' chan Vit'eegwijyąhchy'aa juu t'inchy'aa gąą gaagiindaii kwaa .
62:3:002:0	Shalak nąįį , juk Vit'eegwijyąhchy'aa vitr'iinin nąįį tr'inlii , gąą yeendaa ji' jidii k'it t'inchy'aa dinjii tr'iheelyaa tth'aii gaagwiindaii kwaa . Gąą nijin Christ idineegwiilkįį ji' , deegwiłtł'oo shroodiinyąą nilii tr'ahaah'yaa . Ąįį gwik'iighai' t'ee vik'it t'igweheenjyaa . Izhik t'ee łyaa gaagwiindaii .
62:3:003:0	Jyaa digweheenjyaa geenjit dinjikhwaghit ji' , ts'ą' gwik'it t'igweheenjyaa khik ts'ą' geegohłii . Ąįįts'ą' khik geenjit shrii tr'eedoozhii , Christ deegwiłtł'oo shroodiinyąą nilii gwik'it t'ahohchy'aa geenjit .
62:3:004:0	Juu tr'agwaanduu gwitr'it t'agwah'in t'ee Vit'eegwijyąhchy'aa Va-law łahnaii t'inchy'aa , tr'agwaanduu gwitr'it t'agwarah'in t'ee Law łeerahnaii t'igwii'in .
62:3:005:0	Christ dzaa nankak gwats'ą' haazhii , diitr'agwaanduu diiłeegweheelyaa geenjit . Izhik t'ee łyaa gaakhwandaii . Łyaa zhyąą khagwaatsii kwaa , khagwahaatsyaa gwadrąįį gwatsal gąą veenjit gwakwaa .
62:3:006:0	Ąįį geh'an juu Christ ch'ihłak k'it haa t'inchy'aa nąįį , tr'agwaanduu gwankeegihee'ik kwaa . Gąą juu geenjit gwakwaa tr'ahaanduu gwankeehi'ik nąįį , t'ee łyaa tth'aii Christ k'injigiighit kwaa . Ąįįts'ą' chan juu t'inchy'aa giiyaandaii kwaa .
62:3:007:0	Shitr'iinin nąįį , zhik juu teenakhwahoihłyaa yindhan , ąįį nąįį ts'į' adak'ǫǫntii . Juu khik gwinzii t'ii'in , ąįįt'ee łyaa vit'igwiin'ee kwaa , Christ vit'igwiin'ee kwaa gwik'it .
62:3:008:0	Nan goodlit gwats'an Ch'anky'aa Tr'aanduu khagwihiiltsąįį ts'ą' tth'aii hee ąhdal . Juu yik'it tąhdaii nąįį t'ee yigii nąįį nilii . Ch'anky'aa Tr'aanduu vigwitr'it datthak an gwahahtsyaa , izhik geenjit gwizhrįį Vit'eegwijyąhchy'aa Vidinji' nankak niinzhii .
62:3:009:0	Juu Vit'eegwijyąhchy'aa vitr'iinin nąįį nilii , ąįį nąįį t'ee Vit'eegwijyąhchy'aa deiinchy'aa gwik'it t'inchy'aa . Ąįį nąįį t'ee khagwahaatsyaa gwankeegihi'ik kwaa , Vit'eegwijyąhchy'aa t'ee gooti' nilii , ąįį geh'an t'ee zhyąą khagogwahaatsyaa gwankeegihi'ik kwaa .
62:3:002:1	Łyaa Zhyaa Nihłeet'irihęęnghyaa Gwizhrįį
62:3:010:0	Juu khik gwinzii t'ihee'yaa gwik'eegwandaii kwaa , ąįį nąįį t'ee Vit'eegwijyąhchy'aa vigii nąįį t'inchy'aa kwaa . Ąįįts'ą' chan juu Christ k'injiighit nąįį eenjit ch'eet'igwiniindhan di'įį kwaa , ąįį nąįį chan Vit'eegwijyąhchy'aa vitr'iinin nąįį nilii kwaa . Jyąhts'ą' t'ee juu Vit'eegwijyąhchy'aa vitr'iinin nilii , ts'ą' juu Ch'anky'aa Tr'aanduu vitr'iinin nąįį nilii , gwinzii tthak gaareheendaii .
62:3:011:0	Nijin drin Christ k'injuhkhit dhoodlit gwats'an hee jii ginjik dohtth'ak . Dinjii nąįį datthak nihłeet'ihęęnghyaa gwizhrįį , gwinyąą .
62:3:012:0	Dinjii , Cain oaazhii , vik'it dinjii tr'oolį' shrǫ' , khai' dachaa , Abel oaazhii , diłkhwąįį . Ch'anky'aa tr'aanduu ts'an nilii . Jaghaii dachaa diłkhwąįį ? Vachaa gweheezyaa geenjit gwizhrįį gwitr'it t'agwah'in , gąą adan ąįį gweheezųų geenjit gwizhrįį gwitr'it t'agwah'in . Izhik geh'an gwizhrįį dachaa diłkhwąįį .
62:3:013:0	Shalak nąįį , ch'anky'aa tr'aanduu vitsyaa nąįį duulee nakhwatr'ihee'ee t'oonchy'aa , izhik geegohłii .
62:3:014:0	Diikhwan ąįį Christ k'injiighit nąįį łyaa eet'iriindhan . Ąįį geh'an ch'ichį' k'it t'irinchy'aa kwaa ts'ą' at'ohju' t'ee łyaa zhyąą gwarandaii . Gąą juu Christ k'injiighit nąįį eenjit ch'eet'igwiniindhan di'įį kwaa ji' , ąįįt'ee ch'ichį' k'it nihk'it t'inchy'aa ts'ą' khik ts'ą' jyaa diheechy'aa .
62:3:015:0	Juu Christ k'injiighit nąįį itr'ii'ee , ąįįt'ee dinjii aghan nilii . Łyaa zhyąą gwireheendaii ji' , dinjii aghan k'it t'oonchy'aa ji' , duuyeh gwik'it goo'aii . Ąįįt'ee gaakhwandaii .
62:3:016:0	Christ diineenjit gwizhrįį niindhat . Jyąhts'ą' t'ee deegwiłtł'oo diineet'iindhan diits'ą' googwaahch'in . Vik'it diikhwan chan Christ k'injiighit nąįį eenjit diidrin ji' , gąą gwintł'eereheelyaa .
62:3:017:0	Juu jidii t'aahchy'aa datthak di'įį , gąą Christ k'injiighit nąįį ch'ihłak k'eiich'ii t'aahchy'aa haandaii , googaa yeechyaa kwaa ts'ą' yits'inyąą kwaa . Ąįįt'ee Vit'eegwijyąhchy'aa vich'eet'igwiniidhan haandaii kwaa .
62:3:003:1	Tr'ąąnjat Kwaa Ts'ą' Vit'eegwijyąhchy'aa Vats'ą' Khadigireheejyaa
62:3:018:0	Shitr'iinin nąįį , ginjik haa gwizhrįį nihłeet'irihęęnghyaa kwaa . Zhyaa nihłeet'iriindhan nihłaraanyąą ts'ą' zhyąą geegirinkhii ji' , it'ee ginjik zhrįh t'inchy'aa . Łyaa zhyąą nihłeet'iriindhan ji' , it'ee diigwitr'it haa garagwahaahchy'aa .
62:3:019:0	Ąįį ji' t'ee , Vit'eegwijyąhchy'aa łyaa zhyąą nilii vats'an tr'inlii łyaa zhyąą gaagweheendaii . Ąįįts'ą' chan nijin Vit'eegwijyąhchy'aa vandaa nirįįnjil ji' , khai' tr'ahaachy'aa ts'ą' t'igwehee'yaa .
62:3:020:0	Gąą diiyinji' zhit gwintsal gwizhrįį ch'ijuk ninjich'aradhat ji' , gąą khai' tr'ahaachy'aa kwaa . Vit'eegwijyąhchy'aa łyaa diiyinji' zhit adagwiindaii gwandaa datthak diinaandaii . Vit'eegwijyąhchy'aa jidii datthak gaandaii .
