62:5:001:1	Jyąhts'ą' T'ee Dzaa Nankak gwizhit Ch'anky'aa Tr'aanduu Gwitr'it Gaiitr'iłtsaii
62:5:001:0	Juu Jesus łyaa Christ t'inchy'aa , gwik'injiighit , ąįįt'ee Vit'eegwijyąhchy'aa vigii . Juu ch'iti' nilii eet'iindhan , ąįį chan yigii nąįį eet'ihęęnghyaa gwizhrįį .
62:5:002:0	Ąįį geh'an Vit'eegwijyąhchy'aa veet'igwiindhan ji' , ąįįts'ą' chan diits'ą' k'eedeegwaadhat gwik'eegwarahthat ji' , vigii nąįį chan łyaa eet'irehęęghyaa gwizhrįį .
62:5:003-004:0	Diits'ą' k'eedeegwaadhat gwik'eegwarahthat ji' , t'ee Vit'eegwijyąhchy'aa veet'igwiindhan garagwahaahchy'aa . Vigii nąįį teegogwąąhchy'ąą ts'ą' dzaa nankak gwizhit ch'anky'aa tr'aanduu gwitr'it gwideet'igiheechy'aa gagadhan . Diigwik'injigwiighit , ąįį geh'an dzaa nankak gwizhit ch'anky'aa tr'aanduu gwitr'it deet'irinchy'aa . Vit'eegwijyąhchy'aa diits'ą' k'eedeegwaadhat gwik'eegwarahahthat garadhan , ąįį geh'an gwizhrįį .
62:5:002:1	Vit'eegwijyąhchy'aa Jesus Christ Eenjit Deiinyą'
62:5:005:0	Juu Jesus łyaa Vit'eegwijyąhchy'aa Vidinji' t'inchy'aa , gwik'injiighit ji' t'ee , ąįį nąįį zhrįh dzaa nankak gwizhit ch'anky'aa tr'aanduu gwitr'it ideet'igiheechy'aa .
62:5:006:0	Jesus łyaa zhyąą Christ t'inchy'aa , adan dzaa nankak gwats'ą' haazhii . Dzaa nankak dhidii gwiizhik chųų haa chan chųų vats'an dhidlit ąįįts'ą' chan vadaa vats'an tr'iinląįį ąįįts'ą' niindhat . Chųų zhrįh vats'an dhidlit kwaa , vadaa chan vats'an tr'iinląįį ts'ą' chan niindhat . Ch'anky'aa Shroodiinyąą k'iighai' jii t'ee łyaa zhyąą gwik'it t'igwiizhik gaagwiindaii . Ch'anky'aa Shroodiinyąą łyaa duuyeh diits'ą' oots'it .
62:5:007-008:0	Jii tik t'ee gwik'it t'igwiizhik , łi'deegwidlii gaagwiindaii , Ch'anky'aa Shroodiinyąą , chųų , vadaa kwaii haa kheihłok deegwiizhik gwagwahch'in .
62:5:009:0	Dinjii , “ K'eegwiichy'aa t'igwiizhik , ” nyąą vik'injiriighit . Nijin Vit'eegwijyąhchy'aa k'eegwiichy'aa t'inyąą dąį' , izhik ch'andaa gwik'injireheeghit gwizhrįį , deenyąą datthak łi'didlii . Jii t'ee Vit'eegwijyąhchy'aa geediinaagwaandak , Didinji' eenjit diinaa gwaandak .
62:5:010:0	Juu Vit'eegwijyąhchy'aa Vidinji' eenjit gwik'injiighit , ąįįts'ą' Vit'eegwijyąhchy'aa deenyąą gwik'injiighit , ąįįt'ee gininjich'ahthat ts'ą' gwit'injyąhchy'aa . Gąą juu Vit'eegwijyąhchy'aa deenyąą gwik'injiighit kwaa , ąįįt'ee , “ Vit'eegwijyąhchy'aa oots'it , ” nyąą k'it nihk'it t'iichy'aa . Vit'eegwijyąhchy'aa Didinji' eeginkhii ąįį gwik'injiighit kwaa , ąįį geh'an Vit'eegwijyąhchy'aa oots'it k'it deegwahtsii .
62:5:011:0	Jidii diinaa gwaandak , ąįįt'ee gweedhaa tthak dinjii nąįį gweheendaii , nyąą t'inyąą . Jii gweedhaa tthak gwireheendaii diinintł'eiin'ąįį , ąįįt'ee Vidinji' k'iighai' .
