62:4:001:1	Ch'anky'aa Shroodiinyąą Łyaa Oots'it Kwaa , Gąą Ch'anky'aa Tr'aanduu Łyaa Oots'it Gaandaii
62:4:001:0	Shalak nąįį , Vit'eegwijyąhchy'aa eenjit ginkhii adaa'įį nąįį dzaa nankak gwanlii . Dinjii lęįį nąįį tsinteediihąąhkaii . Juu Ch'anky'aa Shroodiinyąą shats'an nilii , nyąą ji' , ąįį nąįį k'injuhkhit shrǫ' , gąą Vit'eegwijyąhchy'aa vats'an Ch'anky'aa Shroodiinyąą di'įį ji' , eenjit tr'ookit vak'ahoonjii .
62:4:002:0	Jyąhts'ą' t'ee Vit'eegwijyąhchy'aa Vach'anky'aa Shroodiinyąą haa haakhwandaii . Dinjii Jesus Christ dinjii k'it dzaa nankak noozhii , nyąą ji' , ąįįt'ee Vit'eegwijyąhchy'aa Vach'anky'aa Shroodiinyąą di'įį .
62:4:003:0	Gąą juu , “ Jesus dinjii k'it dzaa nankak noozhii kwaa , ” nyąą ji' , ąįįt'ee Vit'eegwijyąhchy'aa Vach'anky'aa Shroodiinyąą di'įį kwaa . Jidii di'įį ąįįt'ee Christ ts'ą' gwił'ąįį ts'an t'inchy'aa . “ Christ ts'ą' gwił'ąįį it'ee diitee neeheedyaa , ” gwinyąą , izhik t'ee goohtth'ak . Gąą ch'adąį' hee diitee neezhįį t'inchy'aa .
62:4:004:0	Gąą shitr'iinin nąįį , Vit'eegwijyąhchy'aa vats'an ǫhłįį . Ch'anky'aa Shroodiinyąą nakhwats'an nilii , ąįįt'ee ch'anky'aa tr'aanduu dzaa nankak gwats'an nilii nąįį zhit gwitr'it t'agwah'in , ąįį gąą andaa veegoo'aii . Ch'anky'aa Shroodiinyąą nakhwats'an nilii geh'an t'ee , “ Vit'eegwijyąhchy'aa eenjit ginkhii ihłįį , ” nyąą nąįį neenakhwagiin'ak kwaa .
62:4:005:0	Jii nąįį t'ee dzaa nankak gwats'an ginlįį . Dzaa nankak deegwii'in gwizhrįį geegiginkhii ts'ą' nankak gwats'an nilii nąįį łyaa zhyąą gavoołk'įį .
62:4:002:1	Vit'eegwijyąhchy'aa Gweedhaa Tthak Dinjii Nąįį Eet'iindhan
62:4:006:0	Gąą diikhwan Vit'eegwijyąhchy'aa vats'an tr'inlii . Juu Vit'eegwijyąhchy'aa haandaii nąįį t'ee łyaa diigoołk'įį . Juu Vit'eegwijyąhchy'aa vats'an nilii kwaa nąįį diigoołk'įį kwaa . Ch'anky'aa Shroodiinyąą łyaa oots'it kwaa , gąą ch'anky'aa tr'aanduu łyaa oots'it gaandaii . Diigoołk'įį ji' t'ee Ch'anky'aa Shroodiinyąą vats'an nilii , vaagweheendaii . Ąįįts'ą' chan diigoołk'įį kwaa ji' t'ee , ch'anky'aa tr'aanduu vats'an nilii , vaagweheendaii .
62:4:007:0	Shalak nąįį , ch'eet'igwiniindhan t'ee Vit'eegwijyąhchy'aa ts'an t'inchy'aa . Ąįį geh'an t'ee khik ts'ą' gwintł'oo nihłeet'irihęęnghyaa . Juu łyaa zhyąą ch'eet'igwiniindhan di'įį , ąįįt'ee Vit'eegwijyąhchy'aa vigii , ąįįts'ą' chan Vit'eegwijyąhchy'aa łyaa haandaii .
62:4:008:0	Vit'eegwijyąhchy'aa gweedhaa tthak khik dinjii nąįį eet'iindhan , ąįį geh'an juu ch'eet'igwiniindhan di'įį kwaa , ąįįt'ee tth'aii googaa Vit'eegwijyąhchy'aa haandaii kwaa .
62:4:009:0	Vit'eegwijyąhchy'aa Didinji' , it'ee shri' vigii , dzaa nankak gwats'ą' hił'e' , vik'iighai' łyaa zhyąą t'oohju' t'ee gwireheendaii geenjit . Jyąhts'ą' t'ee deegwiłtł'oo diineet'iindhan geediinoołtin .
