62:1:001:1	Dinjii Khik Geenjit Gweheendaii Eenjit
62:1:001:0	Nijin nan goodlit dąį' Ginjik gwandaii eenjit nakhwats'ą' ch'adarąąntł'oo . Diikhwan tthak diinindee haa tr'ąąh'ya' ts'ą' chan diits'ą' ginkhii . Ąįįts'ą' chan diinanli' haa vakat naraanjik ts'ą' łyaa dinjii k'it t'inchy'aa . Ginjik , khik vaagwireheendaii voozhri' oozhii .
62:1:002:0	Jii Ginjik , juk gweendaa gwireheendaii eenjit vigwiilkįį . Datthak jidii tr'ąąh'ya' ts'ą' jidii veenjit gwiriitth'ak , ąįį kwaii tthak geenjit nakhwaa gwaraandak . Gwehkįį dąį' Diiti' , Vit'eegwijyąhchy'aa oaazhii , haa nilii . Ąįįtł'ęę diinaa vigweech'in dhidlit .
62:1:003:0	Datthak ch'ihłak diinaa ǫhłį' gwiindhan . Izhik geh'an jii jidii tr'ąąh'ya' , jidii tr'iitth'ak datthak nakhwaa gwaraandak t'igwinyąą . Izhik ji' Diiti' Vit'eegwijyąhchy'aa ts'ą' Vidinji' , Jesus Christ haa ch'ihłak tr'iheelyaa .
62:1:002:1	Vit'eegwijyąhchy'aa Ch'ąhdit Nilii
62:1:004:0	Ąįį ji' datthak diihaa shrigweheechy'aa . Izhik chan geh'an nakhwats'ą' ch'adarantł'oo .
62:1:005:0	Jii Ginjik Jesus Christ ts'an tr'igwiitth'ak nakhwaa gwaraandak , “ Vit'eegwijyąhchy'aa shree k'it t'inchy'aa . Tǫǫ łąą gąą vadraii gwakwaa , ” jyaa dinyąą .
62:1:006:0	Nijin Vit'eegwijyąhchy'aa vaa ch'ihłak k'it t'oonchy'aa , gąą nihk'it tǫǫ gwizhit gwarandaii k'it t'oonchy'aa dąį' , jidii tr'agwaanduu t'igwii'in ts'ą' chan deegwinyąą datthak tr'oots'it t'igwii'in .
62:1:007:0	Nijin gwarandaii gwizhit Vit'eegwijyąhchy'aa vik'it ch'arąhndit k'it t'oonchy'aa ji' , ch'izhii diinaa gwik'injighit nąįį haa gwinzii nihłaa gwiree'aa ts'ą' chan Vidinji' Jesus vadaa k'iighai' diitr'agwaanduu datthak oo'an gweheelyaa .
62:1:008:0	“ Datthak diitr'agwaanduu gwakwaa , ” gwinyąą ji' , adats'ą' tr'oots'it ts'ą' Jesus Christ łyaa diidrii zhit t'inchy'aa kwaa .
62:1:009:0	Gąą Vit'eegwijyąhchy'aa , diitr'agwaanduu vaa gwaraandak ji' deegwehee'yaa nyąą gwik'it t'ihee'yaa ts'ą' gwinzii neegwahahtsyaa haa diitr'agwaanduu diits'an oo'an gweheelyaa gwizhrįh .
62:1:010:0	Gwarandaii gwizhit tr'agwaanduu gwitr'it t'aragwąh'ya' kwaa , gwinyąą ji' , Vit'eegwijyąhchy'aa ąįį oots'it tr'ahtsii ts'ą' Viginjik chan diizhit t'inchy'aa kwaa .
