6:16:001:1	Íífreiyim dine'é áádóó Manáseh dine'é éí kéyah baa deet'ą́
6:16:001:0	Yáá'iilt'e' bik'ehgo Jóseph dine'é bikéyah dooígíí éí Jériko kin haal'áii nahós'a'gi Jórdan tooh nílínídóó Jériko tó háálínígíí ha'a'aahjígo haz'áníjį' áádóó Jériko kin haal'áhídóó Dził Béthelgóó honoojíigo haz'ánígóó hodeesdzo, 
6:16:002:0	áádóó Dził Bétheldóó Luz kin haal'áajį' áádóó Átarath kin haal'áii éí Árkai dine'é kéédahat'į́įjį' hodeesdzo, 
6:16:003:0	áádóó e'e'aah bich'į'go Jaflíítai dine'é bikéyahjį' índa Beth-hóran kin shijaa' wóyahdiígíí bíighahjį' áádóó Gíízer kin haal'áágóó índa tónteel siyíníjį' hodeesdzo. 
6:16:004:0	Kót'éego Jóseph ba'áłchíní éí Manáseh dine'é áádóó Íífreiyim dine'é kéyah bíí' dooleełii nídahodii'ą́. 
6:16:005:0	Íífreiyim dine'é ahii' háá'ahiyoolchíiłii bik'ehgo bikédaayah íí' dooleełii bináhásdzo dooígíí éí Átarath-ádar kin haal'áii ha'a'aahjígo Beth-hóran kin shijaa' wódahdiígíí bíighahjį' hodeesdzo, 
6:16:006:0	áádóó hahoodzooígíí tónteel bich'į'go hoodzo, náhookǫsjiígíí éí Míkmiitha haz'áníjį' hodeesdzo índa ha'a'aahjigo hoodzooígíí éí Téíyanath-sháíloh kin shijaa'góó ahééhoodzo, áádóó éí biláahdi ha'a'aahjigo Janówah kin shijaa'góó hodeesdzo 
6:16:007:0	índa Janówahdóó Átarath kin shijaa'jį' índa Néíyarah kin shijaa' góyaa hodeesdzo, áádóó Jériko kin haal'áajį' índa Jórdan toohjį' hodeesdzo. 
6:16:008:0	Tapúwah kin shijaa'dóó hahoodzo dooígíí éí e'e'aahjigo Kéínah tó nílíníjį' hoodzo, áádóó tónteel siyíníjį' hodeesdzo. Díí éí Íífreiyim dine'é ahii' háá'ahiyoolchíiłii bik'ehgo kéyah bíí' daazlį́į'ii át'é, 
6:16:009:0	áádóó kin hadaas'áii éí Íífreiyim dine'é bee bího'doosníi'go Manáseh dine'é bitahgóó íí' dooleełgo kin hadaas'áhígíí kin dah naazhjaa'ígíí t'áá bił bee bího'doosníí'. 
6:16:010:0	Nidi Íífreiyim dine'é éí Kéínan dine'é Gíízer kin haal'áagi kéédahat'ínígíí t'áadoo baa ch'ídahaazhjée' da, áko díí jį́įjį' Kéínan dine'é éí Íífreiyim dine'é yitahgi kéédahat'į́įgo yinaalte' daazlį́į'go t'áá hazááká bá nidajilnish nít'éé'.
