45:16:001:1	Pen . xvj .
45:16:002:1	Gwedy llawer o anerchion , Y may ef yn y rhubyddio hwy y ymoglyd rhac brodyr geuawc , ac edrych yn ei gylch . Ef yn gweddiaw drostwynt , ac yn diolwch y Dduw .
45:16:001:0	GOrchmynnaf y‐chwi Phoibe ein chwaer , yr hon ’sy wenidoc i Ecclesi Cēchreaia ,
45:16:002:0	ar vot ywch y derbyn hi yn yr Arglwydd , megis y mae yn deilwng i Sainctæ ai chanhorthwyaw ym‐pop neges y bo rait yddei wrth‐ych porth : can ys hi vu dda o lety wrth lawer , ac wrthy vinef hefyt .
45:16:003:0	Anerchwch Priscilla ac Aquila vy‐cydweithwyr yn Christ Iesu
45:16:004:0	( yr ei dros vy ‐bywyt i a ðodesont i lavvr y mynygleu y hunain . Yr ei ny ddiolcha vi yn vnic yddynt , anyd hefyt oll Ecclesidd y Cenetloedd )
45:16:005:0	Anerchvvch hefyt yr Eccles ys id yn y tuy hwynt . Anerchwch vy‐caredic Epainetus , yr hwn yw blaenffrwyth Achaia in‐Christ .
45:16:006:0	Anerchwch Vair yr hon a lavuriodd yn vawr erom ni .
45:16:007:0	Anerchwch Andronicus ac Iunia vy‐cereint a’m cydgarcharorion , yr ei ’sy hynot ym‐plith yr Apostolion , ac oedden hefyt in Christ cyn na myvi .
45:16:008:0	Anerchwch Amplias vy‐caredic yn yr Arglwyð
45:16:009:0	Anerchwch Urbanus ein cydweithwr yn‐Christ , ac Stachys vy‐caredic .
45:16:010:0	Anerchwch Apel’es y provedic in‐Christ . Anerchwch yr ei sy o drase Aristobulus .
45:16:011:0	Anerchwch Herodion vy‐car . Anerchwch yr ei sy o drase Narcissus yr ei ynt yn yr Arglwydd .
45:16:012:0	Anerchwch Triphaina a’ Thriphosa , yr ei verchet a lavuriant yn yr Arglwydd . Anerchwch y garedic Persis , yr hon a lavuriawdd lawer yn yr Arglwydd .
45:16:013:0	Anerchwch Rufus etholedic yn yr Arglwydd , a’ y vam ef a’ mi .
45:16:014:0	Anerchwch Asygcritus , Phlegon , Hermas , Patrobas , Mercurius , a’r brodyr ysy gyd ac wynt .
45:16:015:0	Anerchwch Philologus ac Iulius , Nerias , a’ei chwaer ef , ac Olympas , a’r oll Sainctæ ysy gyd a hwynt .
45:16:016:0	Anerchwch bob vn y gylydd a chusan sanctaidd . Y mae Ecclesi Christ yn eich anerch .
45:16:017:0	A’ mi atolygaf ywch’ vroder , edrych‐yn‐graph ar yr ei ’sy yn peri ancydfot a’ rhwystrae , yn erbyn yr athraweth a ddyscesoch , ac ymogelwch racddwynt .
45:16:018:0	Can ys yr ei ’sy gyfryw , ny wasanaethant yr Arglwyð Iesu Christ , anyd y bolie y hunain , a’ thrwy ’eiriae‐tec a’ gweniaith yn twyllo calonae yr ei diddrwc .
45:16:019:0	Gan ys ych uvyddtot chwi a ddaeth ar lled at pavvp oll : Ydd wyf yn llawen gan hyny am danoch : and eto mi wyllysiwn eich bot yn ddoethion , tu ac at ddayoni , ac yn wirion tu ac at ddrwgioni .
45:16:020:0	Duw pen y tangneðyf a sathr Satan y dan eich traed eb ohir . Rat ein Arglwydd Iesu Christ a vo gyd a chwi .
45:16:021:0	Y mae Timothëus vy‐cydweithwr , a’ Lucius ac Iason . a’ Sosipater vy‐cereint , yn erchi ych anerch .
45:16:022:0	Mi Tertius , yr hwn a scrivenodd yr epistol hwn ach anerchaf yn yr Arglwydd .
45:16:023:0	Gaius vy llytuywr i , mi a’r oll Eccles ’sy yn erchi ych anerch . Y mae Erastus diwydrwydd y dinas yn erchi ych anerch , a’ Chwartus y brawt .
45:16:024:0	Rat ein Arglwydd Iesu Christ y gyd a chwi bawp . Amen .
45:16:025:0	Iddo ef yr hwn a ddychon ech cadarnhau yn ol vy Euangel , a’ phregethiat Iesu Christ , gan ymatguddiat y dirgelwch , yr hwn vu gyfrinachol er yn oes oesoedd :
45:16:026:0	( ac yr awrhon yr eglurhawyt , ac a gyoeddwyt ymplith yr ol’ Cenetloedd gan Scrythurae ’r Prophwyti , wrth ’orchymyn y tragyvythol Dduw er mwyn vvyddtot ffydd )
45:16:027:0	I Dduw , meddaf , yr vnic ddoeth , bid gogoniant trwy Iesu Christ yn oes oesoedd . Amen . Hvvn a escrivenwyt at y Ruueiniet o Corinthus ac a ddanvonvvyt trwy Phoibe , hon oedd wenidoc yr Eccles yn‐Cenchraia .
