45:4:001:1	Pen . iiij .
45:4:002:1	Ymae ef yn datcan vot cyfiawnhat yn ddawn rrad , a’ thrwy y cyfryw rei yhunain , sef am yr ei y ffrostiai yr Iuddeon yn bennaf , vegis am Abraham , ac am Dauid . A’ hefyd wrth swydd y Ddeddyf a’ ffydd .
45:4:001:0	PA beth gan hyny a ddywedwn , gahel o Abraham ein tad erwydd y cnawd ?
45:4:002:0	Can ys a’s Abraham a gyfiawnwyt gan weithredoedd , may iddo achos gorvoledd , eithyr nyd geir brō Duw .
45:4:003:0	Can ys pa beth a ðyweit yr Scrypthur ’lan ? Credawdd Abraham y Dduw , ac ei cyfryfwyt iddaw yn gyfiawnder .
45:4:004:0	Ac ir neb a weithia , ny chyfryfir y cyfloc erwydd rhat , anyd o erwydd dlyed .
45:4:005:0	Eithyr ir neb ny weithia , anyd credu yn hwn a gyfiawnha yr enwir , y ffydd ef a gyfrifir yn gyfiawnder .
45:4:006:0	Megis ac y datcan Dauid ddedwyddwch y dyn , yr hwn y cyfrif Duw yddo gyfiawnder eb weithredoedd ,
45:4:007:0	gan ddyvvedyt , Ys dedwyddion yr ei , y maddeuwyt eu henwireddae , a’r ei y gorchuddiwyt ei pechotae .
45:4:008:0	Ys dedwydd y gwr , ny chyfrif Duw bechot y‐ddaw .
45:4:009:0	A ddaeth y dedwyddid hyn aryr enwaediat yn vnic , ai ar y dienwaediat hefyt ? Yr Epistol ar ddydd Enwaediat Christ . Can ys‐dywedwn , ddarvot cyfrif y ffydd i Abraham yn lle cyfiawnder .
45:4:010:0	Pa vodd y cyfrifwyt hi ? ai gwedy enwaedu arno , ai cyn enwaedu ? nyd gwedy yr enwaedu , anyd cyn yr enwaedu .
45:4:011:0	Yno y cymerth ef arwydd yr enwaediat , vegis yn insel yr ffydd rhon oedd ganthaw cyn enwaedu arno , val y byddei ef yn dat pawp vyddei yn credu , cyn enwaedu arnynt , mal y cyfrifit yn cyfiawnder yddwynt vvy hefyt ,
45:4:012:0	ac yn dat yr enwaediat , nyd yddynt wy yn vnic yr ei o’r enwaediat , anyd ir sawl hefyt a gerddant ar olion ffydd ein tat Abraham , ’rhon oedd ganto cyn yr enwaediat .
45:4:013:0	Can ys yr addewit ar iddo vot yn etifedd ir byt , ny roed i Abraham , nei yw had , trwy ’r ddeddyf , amyn trwy gyfiawnder ffydd .
45:4:014:0	Can ys a’s yr ei y sydd o’r ddeddyf yvv ’r etiveddion ys gwacavvyt ffydd , ac ys dir ymiwyt yr addewit .
45:4:015:0	O bleit y ddeddyf a bair ðigofeint : can ys lle nyd oes deddyf , nyd oes camwedd .
45:4:016:0	Can hyny o ffydd y mae yr etiveddiaeth , val y del trwy rat , a’ bot yr addewit yn ddilis ir holl had , sef nyd yn vnic ir hwn ysydd o’r ddeddyf : anyd hefyt ir hwn ysydd o ffydd Abraham , rhwn yw ein tad ni oll ,
45:4:017:0	( megis y mae yn scrivenedic , Mi ath wnaethym yn dat llawer o genedloeð ) ’sef geir bron Duw yr hwn a gredawdd ef , yr hwn a vywocaa ’r meirw , ac a’ ailw y petheu nyd ynt , val pe baent .
45:4:018:0	Yr hwn Abraham tros ben gobeith , a gredawdd y dan ’obeith , val y byðei yn dat Cenetloedd lawer : erwydd hyn a ðywedesit vvrthavv , Velly y bydd dy had di .
45:4:019:0	Ac ef e nyd yn egwan o ffyð nyd ystyriawdd y gorph y hunan , yr hwn oedd weithiō wedy marweiddio , ac yn cylch can blwyð oed , na marwoleth bru Sara .
45:4:020:0	Ac nyd amheuawdd ef addewit Duw o ancredyniaeth , eithyr e nerthit yn y ffyð , ac a roes’ogoniant i Dduw ,
45:4:021:0	gan vot yn gwbl ddilis ganto , am yr hwn a aðawsei , y vot ef hefyt yn abl yvv wneuthur .
45:4:022:0	Ac am hyny y cyfrfiwyt iddaw yn gyfiawnder .
45:4:023:0	Ac nyd scrivenwyt hyny er y vwyn ef yn vnic , gyfrif hyn yddaw yn gyfiawnder ,
45:4:024:0	eithyr hefyt erom nine , ir ei y cyfrifir yn gyfiavvnder , y sawl a gredwn yn yr hwn a gyvodes Iesu ein Arglwydd o veirw .
45:4:025:0	Yr hwn a roddet i angeu dros ein pechotae , ac a adgyfodwyt er ein cyfiawnhat ni .
