45:3:001:1	Pen . iij .
45:3:002:1	Gwedy iddo ganiadu peth ragorvraint ir Iuddeon , o bleit
45:3:003:1	‡
45:3:004:1	rrad
45:3:005:1	rrydd a’ dianwadal addewit Duw . Y mae ef yn provi wrth yr Scrythurae , bot pop vn yr Iuddaeon a’r Cenetloedd yn pechaturieit , A’ bot ei cyfiawnhau hwy
45:3:006:1	*
45:3:007:1	trvvy , ras
45:3:008:1	gan rad trwy ffydd , ac nid can weithredoedd , Ac velly bot cadarnhau y Ddeddyf .
45:3:001:0	PA ragorieth gan hyny ’sy ir Iuðew ? nei pa les ’sy o’r enwaediat ?
45:3:002:0	Llawer ym pop ryw vodd : can yn bennaf , am ’orchymyn yddwynt wy ymadroddion Duw .
45:3:003:0	O bleit beth , er nad oedd ’rei yn credu ? a wna y ancrediniaeth hwy ffydd Duw yn ddi rym ?
45:3:004:0	Na bo hyny : eithr bid Duw yn gywir , a’ phob dyn yn gelwyddoc , megis ydd scrivennwyt , Mal ith cyfiawnheir yn dy ’eiriae , ac yty ’orvot pan ith varner .
45:3:005:0	Velly a’s ein anwiredd ni a gymenna wirionedd Duw , pa beth a ddywedwn ? aydyw Duw yn ancyfiawn yr hwn ’sy yn rroi poen ( dywedyt ydd wyf val yn ol dull dyn . )
45:3:006:0	Ymbell yw : nei ynte pa wedd y barn Duw y byt ?
45:3:007:0	O bleit a’s gwirionedd Duw vu chelaethach trwy vy‐celwydd i yvv ’ogoniant ef , paam mwyach im bernir inef mal pechatur ?
45:3:008:0	Ac ( megis in gogonir , ac megis y ’sygana rei ein bot yn dywedyt ) paam na wnawn ddrwc , val y del da o hanavv ? yr ei ’sy gyfion ei barnedigeth arnynt .
45:3:009:0	Beth am hyny ? a ym ni mwy ragorawl ? Nag ym ddim oll : can ys provesam eisioes , vot pawp ys yr Iuddaeon a’r Cenetloedd y dan bechot :
45:3:010:0	megis y mae yn scrivenedic , Nyd oes nep cyfiawn , nac oes vn .
45:3:011:0	Nyd oes nep a ddyall : nyd oes nep a ymgais a Dduw .
45:3:012:0	VVy aethont oll oddyar y ffordd : vvy aethon y gyd oll yn anvuðiol : nyd oes neb a wna ddaioni , nac oes neb un .
45:3:013:0	Bedd agoret yvv eu mwngl : ei tauodae a arveresont er twyllo : gwenwyn nadroedd ys id y dan ei gwefusae .
45:3:014:0	Yr ei ’sy a’ ei geneu yn llawn rhegy , a’ chwerweð .
45:3:015:0	Ys buan yvv ei traet y ellwng gwaet .
45:3:016:0	Artaith ac aflwyðion ’sy ar ei ffyrdd .
45:3:017:0	A’ ffordd tangneddyf ny’s adnabuont .
45:3:018:0	Nyd oes ofn Duw ger bron ei llygeit .
45:3:019:0	A’ gwyddom mai pa pethe bynac a ddywait y ddeddyf , mae wrth yr ei ’sy dan y Ddeðyf y dywait hi , y n y chaeer pop geneu , ac y ny bo yr oll vyt yn euoc geir bron Duw .
45:3:020:0	Am hyny can weithredoeð y Ddeddyf ny chyfiawnheir vn cnawd yn y ’olwc ef : o bleit can y Ddeðyf y cair adnabodedigeth pechot .
45:3:021:0	Ac yr owon yr eglurwyt cyfiawnder Duw eb y Ddeðyf , y gan destiolaeth y Ddeðyf a’r Prophwyti ,
45:3:022:0	ys ef , cyfiawnder Duw trwy ffydd Iesu Christ , i bawb , ac ar bawp a credant . Can nad oes ’ohanieth :
45:3:023:0	can ys pechoð pawp , ac ynt yn ol am ’ogoniant Duw ,
45:3:024:0	ac wy a gyfiawnir yn rhat sef drwy y rat ef , trwy’r prynedigaeth ysyð yn Christ Iesu ,
45:3:025:0	yr hwn a ’osodes Duw yn gymmot trwy ffydd yn y waed ef y ddangos y gyfiawnder ef , can vaddeuant y pechoteu oeddent gynt , drwy ddyoddefiat Duw ,
45:3:026:0	y ddangos y pryd hyn y gyfiawnder ef , mal y byddei ef yn gyfiawn , ac yn cyfiawnhau y neb ysydd o ffydd Iesu .
45:3:027:0	P’le gan hyny y mae’r ffrost ? E gaywyt allan . Trwy pa ddeddyf ? Ai vn y gweithredoedd ? Nac ef : eithr can ddeddyf ffydd .
45:3:028:0	Ydd ym ni yn ddibenny gan hyn bod yn cyfiawnhau dyn eb weithredoedd y ðeddyf .
45:3:029:0	Duvv , ai Duw ’r Iuddeon yw ef yn unic , ac nyd ir Cenetloead hefyt ? Yn wir , y mae ef ir Cenetloedd hefyt .
45:3:030:0	Can ys vn Duw ytyvv , yr hwn a gyfiawnha yr enwaediat o’r ffydd , a’ dienwaediat trwy ffydd .
45:3:031:0	A ydym ni velly yn gwneuthur y ddeðyf yn ddirym trwy ’r ffydd ? Ymbell oedd : ’sef ydd ym yn cadarnha y ddeddyf .
