45:13:001:1	Pen . xiij .
45:13:002:1	Yr vvyðdot ir llywodraethwyr . Paam y mae ’r cleddyf ganthynt wy . Wrth cariat y dyleir mesuro ein oll weithredoedd . Annogedigeth i wiriondap a’ phurdep buchedd .
45:13:001:0	YMddarostynget pop map eneit dyn ir Awdurdodae goruchel : can nad oes awdurtot , anyd y gan Ddew : a’r awdurdodae ysy , o ddygan Dduw y maent wedy ei hordinio .
45:13:002:0	Ac velly pwy pynac a wrthwynepa awdurtot , a wrthnepa ’ordinhat Duw : a’r ei a wrthnepant , a dderbyniāt varnedigaeth yðynt y hunain .
45:13:003:0	Can nad yw tywysogion yn ofn i weithredoedd da , anyd ir ei drwc . Ac a vyny nad ofnych yr awdurtot ? gwna ddayoni : a’ chai voliant ganto .
45:13:004:0	Can ys gwasanaethwr Duw ydyw er lles yty : and a’s gwnai ddrwc , ofna : can na ddwc ef y cleddyf yn over : can ys gwasanaethwr Duw ydyw y ddial llid ar hwn a wnel drwc .
45:13:005:0	Erwydd pa bleit mae yn rhait yvvch ymdarestwng , nyd yn vnic erwydd llit , anyd er mwyn cydwybot .
45:13:006:0	Can ys , o bleit hyn y telwch hefyd gellidion : can ys gwasanaethwyr Duw ynt , yn ymroi ir peth yma . Yr Epistol ar y Sul cyntaf yn Aduent .
45:13:007:0	Rowch y bawp gan hyny ei dyledion : teyrnget , ir neb y bo arnoch deyrnget , toll ir hwn y bo arnoch doll : ofn , ir hwn y mae iavvn bot ofn : parch ir hwn a ddyly barch .
45:13:008:0	Na vyddwch yn‐dlyed neb , anyd ar garu pavvp y gylydd : can ys hwn ’sy yn caru arall , a gyflawnodd y Ddeddyf ,
45:13:009:0	Can ys hyn , Na wna ’odinep , Na ladd , Na ledrata , Na dwc gamdestiolaeth , Na chupydda : ac a oes vn gorchymyn arall , ymae wedy’ gynwys yn gryno yn yr ymadrodd hwn , ys ef yn hwn , Car dy gymydawc mal tyun .
45:13:010:0	Cariat ny wna ddrwc yw gymydawc : am hynny cariat yw cyflawnder y Ddeddyf .
45:13:011:0	A’ hyny can ystyried yr amser , ys y bot hi yr owrhon yn bryd y ddyffroi o gyscu : can ys yr awrhon y mae ein iechydwrieth yn nes , na phan gredesam .
45:13:012:0	Y nos aeth heibio , a’r dydd a nessaodd : bwriwn ymaith gan hyny weithredoedd y tywyllwch , a’ gwiscwn arveu y goleuni ,
45:13:013:0	val y gallom rodio yn weddus megis vvrth livv dyð : nyd mewn gloðest a chyfeðach nyd yn cydorwedd ac anlladrwyð , nyd yn‐cynnen , a’ chenvigeny :
45:13:014:0	eithyr gwiscwch am danoch yr Arglwydd Iesu Christ , ac na vit eich gofal tros y cnawt , er mwyn porthi tra chwantae .
