45:5:001:1	Pen . v .
45:5:002:1	Ef yn declario ffrwyth ffydd . Ac wrth gyffelybwrieth y mae ef yn espysu cariat Duw ac vvyddtot Christ , yr hwn yw sail a’ grwndwal yr vnryw .
45:5:001:0	CAn ein cyfiawnhau ni can ffydd , y mae genym dangneðyf tu ac at Dduw trwy ein Arglwydd Iesu Christ .
45:5:002:0	Trwy’r hwn hefyt y may i ni fforddoliat trwy ffydd i rrat hyn , yn yr hwn yð ym yn sefyll , ac yn ymlawenychu dan ’obeith y gogoniant Duw .
45:5:003:0	Ac nyd ym yn gvvneuthur hyn yn vnic , eithyr hefyd ydd ym yn ymlawenychu yn gorthrymderon , gan i ni wybot may gorthrymder a ddwc ddioddefgarwch ,
45:5:004:0	a’ dioddefgarwch , broviat , a’ phroviad ’obaith ,
45:5:005:0	a’ gobaith ny chywilyddia , vot cariat Duw wedyr ddinëu yn ein caloneu can yr Yspryt glan , yr hwn a roespwyt i ni .
45:5:006:0	Can ys Christ , pan oeddem eto yn ddinerth yn ei amser a vu varw dros yr anduwolion .
45:5:007:0	Diau may braidd y bydd neb varw dros vn cyfiawn : er hyny dros vn da ef allei y beiddiai vn varw .
45:5:008:0	Eithyr y mae Duw yn eglurhau ei gariat tu ac attam , o bleit a nyni yn pechaturieit , marw o Christ trosō .
45:5:009:0	Mwy ynte o lawer , can ddarvot ein cyffiawnhau ni weithion can y waet ef , in iachëir rac digofeint trwyddaw ef .
45:5:010:0	Can ys a’s pan oeddem ’elynion eyn cyssylieit a Duw gan angeu y Vap ef , mwy o lawer wedy’n cyssilio , in iacheir gan y vywyt ef .
45:5:011:0	Ac nyd yn vnic hyny , eithyr ymlawenychu ddym hefyt yn‐Duw trwy ein Arglwyð Iesu Christ , can yr hwn yr awrhon y derbyniesam y cyssyl .
45:5:012:0	Erwyð pa bleit , megis trwy vn dyn y daeth pechat ir byt , ac angae trwy pechat , ac velly yd aeth angae dros bop dyn : yn gymeint a’ phechu o bavvb oll .
45:5:013:0	Cā ys yd amser y Ddeddyf ydd oedd pechat yn y byt , eithyr ny chyfrifir pechot , pryd nad oes Ddeddyf .
45:5:014:0	Eithyr angeu a deyrnasawdd o Aða yd Moysen , ac arnynt wy hefyt a’r ny phechhasant yn ol cyffelipiaeth y camwedd Adda yr hwn yw ffurf yr vn a ddauei .
45:5:015:0	Eithr nyd yw’r dawn velly , vegis y mae’r camwedd : o bleit a’s trwy gamwedd vn , y bu veirw l’awer , mwy o lawer rhat Duw , a’r dawn drwy rat , yr hyn ’sy trwy vn dyn Iesu Christ , a vwyedigawdd i lawer .
45:5:016:0	Ac nyd yw’r dawn velly , vegis y peth a ddeuth y mevvn trwy’r vn a bechawdd : can ys y bai a ddaeth o’r vn camvvedd i varnedigeth eithyr y dawn ’sydd o gamweddae lawer i gyfiawnhad .
45:5:017:0	Can ys a’s trwy gamwedd vn , y teyrnasawdd angae trwy vn , mwy o lawer y bydd ir ei a dderbyniant y lliosogrwydd o rat , ac o ddawn y cyfiawnder , deyrnasu ym‐bywyt trwy vn , ’sef Iesu Christ .
45:5:018:0	Can ys yr vn modd vegis trwy gamweð vn y ddaeth y bai ar bawb dyn er barnedigeth , velly trwy gyfiawnhat vn y lliosoceit y davvn i bop dyn er cyfiawnhat bywyt .
45:5:019:0	O bleit megis trwy anuvyðdot vn dyn y gwnaethpwyt llawer yn pechaturieit , vel’y trwy uvyðdot vn y gwnair llawer yn gyfiawn .
45:5:020:0	Hefyt y Ddeddyf a ddaeth y mywn er amylhau camwedd : er hyny lle ’r amylhaodd pechot , yno y traamylhaodd rhat yn vwy o lawer :
45:5:021:0	y n y byddei megis y teyrnasawð pechawt ir angeu , velly bot hefyt i rat deyrnassu drwy gyfiawnder i vywyt tragyvythawl , trwy Iesu Christ ein Arglwydd .
