45:6:001:1	Pen . vj .
45:6:002:1	Er mwyn na byddei i neb ymhoffi yn y cnawd , eithyr yn hytrach ceisio ei ðarestwmg e ir yspryt , Y mae ef yn dangos trwy rinwedd a’ dywedd Betydd , Bot ail‐enedigeth yn gyssylltedic a chyfiawnder , ac am hyny yr annoc ef bot buchedd dduwiol , Gan ’osot yn‐gwydd golwc dyn wobr pechot a’ chyfiawnder .
45:6:001:0	BEth wrth hynny a ddywedwn ? a drigwn ni yn wastad mevvn pechot er amylhau rhat ?
45:6:002:0	Na ato Duw . Pa wedd y byð ir ei ydym yn veirw i bechot , vyw eto ynddo ?
45:6:003:0	Any wyddoch , am danom ni oll y sawl a vetyddiwyt ir Iesu Christ , ddarvot ein betyddio ni yn y angen ef ?
45:6:004:0	In claddwyt ni gan hyny y gyd ac ef trwy vetydd yn y angeu ef , val megis ac y cyfodwyt Christ o veirw gan ’ogoniant y tat , velly bot i ni hefyt rodio yn newydd vvch buchedd .
45:6:005:0	Can ys a’s in cydhimpiwyt ni ac ef i gyffelypiaeth y angeu ef , ac velly y byddwn ni i gyffelypieth y gyfodiat ef ,
45:6:006:0	can wybot hyn , ddarvot crogy ein hen ddyn ni gyd ac ef , er mvvyn dirymio corph pechot , megis rac llaw na wasanaethom bechot .
45:6:007:0	Can ys hwn a vu varw , a ryddhawyt y wrth pechot .
45:6:008:0	Can hyny a’s meirw ni gyd a Christ , credu ydd ym y byddwn vyw hefyt gyd ac ef ,
45:6:009:0	gan wybot am Christ gwedy ei gyfodi o veirw , na bydd marw mwyach : ac nad arglwyddia angeu arno mwyach ,
45:6:010:0	Can ys o ei varw , e vu varw vnwaith y bechot : ac o ei vyw , byw y mae i Dduw .
45:6:011:0	Velly dyellwch chwithe hefyt , ych meirw chwi y bechot , a’ch bot yn vyw y Dduw yn‐Christ Iesu ein Arglwydd .
45:6:012:0	Na theyrnaset gan hyny pechot yn eich corph marwol , er ychvvy vvyddhau yddaw yn chwantae y corph .
45:6:013:0	Ac na rowch eich aelodae yn arveu anwiredd i bechot : eithyr rhowch eich humain y Dduw , megis rei o veirw yn vyw , a ’rhovvch eich aylodae yn arvae gwiredd i Dduw .
45:6:014:0	Can ys nyd arglwyddiaetha pechot arnoch : can nad ych y dan y Ddeddyf , anyd y dan ’rat .
45:6:015:0	Beth am hyny ? a bechwn ni , am nad ym y dan y Ddeddyf , amyn dan rat ? Na ato Duw .
45:6:016:0	Any wyðoch , mae i bwy bynac yr ymroddwch ychunain yn weision y vvyddhau , eich bot yn weision ir hwn yr vvyddhaoch y‐ddaw , ai yn vveison y bechot ir angeu , ai yn vveison vvyðdot i wiredd ?
45:6:017:0	And y Dduw y ddiolvvch , can eich bot chvvi gynt yn weision pechot , eithyr vvyddhau o hanoch o’ch calon ir ffurf ar ddysc , ir hwn ich athrawyt yndo .
45:6:018:0	Can ych rhyddhau chvvi ywrth pechawt , ich gwnaethpwyt yn weision gwiredd . Yr Epistol y . vij gwedy Trintat .
45:6:019:0	A’r ðull‐dynol yr wyf yn ymadrodd , o bleit gwendit eich cnawt chvvi : can ys megis y rhoesoch eich aylodae yn weision aflendit ac anwiredd y vvneuthur enwiredd , velly yr awrhon rhowch eich aylodeu yn weision i wiredd mewn sancteiddrwydd .
45:6:020:0	Can ys pan oeddech yn weision pechawt , yr oeddech yn rhyddion ywrth wiredd .
45:6:021:0	Pa ffrwyth oedd y chwi y pryd hyny yn y cyfryw betheu , ac y cywilyddiwch yr awrhon ? Can ys dywedd y petheu hynny yw angeu .
45:6:022:0	Ac yr owrhon gwedy ych rhyddhau y wrth pechawt , ac wedy eich gwneuthur yn weision y Dduw , y mae y chwi eich ffrwyth yn sancteiddrwydd , a’r dywedd yn vywyt dragyvythawl .
45:6:023:0	Can ys cyfloc pechot yw angeu : eithyr dawn Duw yw bywyt tragyuythawl trwy Christ Iesu ein Arglwydd .
