45:1:001:1	Pen . j .
45:1:002:1	Paul yn dangos y gan bwy vn , ac i ba beth y galwyt ef . Y barawt wyllys ef . Pa beth yw ’r Euangel . Mwyniant creadurierit ac y ba beth y gwnaethpwyt hwy . Ancaredigrwydd , drigioni a’ phoen pop ryw ddyn .
45:1:001:0	PAUL gwasanaehvvr Iesu Christ vvrth galwediceth yn Apostol , wedyr ’ohanu i precethu’r Euangel Duw
45:1:002:0	( yr hō a racaðawoð ef drwy ei Brophwyti yn yr scrythurae glan )
45:1:003:0	am ei Vap Iesu Christ ein Arglwydd ni ( yr hwn oedd wneuthuredic o had Dauid erwydd y cnawd ,
45:1:004:0	ac a ðeclarwyt yn nerthol y vot yn Vap Duw , erwyð Yspryt sancteidiat gan y cyfodiadiadigaeth o veirw )
45:1:005:0	trwy ’r hwn yd erbiniesā ni ’rat ac Apostoliaeth ( er bot uvyðdot ir ffyð ) yn y Enw ef ym‐plith yr oll Genetloedd ,
45:1:006:0	ymysc yr ei n ydd yw chwi hefyt yn ’alwedigion Iesu Christ :
45:1:007:0	Atoch oll yr ei ’sydd yn Ruuein caredigion gan Dduw , galwedigion y vot yn Sainctæ : Rat vo y’wch a’ thangneddyf y gan Dduw ein Tat , a’ chan yr Arglwydd Iesu Christ .
45:1:008:0	Ac yn gyntaf y diolchaf i’m Duw trwy Iesu Crist trosoch vvi oll , o bleit bot eich ffyð chvvi yn gyoeðus tros yr oll vyt .
45:1:009:0	Can ys bot Duw yn test ymy ( yr hwn wyf yn ei wasanaethu yn vy yspryt yn Euangel y Vap ef ) vy‐bot yn ddibait yn gwneuthur coffadurieth am danoch ,
45:1:010:0	yn ’oystadawl yn vy‐gweddiau , yn erchi , ar vot ymy mewn ryw vodd o’r dywedd ryw bryd gael rwydd‐hynt gan wyllys Duw , y ddyvot atoch .
45:1:011:0	Can ys bot yn hiraethus genyf nes eich gwelet , val y gallwyf gyfranu y chwi ryw ddawn ysprytawl , er mvvyn eich cadarnhay ,
45:1:012:0	’sef yw hyny , er cael cyd ymddiðanu a chwi , trwy ffyð y gylyð , sef eich vn chwi a’r veuvi .
45:1:013:0	Can hyny vroder , mi wyllyswn na baech yn anwybot , modd y pwrpasais yn vynech ddyvot atoch ( and darvot vy rhwystro yd hyn ) val y caffwn beth ffrwyth hefyt yn eich plith chwithe , megis ymae y mi ym‐plith y Cenetloeð eraill .
45:1:014:0	Dyledwr wyf ac ir Groecieit , ac ir Barbarieit , ac ir doethion , ac ir andoethion .
45:1:015:0	Wrth hyny , yd y mae yno vi , parot wyf i Euangelu y chwithe hefyt ys yð yn Ruvein .
45:1:016:0	Can nad cywiliðus‐genyf Euāgel Christ : o bleit gallu Duw yw hi er iechydvvrieth i bawp vn ’sy yn credu , ir Iuddew yn gyntaf , a’ hefyt ir Groecwr .
45:1:017:0	Can ys trwyddei hi y datcuddir cyfiawnder Duw , o ffydd i ffydd : megis y mae yn scrivenedic , Y cyfiawn a vydd byw gan ffydd .
45:1:018:0	Can ys digofein Duw a ddatcuðiwyt o’r nef yn erbyn pop andwyolder , ac ancyfiawnder dynion sef , yr ei y attaliant y gwirionedd mewn ancyfiawnder ,
45:1:019:0	can ys cymeint ac aller ei wybot am Dduw , y sydd amlwc ynthynt vvy : can ys Duw ei amlygawð yddynt .
45:1:020:0	O bleit y anweledigion bethe ef , nid amgen , ei veddiant tragyvythavl a’i Ddywdab , vvy a welir wrth creadurieth y byd , gan vod ystyried y weithredoedd ef , megis y byddent yn ddiescus :
45:1:021:0	O bleit ac yn hwy yn adnabot Duw , nys roeson‐ogo niant yddaw megis y Dduw , ac ny ddiolchesant , eithyr ymwacau o hanynt yn ei rhesymae , a’i calon ampwylloc oedd yn llawn tywylluch .
45:1:022:0	Pan dybient y bot yhunain yn ddoethion , ynvydion oeddent vvy .
45:1:023:0	Can ys wy a ysmudesant ’ogoniant yr anllygredic Dduw i lun delw lygredic ddyn , ac ehediait , ac aniveilieid‐pedwar carnol , ac ymlyscieit ,
45:1:024:0	Erwydd paam y rhoes Duw hwy i vynydd i ddrycwante eu calonae i aflendit , y warthau eu cyrph y hun yn y plith ei hunain :
