45:12:001:1	Pen . xij .
45:12:002:1	Ymwreddiat , cariat a’ gweithrtdoedd y sawl a credant yn‐Christ . Na bo ymddial .
45:12:001:0	ATolwc ywch gan hyny , vrodur , er trugareðae Duw , roddy o hanoch eich cyrph yn aberth byw , sanctaidd , cymradwy y Dduw , yr hyn yvv eich dosparthus wasanaethu yðaw .
45:12:002:0	Ac nachydymffurfwch a’r byd hwn , eithyr ymnewidiwch gan adnewyddiat eich meddwl , val y galloch brovi pa yw ewyllys da Duw , a’ chymradwy , a’ pherffeith .
45:12:003:0	Can ys dywedaf trwy y rat a roed y my , wrth bop vn ysydd ys ydd yn eich plith , na bo i neb ddyall uchlaw y dylir dyall , anid dyall o hanaw erwyðpwyllogrwydd , mal y rhanawð Duw y bop vn vesur ffyð .
45:12:004:0	Can ys‐megys ymae ini lawer o aelodae mewn vn corph , ac nad oes ir oll aelodae yr vn swydd :
45:12:005:0	velly nineu er ein bot yn llawer ydym vn corph yn‐Christ , a ’phop vn yn aylod y’w gilydd . Yr Epistol yr ail Sul gwedy ’r Ystwyll .
45:12:006:0	A’ chan vot i ni amryw ddoniae , erwydd y Rat a roespwyt y ni , ai bot ini brophedoliaeth prophvvydvvn erwydd cymedroldep y ffydd :
45:12:007:0	ai swydd , dylynvvn y swydd : nei ’r hwn a vo yn athro rhoed athraweth :
45:12:008:0	nei a roddo cyngor , bot yn cygcori : rhwn a gyfranno , cyfranned yn symplrwyð : a lywodraetho , gvvnaed a diescaeluster : a drugarhao , gvvnaed gan hyfrydwch .
45:12:009:0	Bid cariad yn ðiffuant . Dycasewch yr hyn ’sy ddrwc , a’ glynwch wrth y sy dda .
45:12:010:0	Bid hawdd genwch garu y gylyð a chariad brawdol . I roddy parch , aed pawp o vlaen y gylydd ,
45:12:011:0	eb vod yn ddioc ar astudrwydd : yn vrwdion yn yr Yspryt : gan wasanaethu yr Arglwydd ,
45:12:012:0	bot yn llawenychu , yn‐gobaith , yn ddioddefgar mewn advyd , yn wastadol yn‐gweði ,
45:12:013:0	gan gyfranu wrth gyfreidiae ’r Sainctæ : ac yn dilyn rhoi lletuy .
45:12:014:0	Bendithiwch yr ei’sy ich ymlit , bendithiwch meddaf , ac na velltithiwch .
45:12:015:0	Bot yn llawen gyd a’r ei llawen , ac wylo gyd a’r ei wylofus .
45:12:016:0	Byddwch vn vryd da bavvp yw gylydd : na vyddwch vchel vyddwl : eithyr ymgydestwng a’r ei isel : na vyddwch ddoethion ynoch ych vnain . Yr Epistol y iij . Sul gwedy ’r Ystwyll .
45:12:017:0	Na thelwch i nep ddrwc tros ddrwc : perwch betheu sybervv yn‐golwc pop dyn .
45:12:018:0	A’s dichon vot , yd y mae o hano‐chwi , byddwch mewn tangneddyf a phop dyn .
45:12:019:0	Y caredigion , nac ymddielwch anid rhowch le i ddigofeint : can ys mae yn escrivenedic , Y mi mae dial : mi ei talaf , medd yr Arglwydd .
45:12:020:0	Can hyny a’s dy ’elyn a newyna , portha ef : a’s sycheda , dod iddo ddiot : can ys a’s gwnai hyn , ti bentyri varwar am y ben ef .
45:12:021:0	Na ’orchyfyger‐di gan ddrwgioni , eithyr gorchvyga di ddrwc drwy ddaioni .
