45:10:001:1	Pen . x .
45:10:002:1	Gwedy iddo venegi ei serch arnuyn , Y mae ef yn dangos achos cwymp yr Iuddeon . Dywedd y Ddeddyf . Y gohan rhwng cyfiawnder y Ddeddyf a’ ffydd . O ba han y daw ffydd , ac y bwy i perthyn . Gwrthddodedigeth yr Iuddeon , a galwedigeth y Cenetloedd .
45:10:001:0	Y Brodur , y mae gwir wyllys vy‐calō a’m gweði a’r Dduw dros yr Israelieit , er iechyt .
45:10:002:0	Cā ys testiaf am danwynt , vot gāthynt gariat ar Dduw , eithr nyd yn ol gwybodaeth .
45:10:003:0	Can ys hwy , yn anwybot cyfiawnder Duw , ac yn ceisio gosot ei cyfiawnder y hunain , nyd ymostyngesant y gyfiawnder Duw .
45:10:004:0	Canys Christ yw dyweð y Ddeðyf er cyfiawnder i bop vn a gred .
45:10:005:0	Canys Moysē a ddospartha y cyfiawnder ysydd o’r Ddeðyf , val hyn Y dyn a wna y petheu hyn , a vydd byw wrthynt .
45:10:006:0	Eithyr y cyfiawnder ys ydd o’r ffydd , a ddywait vellyn , Na ddywait yn dy galon , Pwy a escend ir nef ( ys ef yw hyny dwyn Christ odduchod )
45:10:007:0	nei pwy a ddescend ir dwfnder ? ( sef yw hyny dyvot a Christ drachefn ywrth y meirw )
45:10:008:0	Anyd pa dywait Y mae’r gair yn agos atat , sef yn dy eneu , ac yn dy galon . Hwn yw gair y ffydd yr hwn ydd ym ni yn y bregethur . Yr Epistol ar ddydd S . Andreas .
45:10:009:0	Nyd amgen a’s cyffessu ath eneu yr Arglwydd Iesu , a’ chredu yn dy galon , vod y Dduw y gyfodi ef o veirw , iach vyddy .
45:10:010:0	Can ys a’r galon y credir er cyfiawnder , ac a’r geneu y cyffessir er iechydvvrieth .
45:10:011:0	O bleit yr Scrythur a ddywait , Pwy pynac a gred ynðo ef , ny chywilyddir .
45:10:012:0	Can nad oes’ohanieth rhwng yr Iuddew a’r Groecwr : o bleit yr hwn ’sy Arglwydd ar bawp , ’sy ’oludawc i bawp , a’r a alwant arnaw ef .
45:10:013:0	Can ys pwy pynac a ailw ar Enw yr Arglwydd , iachedic vydd .
45:10:014:0	And pavodd y galwant ar yr hwn , ny chredasant ynddaw ? a’ pha vodd y credant yn yr hwn , ny chlywsant ywrthaw ? a’ pha vodd y clywant eb precethwr ?
45:10:015:0	a’ pha vodd y precethant , oddieithyr eu danvon ? megis y mae yn escrivenedic , Mor brydverth yw traed yr ei sy yn evangelu tangneddyf , ac yn euangelu petheu dayonus ?
45:10:016:0	Eithyr nyd uvyðesont vvy oll ir Euangel : Canys‐dywait Esaias , Arglwyðd , pwy a gredawdd i’n ymadrodd ni ?
45:10:017:0	Can hynny ffydd ’sy wrth glywet , a’ chlywet gan ’air Duw .
45:10:018:0	Eithr gofyn ydd wyf , Any chlywsant vvy ? Diau vynet o y son hwy dros yr oll ddaiar , a’ ei gairiae yd ffiniae y byt .
45:10:019:0	Eithyr gofyn yr wyf , Anyd adnabu Israel Dduvv ? Yn gyntaf y dywait Moysen , Mi baraf yw’ch wynfydu gan genetl nyd yvv genetl i mi , a’ chan genetl ampwyllic i’ch digiaf .
45:10:020:0	Ac Esaias ’sy yn llyfasu , ac yn dywedyt , Im caffad y gan yr ei ni’m ceisynt , ac i’m gwnethpwyt yn eglur ir ei nyd ymovynnent am danaf .
45:10:021:0	Ac wrth yr Israel y dywait , Yn hyd y dydd yr estendais vy‐dwylo at popul anvvydd , ac yn gwrthddywedyt .
