45:15:001:1	Pen . xv .
45:15:002:1	Paul yn ei cygcori y gynnal pawp y gylydd wrth esempl Christ , A’ thrwy vnigol drugaredd Dduw rhon ’sy achos iachawdurieth ir ddwyblaid . Mae ef yn dangos ei serchvryd arnynt wy , a’r Eccles . Ac yn erchi yr vnryw ganthyn hwytheu .
45:15:001:0	NYni yr ei cedyrn a ðlyem ðwyn gwendit yr ancedyrn , ac nyd yn boddhau ein hunain .
45:15:002:0	Am hynny boddhaet pawp o hanom ei gymydoc yn yr hyn ’sy dda y adeilad .
45:15:003:0	Can ys Christ ny’s boddlonawdd ehunan , eithr megis y mae yn scrivenedic , Goganion yr ei ath ’ogonant , a gwympesont arnaf . Yr Epistol yr ail Sul yn Aduent .
45:15:004:0	Can ys pa betheu bynac a scrivenwyt ym blaenllaw , er addysc i ni y rracscrivenwyt vvy : val y gallem ni trwy ammynedd a’ chonffort yr Scrythurae gahel gobeith .
45:15:005:0	A’ Duw pen avvdur yr ammynedd a’r confort a roddo y chwi syninet yr vn peth bavvp ai gylydd , erwydd Christ Iesu .
45:15:006:0	Mal o gytundep , ac o vn geneu y galloch voliantu Duw ’sef Tad ein Arglwydd Iesu Christ .
45:15:007:0	Erwydd paam derbyniwch bavvp eu gylydd , megis ac yd erbyniawdd Christ ninæ y ’ogoniant Duw .
45:15:008:0	A’ hyn , a ðywedaf , bot Iesu Christ yn wenidoc ir enwaediat er mwyn gwirionedd Duw , er cadarnhau yr addeweidion avvnaethpvvyt ir tadae .
45:15:009:0	A’ rhoet y Cenetloeð ’ogoniant y Dduw , dros ei drugaredd , mal y mae yn scrivenedic . Er mwyn hyn ith cyffessaf ym‐plith y Cenetloedd , ac y canaf ith Enw .
45:15:010:0	A’ thrachefn y dywait , Ymlawenhewch Genetloedd y gyd aei bopul ef .
45:15:011:0	A’ thrachefn , Molwch yr Arglwydd , yr oll Cenetloedd , a’ chydvolwch ef yr oll populoedd .
45:15:012:0	A thrachefyn Esaias a ddywait , E vydd gwreiddyn yr Iesse , a’r hwn a gyfyt y lywodraethu ’r Cenetloedd , yn hwnw y gobeithia ’r Cenetloedd .
45:15:013:0	A’ Duw ’r gobeith a’ch cyflanwo o bop llewenydd , a’ thangneddyf gan gredu , val ich amylhaer yn‐gobeith trwy nerth yr Yspryt glan .
45:15:014:0	Ac y mae yn ðilys genyf vi vyhun am dano‐chwi , vy‐broder , a’ch bot chwi yn llawn daoni , ac yn gyflawn o bop gwybodaeth , ac y metrwch gygcory ei gylydd .
45:15:015:0	Er hyny vrodur , mi scrivennais atoch yn hyfach o beth , val vn yn dwyn ar gof ywch , trwy y Rat a roed ymy gan Dduw ,
45:15:016:0	y vot o hanof yn wasanaethwr Iesu Christ tu a’r Cenetloeð , gan ’lanweithiaw Euangel Duw , val y byddei offrymiat y Cenetloedd yn gymradwy , wedy’ sancteiddio gan yr Yspryt glan .
45:15:017:0	Y mae i mi gan hyny a ymlawenychwyf yn‐Christ Iesu yn‐cyfryw betheu a berthyn y Dduw .
45:15:018:0	Can na veiddiaf yngan am ðim , a’r ny’s gwnaeth Christ trywof , y vvnevvthur y Cenetloeð yn uvydd ar ’air a’ gweithret
45:15:019:0	trwy nerth arwyddion a’ rhyveddadae , gan nerth Yspryt Duw : val pan yw o Gaerusalē ac o amgylch yd Illyricum y gorllenwais o Euangel Christ .
45:15:020:0	Ac velly ydd ymorchestais y Euangelu nyd lle yr enwit Christ , rac bot ymy adailad ar ucha sailiad neb arall .
45:15:021:0	Eithyr megis y mae yn scrivenedic , Y bwy ny venagwyt am dano ef , wy y gwelant ef a’r ei ny chlywsant , ei dyallant .
45:15:022:0	Am hynny hefyt im rhwystrwyt i yn vynech y ddyvot atoch .
45:15:023:0	Anyd yr awrhon can nad oes ymy le mwy yn yr artale hyn , a’hefyd bot arnaf chwant er ys llawer o vlyddynedd y ðyvot atoch ,
45:15:024:0	pan elwyf ymdðaith ir Hispaen , y dauaf atoch : can ys gobeithaf ych gwelaf wrth deithio ffordd yna , a’ chael vy hebrwng genwch tu ac yno , gwedy im golāwer o’ch cymdeithas .
45:15:025:0	Ac yr awrhon yr ymddeithiaf y Gaerusalem , y weini ir Sainctæ .
45:15:026:0	Can ys rhyngodd bodd ir ei o Macedonia ac Achaia , y wneuthur ryw gymorth ir Sainctæ tlodion yr ei ynt yn Caerusalem .
45:15:027:0	Cā ys ryngodd boð yddynt , a’ ei dyledwyr ydynt : o bleit a’s y Cenetloedd vyð cyfranwyr o ei petheu ysprytawl hwy , hwynteu a ddylent hefyt weini yddynt ym‐petheu cnawdol .
45:15:028:0	Yno gwedy cwplawyf hyn yma , a’ selio yddynt y ffrwyth hwn , mi ddavvaf heboch ir Hispayn .
45:15:029:0	A’ mi wn pan ddelwyf , y dauaf atoch a chyflawnder bendith Euangel Christ .
45:15:030:0	Hefyt vroder , atolygaf ychwy er mwyn ein Arglwyð Iesu Christ , ac er cariat ar yr yspryt , ymryson ohanoch a’ mi a gweddiaw ar Dduw drosof .
45:15:031:0	Y n ym rhyddhaer ywrth yr ei ’sy yn anuvydd yn Iudaia , ac y im gweinidogeth ’sy i mi vvnevvthur yn‐Caerusalem , vot yn gymradwy gan y Sainctæ ,
45:15:032:0	val y gallwyf ddyvot atoch yn llawenydd trwy ewyllys Duw , ac ymorphwys gyd a chwi ?
45:15:033:0	Weithian Duw pennaeth y tangneddyf a vo y gyd a chwi oll , Amen .
