45:11:001:1	Pen . xj .
45:11:002:1	Bot gan Duw ei Eccles cyd na’s gweler gan ’olwc dyn . Moð y dangosir Rad ir etholedigion . Barnedigeth y gwrthddodedigion . Darvod i Dduw ddallu yr Iuddaeon tros amser , ac ymddangos ir Cenetloedd . Yr ei y mae ef yn gorchymyn yddyn ymestwng ac ymvvyddhau . Bot doniae . Duw eb
45:11:003:1	‡
45:11:004:1	yn ddiedivar
45:11:005:1	ediueirwch Gorddufnder barn Duw .
45:11:001:0	GOfynnaf gan hyny , A wrthddododawdd Duw ei bopul ? Na ato Duw : can ys mine hefyt wyf Israeliat , o had Abraham , o dylwyth Ben‐iamin .
45:11:002:0	Ny wrthddodawdd Duw ei bopul y racadnabu ef yn y blaen . Any wyddoch pa ddywait yr Scrythur am Elias ? pa vodd y mae ef yn erchy ar Dduw yn erbyn yr Israel , gan ddywedyt ,
45:11:003:0	Arglwydd , wy lladdasant dy Prophwyti , ac a gloðiesont ir llawr dy allorae : a’ mi a adwyt yn vnic , ac y maent yn ceisio vy einioes ?
45:11:004:0	Eithyr pa ddywait atep Duw wrthaw ? Gedewais y myhun saith mil gwyr , a’r ny phlygesōt y glinieu y ddelvv Baal .
45:11:005:0	Sef y moð hyny yn yr amser hyn yr owhon y mae relyw trwy’r etholedigeth rhat :
45:11:006:0	Ac a’s o rat y mae , nyd yw ynte ddim o weithredoedd : a’s amgen , ny byddei ddim rat yn rat : ac a’s o weithredoedd ymae , nyd yw e mwy yn rat : a’s amgen ny byddei gweithred mwy yn weithret .
45:11:007:0	Beth ynte ? Ny chafas Israel yr hyn a geisiawdd : and yr etholedigeth ei cafas , a’r llaill a galedwyt ,
45:11:008:0	megis y mae yn escrivenedic , Roddes Duw yddwynt yspryt trymgwsc : llygait val ny welent , a’ chlustieu val ny chlywent yd y dydd heddyw .
45:11:009:0	Ac Dauid a ddywait , Byddet y bort hwy yn groclath , ac yn rhwyt , ac yn drancwyddfa , ’sef yn daledigeth yddynt .
45:11:010:0	Tywyller y llygeit wy , val na welont , a’ chryma di eu cefnau yn ’oystat .
45:11:011:0	Ys gofynnaf gan hyny , a dramcwyddesont wy , val y cwympent ? Na ato Duw ? eithr trwy y cwymp hwy y daeth iechyt ir Cenetloedd , er eu hanoc yw dilyn hwy .
45:11:012:0	Erwydd paam a’d yvv y cwymp hwy yn ’olud i’r byd , ai lleihad wy yn ’olud i’r Cenetloeð , pa veint mwy y bydd y cyflawnder hwy ?
45:11:013:0	Can ys yn hyn y dywedaf wrthy‐chwi Genetloedd , yn gymeint am bot i yn Apostol y Cenetloedd , y mawrygaf vy swydd ,
45:11:014:0	er ceisio yn rhyw vodd annoc yr ei ’sy o’m cic am gvvaed y dylyn hwy , ac iachau ’r ei o hanwynt .
45:11:015:0	Can a’s y gwrthddodiat wy vydd cysiliat y byt , pa vydd y add d derbyniat , anyd bywyt o veirw ?
45:11:016:0	O bleit a’s y blaenffrwyth ys y sanctaidd , velly ymae y cyffeith : ac ad yvv y gwreiddyn yn sanctaidd , velly y mae ’r y caingae .
45:11:017:0	A’ chyd bod ’rei or ceingae wedy eu tori ymaith , a’ thitheu yn olewwydden ’wyllt , wedy dy himpio arnynt yn y lle hwy , ath wneuthur yn gyfrannoc o’r gwreiðyn , ac o vraster yr Olewydden ,
45:11:018:0	nag ymffrostia yn erbyn y caingen : ac a’s ymffrosty , nyd yw ti yn dwyn y gwreidyn , anyd y gwreiddyn dy di .
45:11:019:0	Yno y dywedy , E dorwyt ymaith y ceingae er mwyn vy himpio i y mewn .
45:11:020:0	Da : trwy ancrediniaeth y tored wy ymaith , a’ thithe ’sy yn sefyll gan y ffyð : na vydd vchelvryd , and ofna .
45:11:021:0	Can ys a’s Duw nyd arbeddawdd y caingeu anianol ymogel , rac nad arbeto dithe chwaith .
45:11:022:0	Gwyl am hyny vwyneidddra , a’ thostedd Duw : ir ei a gwympesont , dostedd : and y ti , vwyn‐eidddra , a’s arosy yn ei vwyneidddra : a’s amgen , ith torir dithe hefyt ymaith .
45:11:023:0	A’ hwynteu hefyt , anyd arosant‐yn‐’oystat yn ancrediniaeth , a himpir y mewn : can ys gall Duw y himpio hwy y mewn drachefn .
45:11:024:0	Can ys a’s tored tudi allan o’r olew wydden ’rhon oedd wyllt wrth anian , ath himpio yn erbyn anian yn‐gwir olew‐wydden , pa gymeint mwy y caif yr ei ’sy erwydd anian , ei himpio yn y olewwydden y hunain ?
45:11:025:0	Can na ewyllyswn , vrodur , y chwi anwybot y dirgelwch hyn ( rac eich bot yn rryddoethion ynoch ych hunain ) am o ran ddyvot yr anhydynder i’r Israel , y’n y ddel cyflawnder y Cenetloedd y mewn .
45:11:026:0	Ac velly yr iacheir yr oll Israel , mal y mae yn scrivennedic , Y gwaredwr a ddaw allan o Tsion , ac a ddymchwel ymaith yr anwiredd y wrth Iaco .
45:11:027:0	A’ hynn yw vy‐dygymmod yddynt , pan dduchwyf ymaith eu pechodeu .
45:11:028:0	A’ thu ac at am yr Euangel y maent vvy yn ’elynion och pleit chwi : and erwydd yr etholedigeth , hwy gerir er mwyn y Tadeu .
45:11:029:0	Can ys donieu a’ galwedigeth Duw syð ddiedifar ganto .
45:11:030:0	Can ys megis yr oedde‐chwi gynt eb gredw y Dduw , ac yr owrhon wedy cael trugarhau wrthych trwy y ancrediniaeth wy :
45:11:031:0	ac vel’ y yr owrhon ny chredesont y trwy’r drugareð yddangosvvyt y chwi , val y caen wythe hefyt drugaredd .
45:11:032:0	Can ys Duw a gydgaeawdd bavvb oll yn ancrediniaeth , val y byddei ynddo drugarhau wrth pavvp oll .
45:11:033:0	O veint dyfnder golud , ac o ðoethinep a’ gwybyddiaeth Duw ? mor anchwiliadwy yw y varneu ef , ai ffyrdd yn anveidrawl ?
45:11:034:0	Can ys pwy a wybu veddwl yr Arglwydd ? nei pwy a vu yn gyngorwr y‐ddaw ?
45:11:035:0	Nei pwy a roddes yddo ef yn gyntaf , ac y telir iddo ?
45:11:036:0	Can ys o hanaw ef , a’ thrwyddaw , ac ynddaw ymae pop dim oll : yddaw ef y bo gogoniant yn dragyvyth . Amen .
