45:2:001:1	Pen . ij .
45:2:002:1	Gyrru ofn y mae ef ar y geusaint a barn Duw , Ac yn confforddio y ffyddlonieid . Er mwyn curo i lawr pop escus anwybodaeth , santeiddrwydd , a’ thras Duw , y mae ef yn provi bot pawp yn pechadurieit , Y Cenetloedd wrth ei cydwybot , Yr Iuddaeon wrth y Ddeddyf yscrifenedic .
45:2:001:0	CAn hyny diescusod wyt , ti ddyn , pwy pynac a verny : can ys yn yr hyn y barny arall , ith cydverny dyhun : can ys ti yr hwn wyt yn barnu arall , wyt yn gwneuthur yr vn petheu .
45:2:002:0	Eithyr gwyddom vot barn Duw yn ol gwirionedd , yn erbyn yr ei y wnant gyfryw betheu .
45:2:003:0	Ac a dyby di hyn , a ddyn , ’rhwn a verny yr ei a wnant gyfryw betheu , ac a wnai yr vnryw , y diengy di rac varn Duw ?
45:2:004:0	Neu a dremygy di ’olud y ddayoni ef , ai ddyoddefgarvvch , ai ammynedd , eb gyfadnabot vot daioni Duw yn dy arwein di y ediverwch ?
45:2:005:0	Eithyr tydi , herwydd dy galedrwydd a’ chalon anediveirol , wyt yn tyrru y tyun ddigofeint yn erbyn dyddd y digofeint ac ymatguð cyfiawn varn Duw ,
45:2:006:0	yr hwn a rydd i bawp vn erwydd ei weithredoedd :
45:2:007:0	sef , ir ei gan barhau yn gwneuthur daioni , a geisiant ’ogoniat , ac anrydedd , ac anllygredigaeth , vywyt tragyvythawl :
45:2:008:0	eithyr ir ei sy yn cynnenus ac nyd vvyddhant i wirionedd , ac yn ymvvyddhay i enwiredd y bydd llid a’ digofaint .
45:2:009:0	Trwbl ac ing vydd ar eneit pop dyn a wna ðrwc : yddo’r Iuddew yn gyntaf , ac hefyt yddo’r Groecwr .
45:2:010:0	Eithyr i bop vn a wna ddaioni , y bydd gogoniant , ac anrydedd , a’ thangneddyf , ir Iuddew yn gyntaf , a’ hefyt ir Groecwr .
45:2:011:0	Can nad oes derbyn braint nep gar bron Dduw .
45:2:012:0	Obleit pa sawl bynac a bechasant yn ddi‐ddeðyf , a gyfergollir hefyt yn ddi‐ðeðyf : a’ pha sawl bynac a pechasant yn y ddeðyf , vvy a vernir wrth y Ddeddyf .
45:2:013:0	Can ys nyd gwrandawyr y Ddeddyf ynt yn gyfiawn ger bron Duw : eithyr gwneuthuwyr y Ddeddyf a gyfiawnheir .
45:2:014:0	Obleit pan vo y Cenetloedd yr ei nid yw ’r deddyf ganthynt , yn gwneuthur wrth anian y petheu ’sy yn y ddeddyf , y’n hwy eb vot y ddeddyf ganthynt , ynt ddeddyf yddyn y hunain ,
45:2:015:0	’sef yr ei a ddangosant weithret y ddeddyf yn scrivenedic yn eu caloneu , a’ ei cydwybot vvy hefyt yn cyt testolaethu , ai meddyliae yn cyhuddo y gilydd , nei yn escusodi , )
45:2:016:0	yn y dydd pan varno Duw ddirgeloedd dynion trwy Iesu Christ , erwydd yr Euangel veuvi .
45:2:017:0	Wely , Iuddew ith elwir di , a’ gorphywys ydd wyt yn y Ddeddyf , ac yn ymlawenhau yn‐Duw ,
45:2:018:0	ac yn gwybot y wyllys ef , ac yn darbot petheu‐rragorol , erwydd dy addyscy gan y Ddeddyf :
45:2:019:0	ac wyt yn coylio dy vot yn dywysoc ir deillion , yn llewych ir ei y sy yn‐tywyllwch , yn athro ir ampwyllogion ,
45:2:020:0	yn ddysciawdr ir ei andyscedic , a chenyt ffurf gwybyddiaeth , a’r gwirionedd yn y Ddeddyf .
45:2:021:0	Tithe gan hyny rhwn a ðyscy arall , a n’ith ddyscy dyhun ? ti yr hwn a precethy na ledrataer , a ledrety di ?
45:2:022:0	Ti yr hwn a ddywedy , Na wnaed nep ’odinep a wnai di ’odinep ? ti rhwn ’sy ðygas genyt eidolae , a gyssegr‐yspeily di ?
45:2:023:0	Ti rhwn a ymhoffy yn y Ddeddyf , trwy dori’r Ddeddyf a ddianrydeddy di Dduw ?
45:2:024:0	Can ys Enw Duw a geplir ym‐plith y Cenetloedd och pleit chwi , megis y mae yn escrifenedic .
45:2:025:0	Can ys enwaediat yn wir a wna lles , a’s cedwy y Ddeðyf : eithyr a’s torwr y Ddeðyf vyðy , ef aeth dy enwaediat yn ðienwaediat .
45:2:026:0	Can hyny a’s y dienwaediat a gaidw gyfreithiaey Ddeðyf , any chyfrifir y ðienwaediat ef yn enwaediat ?
45:2:027:0	Ac any byð ir dienwaediat yr vn ’sy wrth anian ( a’s caidw y ddeðyf ) dy varnu di yr hwn wrth y llythyren a’r enwaediat vvyt yn dorwr y Ddeddyf ?
45:2:028:0	Can nad yw ef yn Iuddew , yr hwn ’sy yn vnic o ðyallan : ac nid enwaediat yw hwnw , ys ydd yn vnic o ydd allan yn y cnawd :
45:2:029:0	eithr efe ysy Iuddew yr hwn ’sy vn oddy wewn , a’r enwaediat ’sy ir galon , sef yn yr yspryt , nyd yn y llythyren , a’ ei voliant nyd yw o ddynion , amyn o Dduw .
