45:9:001:1	Pen . ix .
45:9:002:1	Gwedy iddo testolaethu ei vawr serch yw genedl , a’ei arwyddion , Y mae ef yn traethu am yr etholedigaeth , a chwliat . Am ’alwedigeth y Cenetloedd , a’ gwrthddededigeth yr Iuddaeon .
45:9:001:0	GWir a ddywedaf yn‐Christ , ny ðywedaf gelwydd , a’m cydwybot yn cyttestolaethu a’ mi yn yr Yspryt glan ,
45:9:002:0	vot tristit mawr a’ dolur dibait yn vy‐calon .
45:9:003:0	Can ys mi a rybuchwn vot yn ’ohanedicbeth y wrth Christ , dros vy‐brodur , sef vy‐cenetl erwydd y cnawt ,
45:9:004:0	yr ei ynt yr Israelieit , i ba ’r ei y perthyn y mab‐wysiad , a’r gogoniant , a’r Dygymmodae , a’ dodiat y Ddeddyf , a’ gwasanaeth Duvv , a’r gaddeweidion .
45:9:005:0	O ba’r ei yr hanoedd y tadae , ac o ba ’r ei erwydd y cnawd , yr hanoedd Christ , yr hwn ’sy yn Dduw arucha oll yn vendigedic yn oes oesoedd , Amen .
45:9:006:0	Er hyny ny ddychon vot mynet gair Duw yn ðirym : can nad ynt vvy oll yn Israeliait , a’r a hanoeddynt o’r tad Israel .
45:9:007:0	Ac nyd ynt vvy oll yn blant , o blelt eu bot o had Abraham : eithyr yn Isaac y galwer dy had di :
45:9:008:0	ys ef yw hyny , nyd yr ei ’sy yn blant y cnawt , ydynt plant Duw : eithyr plant yr addewit a gyfrifir yn had .
45:9:009:0	Can ys gair addewit yw hwn , Yn yr amser hwn yma y dauaf , ac y bydd map i Sara .
45:9:010:0	Ac nyd efe yn vnic a vvybu hyn , anyd hefyt Rebecca gwedy iddi ymðwyn gan vn , ’sef gan ein tad Isaac .
45:9:011:0	Can ys eto cyn na geni ’r plant , a’ phryd na wnaethesent na da ’na drwc ( megis y trigei bwrpos Duw yn safedig erwydd ei etholedigaeth sef nyd gan weithredodedd , anyd gan yr vn ’sy yn galw )
45:9:012:0	y dywetpwyt wrthei , Yr henaf a wasanaetha ’r ieuaf .
45:9:013:0	Megis y scrifenwyt , Iacob a gerais , ac Esau a gasëis .
45:9:014:0	Beth ddywedwn wrth hyny ? A oes ancyfiaunder gan Dduw ? Ymbell oedd .
45:9:015:0	Can ys wrth Voysen y dywait , Mi drugarhavvyf wrth yr hwn , y trugarhaf : ac a dosturiwyf wrth hwn bynac , y tosturiaf .
45:9:016:0	Ac velly nyd yw ’r etholedigeth ar lavv hvvn a wyllysa , nac ar law hwn a red , anyd ar law Duw rhvvn sy yn trugarhau .
45:9:017:0	Can ys yr Scrypthur ’lan a ddywait , wrth Pharao , I hyn yma yth cyffroeis i vynydd , val y dangoswn vy‐meddiant yno ti , ac val y datcenit vy Enw trwy ’r oll ðaiar .
45:9:018:0	Can hyny wrth yr hwn yr wyllysia , y trugarha ef , a’r hwn a wyllysia , ef ei caleda .
45:9:019:0	Dywedy gan hyny wrthyf , Paam ymae ef eto yn cwyno ? can ys pwy a wrthladdawdd y wyllys ef ?
45:9:020:0	Eithyr a ddyn , pwy wy ti rhwn ymddadleuy yn erbyn Duw ? A ddyweit y peth ffurfedic wrth hwn aei ffurfiawdd , Paam im gwnaethost val hyn ?
45:9:021:0	Anyd oes meddiant ir crochenydd ar y priddgist y wneuthur o’r vn telpyn pridd vn llestr i barch , ac arall i amparch ?
45:9:022:0	Beth a’s ewyllysei Dduw , y ddangos ei ðigofeint , ac y beri adnabot ei veðiāt , ðioðef drwy hir ymaros l’estri ’r digofeint wedy y harlwy i gifergol’ ?
45:9:023:0	Ac er mwyn yðo beri‐gwybot golud ei ’ogoniant ar lestri trugaredd , yr ei a arlwyodd ef i ’ogoniant ?
45:9:024:0	Sef nyni , yr ei a ’alwodd ef , nyd o’r Iuddeon yn vnic , amyn hefyt o’r Cenetloedd ,
45:9:025:0	megis y dywait ef hefyt yn Osee , Mi , alwaf yn bopl ymy , yr ei nyd oedden yn bopul y‐my : ac yhi yn garedic , rhon nyd oedd yn garedic .
45:9:026:0	Ac y bydd yn y lle y dywetpwyt wrthynt , Nyd ydych yn popul y mi , yno y gelwir hwy , Plant Duw byw .
45:9:027:0	Hefyt Esaias ’sy ’n llefain am yr Israel , Cyd bei niver plant Israel mal tyvot y mor , er hyny oddiethr relyw nyd iacheir .
45:9:028:0	Can ys ef a wna ei gyfrif , ac ei crynoa gyd a chyfiawnder : can ys yr Arglwydd a wna gyfrif cryno yn y ddaiar .
45:9:029:0	A’ megis y dyvot Esaias yn y blaen , Any bysei y Arglwydd y lluoedd adael i ni had , in gwneuthesit ni val Sodoma , ac a’n cyffelypesit i Gomorrha .
45:9:030:0	Beth gan hyny a ddywedwn ? Can ir Cenetloedd yr ei ny ddilynesont gyfiawnder , ymgahel a chyfiawnder , ’sef y cyfiawnder ysydd o’r ffydd .
45:9:031:0	Ac Israel rhwn a ddilynei Ddeddyf cyfiawnder , ny allawdd ’ordiwes Ddeddyf cyfiawnder .
45:9:032:0	Paam ? Can na’s ceisyent wrth ffydd , anyd megis o weithredoedd y Ddeðyf : can ys trancwyddesont wrth vaen y trancwydd .
45:9:033:0	Megis y mae yn scrifenedic , Nycha vi y n gosot in Tsion vaen trancwydd , a’ charaic gwymp : a’ phop vn a gred ynðo , ny chywilyddir .
