45:8:001:1	Pen . viij .
45:8:002:1	Dilysrwydd y ffyddlonieit , ac am ffrwyth yr Yspryt glan ynthynt hwy . Gwendit y Ddeddyf , a’ phwy ei cwplaodd . Ac iba beth . O ba ryw weð y dyly y ffyddlonieit vot . Frwyth yr Yspryt ynddynt hwy . Am ’obeith . Am ddioddefgarwch dan y
45:8:003:1	*
45:8:004:1	groes .
45:8:005:1	groc . Am y cydgariat rhwng Duw a’ei blant . Am y racwyboddaeth ef .
45:8:001:0	CAn hyny ynte nyd oes ddim gollvarnedigaeth ar yr ei ’sy yn Christ Iesu , nid amgen y sawl ny rodiant ar ol y cnawt , eithyr ar ol yr Yspryt .
45:8:002:0	Can ys Deddyf Yspryt y bywyt rhvvn yvv yn‐Christ Iesu , a’m rhyðhaodd i rac deddyf pechot ac hon angeu .
45:8:003:0	Can ys ( hyn y ydoedd yn analluawc ir Ddeddyf , pan ytoedd hi yn egwan , o bleit y cnawt ) Duw gan ddanvon ei Vap ehun yn‐cyffelypiaeth cnawt pechaturus , ac am bechot y coll varnawdd ef bechot , yn y cnawt ,
45:8:004:0	y n y chyflanwit cyfiawnder y Ddeddyf ynom , yr ei ny rodiwn erwydd y cnawd : amyn erwydd yr Yspryt .
45:8:005:0	Can ys yr ei ynt erwydd y cnawd , am bethau ’r cnawd yr ymsynwyrant : anyd yr ei ’sy erwydd yr Yspryt , am betheu ’r Yspryt .
45:8:006:0	Can ys synwyr y cnawt , angeu yvv : a’ synnwyr yr Yspryt , bywyt , a’ thangneddyf ,
45:8:007:0	achos synnwyr y cnawt ’sy elyniaeth yn erbyn Duw : can nad yw ddarostyngedic i Ddeddyf Duw : ac ny’s dychon vot chvvaith .
45:8:008:0	Can hyny ysawl ynt yn y cnawt , ny allant ryngy boð Duw .
45:8:009:0	Weithian chwychvvi nyd ydych yn y cnawd , anyd yn yr Yspryt : can vot Yspryt Duw yn trigo ynoch : ac a’s oes neb eb Yspryt Christ ganto nyd yw hwnvv yn yddo ef .
45:8:010:0	Ac ad yw Christ ynoch , y mae’r corph gwedy marw , o bleit pechot : eithyr yr yspryt bywyt yvv er mwyn cyfiawnder .
45:8:011:0	Ac a’s Yspryt hwn a gyfodawdd Iesu o veirw , ’sy yn trigo ynoch , ys ef hwn a gyfodawdd Christ o veirw , a’ vywoca hefyt eich cyrph marwol chvvi , can vot y Yspryt ef yn trigo ynoch . Yr Epistol yr viij . Sul gwedy Trintot .
45:8:012:0	Can hyny vroder , ydd ym yn ddledwyr nyd ir cnawd , y vyw erwydd y cnawd :
45:8:013:0	can ys a’s byw vyddwch erwydd y cnawd , meirw vyddwch : eithyr a’s marwhewch ’weithredoeð y corph trwy ’r Yspryt , byw vyddwch .
45:8:014:0	Can ys cynnuer ac a arwedder gan Yspryt Duw , yr ei hyn ’sy blant i Dduw .
45:8:015:0	Can na dderbynesoch Yspryt caethiwet er ofn drachefyn ; eithyr derbyniesoch Yspryt mabwysiad , trwy ’r hwn y llefwn Abba , Dat .
45:8:016:0	Yr vnryw Yspryt a gyd testolaetha a ’n Yspryt ni , ein bot ni yn blant i Dduw .
45:8:017:0	Ad ym ni yn blant , ydd ym ni hefyt yn etiueddion , ys etiveddion i Dduw , ac yn gyd etiueddion a’ Christ , ac a’s cyd ðyoðefwn ac ef , val ac ein cydogoneðir ac ef . Yr Epistol ar y iiij . Sul gwedy Trintot .
45:8:018:0	O bleit gadu yr wyf nad yw gofidiae yr amser yr awrhon , yn deilwng o’r gogoniant , a ddangosir i ni .
45:8:019:0	Can ys awyddvryd y creatur ’sy yn dysgwyl pa bryd yd atcuddir meibion Duw .
45:8:020:0	Can vot y creatur yn ðarestyngedic i wagedd , nyd oei vodd ehun , anyd o bleit yr hwn , a ei darestyngawð y dan ’obeith ,
45:8:021:0	can ys y creatur hefyt a ryddheir o gaethiwet llygrydigaeth i ryðit gogoniaut meibion Duw .
45:8:022:0	Can ys gwydam vot pop creatur yn cydvcheneidio a ni , ac yn cydtravaelu‐yn ovidus yd yr amser hyn .
45:8:023:0	Ac nyd yn vnic y creadur , and nineu hefyt y sawl a gawsam vlaenffrwyth yr Yspryt , sef yð ym ni yn vcheneidio ynom eyn hunain , yn dysgwyl y mab‐wysiad , nid amgen prynedigaeth ein corph .
45:8:024:0	Can ys wrth ’obaith in iacheir : eithyr gobeith rhon a welir , nyd yw ’obaith : o bleit pa ’obeitho wna vn am y peth a wyl ?
45:8:025:0	Ac a’s gobeithiwn am yr hyn ny welwn , yð ym drwy ammynedd yn dysgwyl am dano .
45:8:026:0	Ac yn gyffelyp y mae’r Yspryt yn canhorthwyaw eyn gwendit ni : can na wydddam pa beth a weddiwn mal dylyem : eithyr yr Yspryt yhun ’sy yn erchi drosom ac vcheneidieu anrtaethawl .
45:8:027:0	Anyd yr hwn a chwilia ’r calonae , a wyr beth yw meddwl yr Yspryt : can ys mae ef erwydd evvyllys Duw yn erchi tros y Sainctæ .
45:8:028:0	A’ gwyddom vot pop peth yn cydweithio ir hyn goreu , ir sawl a garant Dduw , sef ir ei a ’alwyt erwyð y pwrpos ef .
