45:7:001:1	Pen . vij .
45:7:002:1	Mwyniant y Ddeddyf , A’ megis in gwaredawdd Christ rhagddei . Gwendit y ffyddlonion . Yr ymladd periclus rhwng y cnawt a’r Yspryt .
45:7:001:0	ANy wyddochvvi , vroder , ( wrth wybyddieit y Ddeddyf y dywedaf ) yr arglwyddia y Ddeðyf ar ðyn tra vo ef byw ?
45:7:002:0	Can ys y wraic ’rhon ’sy y dan lyvvodreth gwr , ’sy yn rhwym wrth y Ddeðyf i’r gwr , tra vo e byw : anid a bydd marw y gwr , hi ryddhawyt y wrth ðeðyf y gwr .
45:7:003:0	Ac velly a’s a’r gwr yn vyw y cymer hi hi wr arall , hi elwir yn ’odinabus : eithr a’s marw vydd y gwr , mae hi yn rhyð y wrth y Ddeðyf val nad yw hi yn ’odnebus , er cymeryd o hanei wr arall .
45:7:004:0	Ac velly chvvithe vy‐broder , ydych wedy meirw ir Ddeðyf gan gorph Christ , val y byðech i vn arall , sef i hwn a gyfodwyt o veirw , val y dygem ffrwyth y Dduw .
45:7:005:0	Can ys pan oeddem yn y cnawd , gwniae pechotae , yr ei n oedd drwy nerth y Ddeddyf , vyddent‐mewn‐grym yn ein aelodae , y ddwyn ffrwyth i angeu .
45:7:006:0	Ac yr awrhon in rhyddhawyt ywrth y Ddeddyf , gwedy ein meirw ir peth in attalit , val y gwasanaethem yn newyðeb Yspryt , ac nyd yn hendeb y llythyren .
45:7:007:0	Beth gan hyny a ddywedwn ? Ai pechot yvv’r Ddeddyf ? Ymbell oedd . Eithyr nyd adnabum i pechot , anyd wrth y Ddeðyf : can nyd adnabeswn i drachwant any ddywedesei ’r Ddeðyf , Na chwenych .
45:7:008:0	Ac a gymerth pechawt achos gan y gorchymyn , ac a weithiawdd ynof bop trachwant : can ys eb y Ddeðyf , ys marw pechot .
45:7:009:0	Can ys mi a vum gynt yn vyw eb y Ddeðyf : and pan ðaeth y gorchymyn yr advywiodd pechot . A’ mi a vum varw :
45:7:010:0	a’r gorchymyn hwn a arlvvyesit i vywyt , a gahad y vot i mi yn angeu .
45:7:011:0	Canys pechot a gymerth achos trwy ’r gorchymyn , ac am twyllawð , ac wrth hyny im lladdawdd .
45:7:012:0	Ac velly sanctaidd yw’r Ddeddyf , a’ sanctaidd yw’r gorchymyn , a’ chyfiawn , a’ da .
45:7:013:0	Can hyny a wnaethpwyt y peth oedd dda , yn angeu i mi ? Na ato Duw : eithyr pechot , er iddo ymddangos yn bechot , a weithiawdd angeu ynof trwy yr hyn ysy yn dda , val y byddei pechot yn dra phechadurus trwy’r gorchymyn .
45:7:014:0	Can ys gwyðam vot y Ddeddyf yn ysprytawl : a’ minef y n gnawdawl , wedy vy‐gwerthu y dan bechawt .
45:7:015:0	Can nad cymradwy genyf yr hyn wyf yn y wneuthur : can ys hyn y wyllyswn , hyny nyd wyf yn y wneuthur : eithyr ysy gas genyf , hyn y r ’wyf yn ei wneuthur .
45:7:016:0	Ac ad wyf yn gwneuthur yr hyn nyd wyllyswn , ydd wyf yn cydsynio a’r Ddeddyf y bot hi yn dda .
45:7:017:0	Velly yr owon , nyd myvi ’sy mwy yn gwneuthur hyny , amyn y pechawt ysy yn trigiaw yno vi .
45:7:018:0	Can ys gwn , nad oes yno vi , ys ef yn vy‐cnawd i , ddim da yn trigiaw : o bleit yr wyllysio ysy gydrichiol genyf : eithyr nad wyf yn medry cwplau yr hyn ’sy dda .
45:7:019:0	Cannad wyf yn gwneuthur y peth da , a ewyllyswn , anyd y drwc rhwn nyd wyllyswn , hyny ddwyf yn y wneuthur .
45:7:020:0	Velly a’s gwnaf , yr hynn nyd wyllysia vi , nyd myvi aei gwnaf , anyd , y pechat rhwn a drig ynof .
45:7:021:0	Ydd wyf gan hyn yn cahel wrth y Ddeðyf , pan wyllyswn wneuthur da , vot y drwc yn gynnyrchiol genyf .
45:7:022:0	Can ys y mae yn hoff genyf Ddeðyf Duw erwydd y dyn o ddy mywn :
45:7:023:0	eithr gwelaf Ddeddyf arall yn vy aelodeu , yn gwrthladd Deddyf vy meddul , ac im caethiwo i Ddeddyf pechot , yr hon ’sydd yn vy aelodae .
45:7:024:0	Ys truan o ðyn vvy vi , pwy am gwared ywrth y corph yr angae hwn ?
45:7:025:0	Ydd wyf yn diolvvch y Dduw trwy Iesu Christ ein Arglwydd . Sef gan hyny ydd wy vinef yn vy meðwl yn gwasanaethu Deðyf Duw , anyd yn vy‐cnawt Ddeddyf pechat .
