43:17:001:1	Jesus , Ditsyaa Nąįį Eenjit Khadigiinjii
43:17:001:0	Jesus jyaa diinyą' ąįįtł'ęę zheekat k'iidak gwąąh'in ts'ą' jyaa nyąą , “ Shiti' , it'ee zhat nigwiindhat . Nidinji' nich'eegwahdrii vintł'eiin'ąįį , ąįįts'ą' Gwidinji' nich'eegwahdrii nintł'ineehee'aa eenjit .
43:17:002:0	Dinjii datthak teegwahąhdal eenjit t'aih vintł'eiin'ąįį , ts'ą' juu yaanilii nąįį gwandaii ndaanąą'ąį' kwaa teeheelyaa eenjit .
43:17:003:0	Jii jyąhts'ą' t'ee gwandaii ndaanąą'ąį' kwaa khwa'įį : Vit'eegwijyąhchy'aa łi'didlii ch'ihłak zhrįh inlii , ts'ą' Jesus Christ , khadhoo'ee ąįį juu nąįį datthak goovaaheendaii eenjit .
43:17:004:0	Gwitr'it shintł'eegwin'ąįį datthak gęhdaa tr'aałjik ts'ą' jyąhts'ą' t'ee nich'eegwahdrii nankat neenjit googwahaałkyaa .
43:17:005:0	Gwiti' neeghaih ch'eegwahdrii shintł'eegwiin'ąįį , jii nan goodlit gwats'ą' ch'eegwahdrii nan , shįį haa tr'ii'įį ąįį reh .
43:17:006:0	“ Dinjii nankat gwats'an oodhiinjik ts'ą' shintł'eegoovinlii , ąįį nąįį ts'ą' neegiihkhe' . Nats'an giinlii , ts'ą' shintł'eegaviinlii . Niginjik k'eegwigwiłthat ,
43:17:007:0	ąįįts'ą' juk jidii shintł'eegwiinlii datthak nats'an t'inchy'aa gaagiindaii .
43:17:008:0	Jidii niginjik shintł'eiin'ąįį datthak goovintł'eiilii , ts'ą' giik'iinjiighit nats'an tr'iizhii ąįį łi'deegwidlii gaagiindaii , ts'ą' shahooh'e' gwik'iinjigiighit .
43:17:009:0	“ Gooveenjit khagidihjii , juu nits'į' t'inchy'aa nąįį eenjit khagidihjii kwaa , gaa juu shintł'eiinlii nąįį eenjit khagidihjii , nats'an giinlii geh'an .
43:17:010:0	Juu shats'an nilii nąįį nats'an giinlii , ts'ą' juu nats'an nilii nąįį shats'an giinlii . Ąįįts'ą' gooveh'an ch'eegwahdrii shats'an goodlit .
43:17:011:0	Ąįįts'ą' t'ee nats'ą' hihshyaa , it'ee nankat gihłeehihdyaa , gaa geedan ąįį nankat gahaaky'aa . Gwiti' Shroodiinyąą Noozhri' zhit t'aih ni'įį haa gavoiintą' , ąįį Noozhri' shintł'eiin'ąįį reh , nan shįį haa ch'ihłak tr'iinlii gwik'it ch'ihłak giheelyaa eenjit .
43:17:012:0	Gavaa iindi' dąį' , Noozhri' zhit t'aih haa gook'aałti' , ąįį noozhri' shintł'eiin'ąįį reh . Gook'aałti' , ts'ą' teegahaajil kwaa , dinjii ch'ihłak zhrįh teehaazhii . Ąįįt'ee Dęhtły'aa zhit deegweheenjyaa goo'aii ąįį gwik'it t'igweheenjyaa eenjit .
43:17:013:0	Ąįįts'ą' t'ee nats'ą' hihshyaa , gaa jii nankat tth'aii dhiindii gwiizhit jyaa dihnyąą t'ihnyąą , goodrii zhit shoh deedahaan'ai' eenjit .
43:17:014:0	Niginjik nankat gavintł'eiinlii ts'ą' lęįį nąįį gaveet'iindhan kwaa ji' , nahkat gwats'an giinlii kwaa geh'an , shįį chan nankat gwats'an ihłii kwaa gwik'it .
43:17:015:0	Nankat gihłeegavahiinlyaa eenjit t'ihnyąą kwaa , gaa Ch'anky'aa Tr'aanduu ts'į' gook'ąąhtii .
43:17:016:0	Nankat gwats'an ihłii kwaa ts'ą' geedan chan nankat gwats'an giinlii kwaa .
43:17:017:0	Niginjik łi'didlii zhit shroodiinyąą gavahtsii .
43:17:018:0	Nankat gwats'ą' shahooh'ya' gwik'it nankat gwats'ą' goohooł'e' .
43:17:002:1	Jesus Gwik'injiighit Nąįį Tthak Eenjit Khadigiinjii
43:17:019:0	Gooveenjit nantł'eedahaalchyaa , geedan chan łi'haa nantł'eedagahaachyaa ji' eenjit . ”
43:17:020:0	“ Geedan zhrįh gooveenjit khadigihjii kwaa , gaa juu shik'injiheeghit nąįį chan shitsyaa nąįį shiginjik eegoogwaandak geh'an .
43:17:021:0	Datthak ch'ihłak giheelyaa eenjit gooveenjit khadigihjii . Shiti' , shaa inlii gwik'it geedan chan diinaa gooli' ts'ą' shįį chan naa ihłii gwik'it . Ch'ihłak giheelyaa , juu nąįį datthak shahooh'e' gaageheendaii eenjit .
43:17:022:0	Nich'eegwahdrii shintł'eiin'ąįį ąįį goovantł'eiin'ąįį , ch'ihłak giheelyaa eenjit , nan shįį haa ch'ihłak tr'iinlii gwik'it .
43:17:023:0	Gavaa ihłii ts'ą' nan shaa inlii ts'ą' łyaa ch'ihłak giheelyaa eenjit , shahooh'e' ts'ą' sheet'iindhan gwik'it gaveet'iindhan gaageheendaii eenjit .
43:17:024:0	“ Gwiti' , shintł'eegaviinlii ts'ą' nijin t'ihchy'aa shaa t'agoochy'a' goovoihnyąą ts'ą' nich'eegwahdrii shintł'eiin'ąįį gahąąh'yaa geenjit . Nan gweheelyaa gwehkįį sheet'iinghya' geenjit .
43:17:025:0	Gwiti' Łi'didlii Choh ! Nankat naagwiindaii kwaa , gaa shįį ąįį naashandaii , ts'ą' shahooh'e' chan gaagiindaii .
43:17:026:0	Juu inlii neegiihkhe' ts'ą' naagiindaii ts'ą' khit jyaa shi'yaa , ts'ą' ch'eet'igwiniindhan sheenjit ni'įį goozhit t'oonchy'aa ts'ą' shįį chan ch'eet'igwiniindhan shi'įį goozhit t'oochy'a' . ”
