43:3:001:1	Jesus , Nicodemus Haa
43:3:001:0	Izhit dąį' Jews khaihkwaii tee gwa'an dinjii Nicodemus oaazhii dhidii , Pharisees chan nilii .
43:3:002:0	Ch'ihłan khaa Jesus eenihkhee ts'ą' yuahkat , “ Geech'ǫąąhtan , Vit'eegwijyąhchy'aa eenjit geech'ǫąąhtan eenjit nihił'e' naagwiindaii . Ch'ihłak gaa duuyeh Vit'eegwijyąhchy'aa vehdan geegwaroolii kwaa t'ii'in vaagwiindaii . ”
43:3:003:0	Jesus jyaa yahnyąą , “ Łi'didlii haa naagwahaaldak , dinjii chan vineegahoodlit ji' gwizhrįh K'eegwaadhat Veegwinii'ee gwahąąh'yaa t'oonchy'aa . ”
43:3:004:0	Nicodemus jyaa yahnyąą , “ Dinjii vaghaii lęįį gwiizhit nats'ąą vineegweheelyaa t'iinyąą ? Duuyeh dahan zhit nidii ts'ą' chan vineegwiilii t'oonchy'aa ! ”
43:3:005:0	Jesus jyaa yahnyąą , “ Łi'didlii haa naagwahaaldak , dinjii chųų akwat Ch'anky'aa Shroodiinyąą haa vagoodlit ji' gwizhrįh K'eegwaadhat Veegwinii'ee nihdeeheehaa .
43:3:006:0	Dinjii ąįį dinjii ts'an vigwilik , gaa dinjii Ch'anky'aa Shroodiinyąą chan vigwilik , Vit'eegwijyąhchy'aa ts'an nilii .
43:3:007:0	‘Chan nineegweheelyaa , ’ nakhwaihnyąą ąįį łyaa t'igwinyąą eenjit gwik'iinjuhkhit .
43:3:008:0	Ahtr'aii dąį' nijuk ohtr'aii niindhan datthak gwik'it ahtr'aii dohtth'ak gaa nijin gwats'an akwat nijin gwats'ą' t'inyąą vaanandaii kwaa . Ąįį juu Ch'anky'aa Shroodiinyąą haa vigwilik gwik'it t'inchy'aa . ”
43:3:009:0	“ Jii nats'ąą t'agwaiinyąą , ” Nicodemus yahnyąą .
43:3:010:0	Jesus jyaa yahnyąą , “ Israel gwizhit łyaa geech'ǫąąhtan hil'ee inlii gwiizhit jii geenjit gaanandaii kwaa ?
43:3:011:0	Łi'didlii haa naagwahaaldak , jidii gaagwiindaii gwizhrįh geegirinkhii , jidii gwarąąh'ya' gwizhrįh chan geegirinkhii googaa nakhwatee ch'ihłak gaa shik'iinjiighit kwaa .
43:3:012:0	Dząą nijin nankat t'igwii'in geenaagwaldak dąį' shik'iinjiinghit kwaa ; akwat zheekat geenaagwaldak ji' izhit chan shik'iinjihįįnghit kwaa .
43:3:013:0	Ąįįts'ą' ch'ihłak gaa zheekat gwats'ą' haazhii ts'ą' oodaa nidii kwaa , Gwidinji' zhrįh jyaa diizhik . ”
43:3:014:0	“ Deenaadąį' Moses nangwinjir gwa'an gwandah gyųų choh dachan kat diłchaa , izhit gwik'it Gwidinji' cross kat ndak tr'ihiłchįį .
43:3:015:0	Juu gik'iinjiighit nąįį khit gwigweheendaii eenjit .
43:3:016:0	Vit'eegwijyąhchy'aa łyaa dinjii datthak eet'iindhan geenjit it'ee zhrįh Didinji' gwantł'ąhchįį , ąįįts'ą' juu yik'injiighit nąįį nigiheedhaa kwaa ts'ą' khit gwigweheendaii eenjit .
43:3:017:0	Vit'eegwijyąhchy'aa Didinji' nankat dinjii an hahtsyaa eenjit gwats'ą' hił'e' kwaa gaa dinjii neehahshii eenjit .
43:3:018:0	“ Juu Gwidinji' k'injiighit duuyeh an ilii ; gaa juu gwik'iinjiighit kwaa ąįįt'ee ch'adąį' an dhidlit , Vit'eegwijyąhchy'aa et'ee zhrįh Vidinji' k'injiighit kwaa geh'an .
43:3:019:0	Jii t'ee jyąhts'ą' dinjii an heelyaa t'agwarahnyąą : Jii nankat datthak k'ąą adrii gwilii , gaa dinjii nąįį tǫǫ ąįį geet'igiindhan , ąįį googwitr'it gwiizųų geh'an .
43:3:020:0	Ąįį juu vigwitr'it gwiizųų nąįį ch'aadrii itr'igii'ee ts'ą' duuyeh ch'aadrii zhit ga'oo , vigwitr'it gwiizųų ąįį gwizhrįh nagwa'aii gitr'ii'ee geh'an .
43:3:002:1	Jesus , John Chųų Gwats'an Ąhtsii Haa
43:3:021:0	Gaa zhit juu vigwitr'it gwinzii nąįį shoo haa ch'aadrii zhit ga'oo , dee'in ąįį Vit'eegwijyąhchy'aa k'iighai' t'ii'in gwigweheechy'aa eenjit . ”
43:3:022:0	Jii ąįįtł'ęę , Jesus ditsyaa nąįį haa Judea nahkat gwats'ą' gahaajil . Zhat ch'ihłee gwizhrįh gavaa iindi' ts'ą' lęįį nąįį chųų ts'an dhidlit .
43:3:023:0	Aenon gwizhit John chųų gwats'an ąhtsii , Aenon t'ee Salim geeghaih goo'aii ts'ą' zhat gwizhrįh chųų gwanlii . Lęįį nąįį chųų goots'an tr'ahahtsyaa eenjit yeenineedal .
43:3:024:0	Zhat dąį' John tth'aii zheegwaazhrąįį nigiiyąąhchįį kwaa .
43:3:025:0	Jews nąįį tee gwats'an dinjii ch'ihłak ąįį John vitsyaa nąįį haa gwantł'oo shroogogoonyąą eenjit giiyaa nihzheedagąąn'ee .
43:3:026:0	John ts'ą' nigiinjil ts'ą' jyaa giiyahnyąą , “ Geech'ǫąąhtan , dinjii Jordan han gwinjik ndųhts'ąįį , naa indi' ts'ą' veeginkhe' , vanandaii ? Juk chųų gwats'an ąhtsii ts'ą' juu nąįį datthak yats'ą' hijyaa t'arahnyąą ! ”
43:3:027:0	John jyaa gavahnyąą , “ Zheekat gwats'an jidii gwitr'it diinantł'eegwariin'ąįį zhrįh eenjit gwitr'it gwarahąąh'yaa goo'aii .
43:3:028:0	Nakhwandah jii jyaa diinyą' ganoondaii , ‘Christ t'ihchy'aa kwaa gaa shįį tr'ookit vits'ii shirihił'e' . ’
43:3:029:0	Zhit juu veegwarąhchįį t'ee da'at ts'anyahaa'yaa . Ąįį juu veegwarąhchįį vijyaa veeghaii nadhat ts'ą' yinkeech'oołk'įį , yideezhuh diitth'ak dąį' shoh ilik . Jyąhts'ą' t'ee shįį chan shoo'ihłik , gwitr'it shintł'eegwiriin'ąįį gęhdaa tr'iinjik geh'an .
43:3:030:0	Adan nitsii heelyaa , shįį ąįį jyaa deegwahtł'oo sheegwehee'aa kwaa . ”
43:3:031:0	“ Zheekat gwats'an ahaa ts'ą' juu nąįį datthak andaa hil'ee . Juu nankat gwats'an ahaa chan nankat gwats'an nilii ts'ą' nankat gwiky'aa gwizhrįh ginkhii . Juu zheekat gwats'an ahaa t'ee juu nąįį datthak ęhdak dhidii .
43:3:032:0	Jidii gwaak'įį akwat gwąąh'ya' haa eegwaandak . Ch'ihłak gaa yiginjik k'injiighit kwaa .
