43:10:001:1	Divii K'ąąhtii ts'ą' Didivii Nąįį Haa
43:10:001:0	“ Łi'didlii eenaagwagwahaldak ! Juu divii dehk'it goo'aii ąįį gindeiinvyaa k'it k'ii'ee nihdeiinzhii kwaa ts'ą' ch'adanh k'ii'ee gwats'ą' haazhii t'ee ch'an'įį ts'ą' dinjii łi'didlii nilii kwaa t'oonchy'aa .
43:10:002:0	Gaa divii k'ąąhtii nąįį gindeiinvyaa k'it gwizhrįh nihdeegadal .
43:10:003:0	Gindeiinvyaa k'ąąhtii nąįį nihdeegiiyahchik ; didivii tee ch'oaazhri' gwizhrįh giiyiitth'ak ts'ą' giits'ą' chagahdal ts'ą' jyąhts'ą' cheegavahaazhik .
43:10:004:0	Datthak cheegoovaahchik dąį' goots'įį ahaa ts'ą' giitąįį adaa , giideezhuh diitth'ak ts'ą' giiyaandaii geh'an .
43:10:005:0	Ch'izhii dinjii ąįį duuyeh tąįį geedaa ; t'oohłii galgahahdaa , giideezhuh haa heendaii kwaa geh'an . ”
43:10:002:1	Jesus Divii K'ąąhtii Nizįį Nilii
43:10:006:0	Jesus jii gwandak gwah'įį gwizhit geegavaagwaandak gaa deegavahnyąą ąįį deegwinyąą t'igwinyąą gaagiindaii kwaa .
43:10:007:0	Ąįįts'ą' Jesus chan hee jyaa nyąą , “ Łi'didlii eenakhwaagwahaldak : Shįį t'ee divii nąįį eenjit gindeiinvyaa ihłii .
43:10:008:0	Juu shehkii nihdeiinjil nąįį t'ee ch'an'įį giinlii ts'ą' łi'didlii giinlii kwaa ; gaa divii nąįį googoołk'įį kwaa .
43:10:009:0	Shįį t'ee gindeiinvyaa t'ihchy'aa juu shik'iighai' gindeiinvyaa k'it nihdeiinzhii t'ee neegoorahahshii , nihdineeheedik ts'ą' chineeheedik ts'ą' tł'oo chyah nizįį hee'aa .
43:10:010:0	Ch'an'įį nąįį ch'igiheen'įį , dinjii ęhdaa tr'agwa'ak akwat an googwahahtsyaa eenjit gwizhrįh nihdeegadal . Shįį ąįį gwinzii gogweheendaii ji' eenjit dząą nankat gwats'ą' hoiizhii t'ishi'in .
43:10:011:0	“ Divii k'ąąhtii nizįį ihłii . Divii k'ąąhtii nizįį didivii eenjit naheedhaa ji' gaa t'inchy'aa .
