43:13:001:1	Jesus , Ditsyaa Nąįį Kwai' K'eech'ąhtryaa
43:13:001:0	It'ee Passover ch'arehee'aa gwats'ą' drin nigwiindhat . It'ee Jesus vidrin eenigwiindhat ts'ą' jii nankat gihłeeheekhaa ts'ą' Gwiti' ts'ą' heekhaa gaandaii . Dzaa nankat juu yaa t'iinchy'a' nąįį eet'iinghya' ts'ą' ndaagwąą'ąį' gwats'ą' gooveet'iindhan .
43:13:002:0	Jesus ditsyaa nąįį haa khaa neech'aga'aa . Ch'anky'aa Tr'aanduu ąįį Simon Iscariot vidinji' Judas ąįį ch'adąį' hee Jesus gwintł'eehahchyaa gwiłtsąįį .
43:13:003:0	Jesus ąįį Gwiti' t'aih datthak yintł'eiin'ąįį gaandaii ; Vit'eegwijyąhchy'aa ts'an tr'iinzhii ts'ą' Vit'eegwijyąhchy'aa ts'ą' heekhaa gaandaii .
43:13:004:0	Ąįįts'ą' Jesus vakaii'aa ts'an ndak nidhikhin , ts'ą' ankhii dagwach'aa gihłeehaalii , ts'ą' dohshroo dazhrak tł'an diłchaa .
43:13:005:0	Ąįįtł'ęę vizhit neech'araanjii zhit chųų gwizhinjaa ts'ą' ditsyaa nąįį kwai' k'eech'ąhtryaa ąįįtł'ęę ąįį dazhrak tł'an dohshroo haa gooch'ahjii .
43:13:006:0	Simon Peter ts'ą' niinzhii , ąįį t'iiyahnyąą , “ Shik'eegwaadhat , shakwai' k'eech'ahąhtryaa ? ”
43:13:007:0	Jesus t'iiyahnyąą , “ Juk deeshi'in gaakhwandaii kwaa , gaa nahgwan gaakhwahandaii . ”
43:13:008:0	Peter t'iiyahnyąą , “ Duuyeh , ch'ihłok , gaa shakwai' k'eech'ąhtryaa t'oonchy'aa ! ” Jesus t'iiyahnyąą , “ Nakwai' k'eech'ałtryaa kwaa ji' , shitsyaa neenilyaa kwaa t'oonchy'aa . ”
43:13:009:0	Simon Peter t'iiyahnyąą , “ Shik'eegwaadhat , shakwai' zhrįh k'eech'ohtryaa shrǫ' ! Akwat , shanli' chan ts'ą' shiki' haa chan k'eech'ąhtryaa ! ”
43:13:010:0	Jesus t'inyąą , “ Juu gwinzii dik'eech'aahtryaa t'ee vakat shrąįh kwaa ts'ą' dik'ineech'aatryaa t'ee vakat shrąįh kwaa ts'ą' dik'ineehaatryaa gwat'aahchy'aa kwaa , vakwai' zhrįh . Datthak nakhwakat shrąįh kwaa nakhwatee ch'ihłak zhrįh . ”
43:13:011:0	Jesus ch'adąį' hee gootee juu gwintł'eeyahahchyaa gaandaii , ąįį geh'an jyaa nyąą , “ Datthak nakhwakat shrąįh kwaa gaa ch'ihłak zhrįh . ”
43:13:012:0	Datthak gookwai' k'eech'ąhtryaa tł'ęę Jesus ankhii dagwach'aa neenaazhii ts'ą' vakaii'aa ts'ą' neenakhwadii . “ At'ohju' deenakhwiilik deeshi'in nik'ee gaakhwandaii ? ” gavahnyąą .
43:13:013:0	“ Shigeech'ǫąąhtan chan ts'ą' Shik'eegwaadhat shohnyąą , ąįįt'ee gwinzii t'oohnyąą , ąįį adan t'ihchy'aa .
43:13:014:0	Nakhwak'eegwaadhat , nakhwageech'ǫąąhtan ihłii , ts'ą' at'ohju' nakhwakwai' k'eech'ałtryaa . Nakhwan chan , nihłakwai' k'eech'ohtryaa .
43:13:015:0	Shik'it t'akhwa'yaa eenjit t'ishi'in , nakhweenjit deeshizhik gwik'it t'akhwa'yaa eenjit .
43:13:016:0	Łi'didlii haa nakhwaagwahaldak , slaves ąįį dinjii yits'ą' k'eegwaadhat ąįį andaa hil'ee kwaa ; dinjii hil'e' ąįį juu yihił'e' andaa veegoo'aii kwaa .
43:13:017:0	It'ee łi'didlii haa khwandaii : izhit gwik'it t'akhwa'in ji' gwintł'oo shoohohłyaa ! ”
43:13:018:0	“ Datthak nakhweegihkhii t'ihnyąą kwaa ; ąįį juu nąįį teegǫǫłjik nąįį haashandaii . Gaa jii Dęhtły'aa Choh zhit deegwiinyą' gwik'it t'igiheenjyaa eenjit , ‘Dinjii juu shishii in'al t'ee shits'į' t'iheechy'aa . ’
43:13:019:0	Jii gwik'it t'igweheenjyaa gwehkįį juk nakhwaagwaldak t'ihnyąą , ąįįts'ą' nijin gwik'it t'igwiizhik ‘Juu Ihłii Ąįį Ihłii ! ’ gwik'iinjuhohkhit geenjit .
43:13:002:1	Jesus Gwintł'eesharahahchyaa Nyąą
43:13:020:0	Jii t'ee łi'didlii : juu vats'ą' ch'ahooł'e' ąįį k'injiighit ąįįt'ee shik'iinjiighit , ąįį juu shik'iinjiighit , t'ee juu shihił'e' ąįį k'injiighit . ”
43:13:021:0	Jesus jyaa diinyą' , ąįįtł'ęę łyaa tr'igwidii , ts'ą' gwinzii akǫǫ t'agoovahnyąą : “ Łi'didlii haa nakhwaagwaldak : nakhwatee ch'ihłak gwintł'eeshahahchyaa . ”
43:13:022:0	Datthak nihłitee googwąąh'in ts'ą' juu t'ahnyąą ąįį gaagiindaii kwaa .
43:13:023:0	Vitsyaa nąįį tee juu Jesus yeet'iindhan ąįį yeeghaii dhidii .
43:13:024:0	Ąįį dinjii ąįį Simon Peter t'iiyahnyąą , “ Juu t'ahnyąą ąįį geenjit oahkat lee ? ”
43:13:025:0	Ąįį dinjii Jesus eeghaii naadii ts'ą' yuahkat , “ Shik'eegwaadhat , juu t'aiinyąą ? ”
43:13:026:0	Jesus t'iiyahnyąą , “ Łųhchy'aa teehałchaa ts'ą' vintł'eehałchaa , ąįį dinjii t'aihnyąą . ” Ąįįts'ą' t'ee łųhchy'aa oonjik ts'ą' teeyahtsit ts'ą' Simon Iscariot viinji' Judas intł'eeyahtsit
43:13:027:0	Judas łųhchy'aa oonjik googwahkhan Satan vizhit diindhat . Jesus jyaa yahnyąą , “ Khan deehini'yaa goo'aii gwik'it t'ini'in ! ”
43:13:028:0	Ąįį vakaii'aa ts'ą' yaadilk'ii nąįį ch'ihłak gaa Judas jaghaii t'inyąą giiyaandaii kwaa .
43:13:029:0	Judas ąįį laraa k'ąąhtii nilii ts'ą' Jesus vitsyaa lat nąįį ch'ara'aa drin eenjit ch'oiinkwat yahnyąą giiyuunyąą , ąįį akwaa ji' neeshraahchy'aa nąįį ts'iinyąą yahnyąą giiyuunyąą .
43:13:003:1	Ch'eet'igwiniindhan Nihłeenjit Khwa'įį
43:13:030:0	Khaa gwanlii ts'ą' Judas łųhchy'aa oonjik tł'ęę zhat cheehoozhii .
43:13:031:0	Judas cheehoozhii ąįįtł'ęę , Jesus jyaa nyąą , “ It'ee Gwidinji' vich'eegwahdrii gwizhrįh nagwaatth'at . It'ee Gwidinji' vik'iighai' Vit'eegwijyąhchy'aa vich'eegwahdrii gwizhrįh nagwaatth'at .
43:13:032:0	Ąįįts'ą' vik'iighai' Vit'eegwijyąhchy'aa vich'eegwahdrii gwizhrįh nagwaatth'at ji' , zhazhat Vit'eegwijyąhchy'aa adakhai' Gwidinji' vich'eegwahdrii gwizhrįh nigwehee'aa .
43:13:033:0	Shigii nąįį , it'ee niighit kwaa gwizhrįh nakhwaa t'ihihchy'aa . Shinkeegahoo'yaa gaa Jews nąįį deegavaiinyą' juk nakhwaagwaldak , ‘Nijuk hihshyaa duuyeh gwats'ą' hohjyaa . ’
43:13:034:0	Jii t'ee juk gwizhrįh nakhwaa gwahaldak jyaa khwa'in nakhwaihnyąą , nakhwatee googwąąnchy'aa ts'ą' nihłeenjit ch'eet'igwiniindhan khwa'įį . Nakhweenjit ch'eet'igwiniindhan shi'įį , ts'ą' nakhwan chan nihłeenjit ch'eet'igwiniindhan khwa'įį .
43:13:004:1	Niighit Kwaa Peter , Shaanandaii Kwaa Hinjyaa
43:13:035:0	Ch'eet'igwiniindhan nihłeenjit khwa'įį ji' , juu nąįį datthak shitsyaa ǫhłįį nakhwaaheendaii . ”
43:13:036:0	“ K'eegwaadhat , nijin gwats'ą' hiinkhaii ? ” , Simon Peter yahnyąą . “ Nijin gwats'ą' hihshyaa duuyeh gwats'ą' hinkhaii t'oonchy'aa , ” Jesus yahnyąą , “ Gaa nahgwan ji' hee shatąįį hinkhaa t'oonchy'aa . ” nyąą .
43:13:037:0	“ K'eegwaadhat , jaghaii juk naahihshyaa kwaa gǫ' ? ” Peter nyąą . “ Neenjit nihihthaa ji' gaa , ” Peter yahnyąą .
43:13:038:0	Jesus t'iiyahnyąą , “ Łyaa sheenjit nihiindhaa ji' gaa lee t'iinyąą ? Łi'didlii haa nakhwaagwahaldak : vanh rooster khakeehee'aa gwehkįį tik łąą shaanandaii kwaa hinjyaa t'oonchy'aa . ”
