43:21:001:1	Jesus , Vitsyaa 7 Nąįį Ts'ą' Gwigwiilkįį
43:21:001:0	Jii ąįįtł'ęę , Jesus ch'ihłok gwizhrįh van Tiberias khyųų ditsyaa nąįį ts'ą' idineegwiilkįį . Jyąhts'ą' t'igwiizhik t'agwarahnyąą .
43:21:002:0	Simon Peter , Thomas , Nathaniel ( Galilee nahkat gwizhit Cana goozhii goo'aii gwats'an ahaa ) , Zebedee vidinjii neekwaii ts'ą' Jesus ch'izhii vitsyaa neekwaii nąįį haa nihłaagiilk'ii .
43:21:003:0	Simon Peter jyaa gavahnyąą , “ Łuk keeshi'yaa . ” “ Naa k'eereheedal , ” giiyahnyąą . Ąįįts'ą' t'ee giiyaahaajil ts'ą' tr'ihchoo zhit giinjil ; gaa zhat tǫǫ datthak łuk ch'ihłak gaa goonjik kwaa .
43:21:004:0	Vanh geeneech'ihii'aii gwiizhit Jesus van khyųų nadhat , gaa vitsyaa nąįį Jesus t'inchy'aa giiyaandaii kwaa .
43:21:005:0	Ąįįtł'ęę jyaa gavahshral ts'ą' jyaa nyąą , “ Tsyaa nąįį , nik'ee łuk oodhoonjik ? ” “ Ch'ihłak gaa kwaa , ” giiyahnyąą .
43:21:006:0	Jesus jyaa gavahshral ts'ą' jyaa nyąą , “ Nakhwachihvyaa tr'ihchoo eeghaii shriits'ąįį chųhtsuu , izhit łuk oohohdal t'oonchy'aa . ” Ąįįts'ą' t'ee izhit chigiiyąąhtsuu akhai' khyų' khaneegiiyahtsuu , łyaa vizhit łuk lęįį geh'an .
43:21:007:0	Zhit vitsyaa Jesus yeet'iindhan ąįį Peter t'ahnyąą , “ Diik'eegwaadhat t'inchy'aa łee ! ” Nijin Simon Peter Diik'eegwaadhat t'inchy'aa gwinyąą gwiitth'ak dąį' , ankhii dagwach'aa nanaatsuu gwats'ą' dąį' ( gihłeeyihiltsuu dhidii ) ts'ą' chųų zhit oondaa hiltłee .
43:21:008:0	Teeghaii gwats'ą' niighit kwaa neegeekwaii . Ch'izhii vitsyaa nąįį tr'ihchoo haa teeneegohojil ( Chihvyaa vizhit łuk deedąą'ąį' haa ) .
43:21:009:0	Teeneegohojil dąį' zhat gwaak'a' kǫ' zhit łuk chan ts'ą' łųhchy'aa haa ichy'aa googwąąh'in .
43:21:010:0	Jesus t'agavahnyąą , “ Ąįį łuk dohju' gwidiinlii lat dząą nohtsit . ”
