43:14:001:1	Jesus Vik'iighai' Gwiti' Vats'ą' Tr'iheedaa
43:14:001:0	“ Nakhwadrii zhit tr'agohdii ts'ą' nakhweenjit goozųų shrǫ' ! ” Jesus gavahnyąą . “ Vit'eegwijyąhchy'aa vik'injuhkhit , ts'ą' shįį chan shik'iinjuhkhit .
43:14:002:0	Shiti' vizheh gwizhit gwintsii , ts'ą' izhit nakhweenjit shrigwihihłyaa . Jyąhts'ą' nakhwadivee goo'aii kwaa ji' duuyeh jyaa nakhwaihnyąą .
43:14:003:0	Ąįįts'ą' hoiizhii ąįįtł'ęę izhit nakhweenjit shrigwiilik ąįįtł'ęę , oo'ee neehihdyaa ts'ą' adahaa nakhwahaalchyaa , nijin t'ihchy'aa izhit shaa t'ahohchy'aa eenjit .
43:14:004:0	Nijin gwats'ą' hihshyaa ąįį nats'ąą gwats'ą' hohdaa gaakhwandaii . ”
43:14:005:0	Thomas jyaa yahnyąą , “ K'eegwaadhat , nijin gwats'ą' hinkhaa t'iinyąą , gaagwiindaii kwaa . Nats'ąą gaagweheendaii ? ”
43:14:006:0	Jesus t'iiyahnyąą , “ Shik'iighai' shatąįį gwats'ą' hohdaa t'igwinyąą , łi'didlii ihłii , gwandaii ihłii ; shik'iighai' gwizhrįh dinjii Gwiti' ts'ą' niheehaa goo'aii .
43:14:007:0	It'ee shaakhwandaii akwat Shiti' chan vaakhwahandaii ts'ą' juk gwats'an vaakhwandaii hohłyaa , nǫh'ya' t'inchy'aa . ” Jesus gavahnyąą
43:14:008:0	Philip jyaa yahnyąą , “ K'eegwaadhat , Gwiti' diits'ą' agwąąhkįį ; ąįį gwizhrįh gwit'eegwaahchy'aa . ”
43:14:009:0	Jesus jyaa nyąą , “ Łyaa niighyuk nakhwaa t'ihchy'aa gwiizhit tth'aii shaakhwandaii kwaa Philip ? Juu shaa'ya' t'ee gwiti' chan nah'ya' t'oonchy'aa . Jaghaii gwiizhit ‘Gwiti' diits'ą' agwahch'in ! ’ diinyąą ?
43:14:010:0	Gwiti' vizhit t'ihchy'aa ts'ą' Gwiti' shizhit t'inchy'aa ąįį nik'ee gwik'iinjinghit Philip ? Jidii ginjik nakhwats'an dhałtsąįį t'ee shats'an t'igwinyąą kwaa . Gwiti' shizhit t'inchy'aa ąįį digwitr'it t'agwah'in t'igwinyąą .
43:14:011:0	Gwiti' vizhit t'ihchy'aa ts'ą' Gwiti' shizhit t'inchy'aa ąįį gwik'iinjuhkhit . Akwaa ji' , gwitr'it geegwaroolii kwaa t'agwał'in gǫǫh'ya' gwik'iighai' gwik'iinjuhkhit .
43:14:012:0	Łi'didlii haa nakhwaagwahaldak , juu shik'iinjiighit ąįį chan jidii gwitr'it t'agwał'ya' gwik'it t'ihee'yaa . Aahą' , shandaa gaa gwitr'it t'agwahah'yaa . Shįį ąįį Gwiti' vats'ą' hihshyaa geh'an .
43:14:013:0	Ąįįts'ą' jidii shoozhri' zhit ach'oohkat datthak gwik'it gweheelyaa gwahałtsyaa . Gwidinji' vik'iighai' Gwiti' vich'eegwahdrii gwigweheechy'aa eenjit .
43:14:002:1	Jesus , Ch'anky'aa Shroodiinyąą Goots'ą' Hah'aa Goovahnyąą
43:14:014:0	Shoozhri' zhit jidii ach'oohkat , nakhwak'it shi'yaa . ”
43:14:015:0	“ Sheenjit ch'eet'igwiniindhan khwa'įį ji' , Vit'eegwijyąhchy'aa shiginjik k'eegohohthat t'akhwa'in .
43:14:016-017:0	Gwiti' nakhweenjit oohaałkat ts'ą' nakhwats'eheenjyaa nakhwats'ą' niheehaa , ąįįt'ee Ch'anky'aa Shroodiinyąą łi'didlii t'arahnyąą . Ąįį khit ts'ą' nakhwaaheelyaa . Jii nankat dinjii nąįį an-giihaa'aa , giiyąąh'in kwaa ts'ą' giiyaandaii kwaa geh'an . Gaa nakhwan'ąįį vaakhwandaii . Juk nakhwaa t'inchy'aa ts'ą' nakhwazhit t'iheechy'aa .
43:14:018:0	“ Duuyeh akhanahoihnyąą ; nakhwats'ą' neehihdyaa .
43:14:019:0	It'ee niighit kwaa jii nankat gihłeehihshyaa gaa khit nakhwaahihłyaa , ts'ą' chan neegwihįhdaii ts'ą' nakhwan chan neegohǫhdaii t'oonchy'aa .
43:14:020:0	Izhit drin ji' Gwiti' vizhit t'ihchy'aa ts'ą' nakhwan chan shizhit t'ohchy'aa , ts'ą' nakhwazhit t'ihchy'aa gwik'eehoondal t'oonchy'aa .
43:14:021:0	“ Juu ch'iitth'ak ts'ą' shik'eegwahthat , ąįįt'ee sheenjit ch'eet'igwiniindhan di'įį . Juu sheenjit ch'eet'igwiniindhan di'įį t'ee Shiti' chan yeenjit ch'eet'igwiniindhan di'įį . Shįį chan veenjit ch'eet'igwiniindhan shi'yaa ts'ą' vats'ą' adagwahaalkyaa . ”
43:14:022:0	Judas Iscariot ąįį kwaa gaa ch'izhii Judas ąįį jyaa yahnyąą , “ K'eegwaadhat , jaghaii diits'ą' adagwahaankyaa gwiizhit jii nankat ąįį kwaa ? ”
43:14:023:0	Jesus t'iiyahnyąą , “ Juu sheenjit ch'eet'igwiniindhan di'įį t'ee shiginjik k'eegwahahthat . Shiti' chan yeenjit ch'eet'igwiniindhan hee'yaa , ts'ą' Shiti' , shįį haa vats'ą' nirehee'al ts'ą' vizhit t'igweheechy'aa .
43:14:024:0	Juu sheenjit ch'eet'igwiniindhan di'įį kwaa t'ee duuyeh shiginjik k'eegwahthat . Jii jyaa danakhwaihnyąą t'ee shats'an t'inchy'aa kwaa gaa Gwiti' shihił'e' vats'an t'igwinyąą .
43:14:025:0	“ Tth'aii nakhwaa dhiidii dąį' jii kwaii nakhwaagwaldak t'ihnyąą .
