43:16:001:0	“ Teehohdaa gwits'į' jii kwaii naagwaldak t'ihnyąą .
43:16:002:0	Israel gwich'in nąįį ditr'igiinkhii zheh gwats'an kwaii cheenagahahchyaa . Ąįįts'ą' juu nęhdaa tr'igwiin'ąįį chan Vit'eegwijyąhchy'aa vaa ihłii shi'in heenghyaa ąįį chan gwats'ą' gweedhaa .
43:16:003:0	Shįį akwat Gwiti' haagiindaii kwaa geh'an jii kwaii jyaa danagahah'yaa .
43:16:001:1	Nats'ąą Ch'anky'aa Shroodiinyąą Tr'agwah'in
43:16:004:0	Gaa nijin jii kwaii jyaa danahah'yaa nigwiindhat ji' gaanahandaii ts'ą' naagwaldak chy'aa gineehandaii eenjit . Tr'ookit naa iidi' dąį' jii kwaii geenaagwaldak kwaa . ”
43:16:005:0	“ Juk juu shihił'e' ąįį vits'eehihdyaa ; gaa nakhwatee ch'ihłak gaa jii shǫąąhkat kwaa , ‘Nijin gwats'ą' hinkhaa ? ’
43:16:006:0	It'ee nakhwaagwaldak , ts'ą' nakhwadrii zhit tr'igwidii dha'aii .
43:16:007:0	Gaa jii t'ee łi'didlii haa nakhwaagwaldak : hoiizhii ji' gwizhrįh nakhwadiveegweheezyaa . hoiizhii kwaa ji' , Ch'anky'aa Shroodiinyąą gwits'inyaa duuyeh nakhwats'ą' hahaii . Gaa shįį hoiizhii ji' t'ee nakhwats'ą' nahałchyaa .
43:16:008:0	Ąįįts'ą' nijin k'idik ji' , jii nankat gwidinjii nąįį gootr'agwaanduu gwiizųų t'igii'in gaagavahąhdaii , ąįįts'ą' nats'ąą gootr'agwaanduu gweheezyaa chan gaagavahąhdaii , nats'ąą neegeheezhii akwat goorahahkat drin nigweheedhaa chan eenjit gaagavahąhdaii .
43:16:009:0	Shik'iinjigiighit kwaa geh'an gootr'agwaanduu gwanlii ąįį giizųų , ts'ą'
43:16:010:0	jidii gwinzii ginyąą chan zhyaa t'iginyąą , Gwiti' vats'ą' hihshyaa ts'ą' neeshahǫǫ'yaa kwaa geh'an .
43:16:011:0	Ts'ą' Ch'aroohahkat Drin geenjit chan , jii nankat Ch'anky'aa Tr'aanduu gwats'ą' k'eegwaadhat , ch'adąį' hee gwizhrįh narąhchįį .
43:16:012:0	“ Łyaa tth'aii gwinlęįį eenjit nakhwaagwahaldak gaa tr'ihkhit lęįį ts'ą' gineehoondaii kwaa .
43:16:013:0	Gaa nijin Ch'anky'aa Shroodiinyąą łi'didlii nilii k'idik ji' łi'didlii zhit gwizhrįh t'ahohchy'aa . Adan zhrįh vats'an t'igwinyąą kwaa gaa jidii gwehkįį gwiitth'ak akwat yeendaa deegweheenjyaa kwaii geegwahaandak .
43:16:014:0	Deenakhwaiinyą' datthak geenakhwaaneegwahaandak jyąhts'ą' t'ee ch'agwąhdit shintł'eegwehee'aa .
43:16:002:1	Tr'igwidii ts'ą' Shoo Ginlii
43:16:015:0	Jidii Shiti' vats'an nilii jii datthak chan shats'an ; ąįį geh'an t'ee Ch'anky'aa Shroodiinyąą jidii vintł'eegwiriin'ąįį datthak geenakhwaaneegwahaandak t'oonchy'aa . ”
43:16:016:0	“ It'ee nahgwan chan neeshahǫǫ'yaa kwaa ; ąįįtł'ęę gwats'an nahgwan chan neeshahǫǫ'yaa . ”
43:16:017:0	Vitsyaa lat nąįį jyaa nihłagaanyąą , “ Deiinyąą t'inyąą li' ? Jyaa diinahnyąą , ‘It'ee nahgwan chan neeshahǫǫ'yaa kwaa ts'ą' ąįįtł'ęę gwats'an nahgwan chan neeshahǫǫ'yaa . ’ Jii chan jyaa nyąą , ‘Gwiti' vats'ą' hihshyaa geh'an . ’ ”
43:16:018:0	“ ‘Jii nahgwan it'ee , ’ nyąą ąįį deenyąą t'inyąą ? ” Nihłagaanyąą , “ Jidii eeginkhii t'inyąą vaagwiindaii kwaa ! ” ginyąą .
43:16:019:0	Jesus ąįį giiyuuhkat giindhan gavaandaii ts'ą' jyaa gavahnyąą , “ Jyaa nakhwaiinyą' , ‘It'ee nahgwan chan neeshahǫǫ'yaa kwaa ąįįtł'ęę gwats'an nahgwan chan neeshahǫǫ'yaa . ’ Jii geenjit nihłookat lee t'ohnyąą ?
43:16:020:0	Jii t'ee łi'didlii haa nakhwaagwahaldak , hohtree ts'ą' tr'agohohdii , gaa jii nankat gwich'in nąįį shik'injiighit kwaa nąįį geenjit shoo heelyaa , tr'agohohdii gaa shoo ąįį neeheelyaa .
43:16:021:0	Nijin tr'injaa tr'iinin haa iłts'ik dąį' khaiinjich'iighit ts'ą' vaa shroonchy'aa kwaa . Gaa nijin tr'iinin igwilik ąįįtł'ęę khaiinjich'iighit chy'aa ganaandee , vigii nankat niinzhii eenjit shoo nilii geh'an .
43:16:022:0	Ąįį geh'an juk tr'agohdii ts'ą' nakhwaa shroonchy'aa kwaa t'oonchy'aa , gaa chan neenakhwahaal'yaa ts'ą' nakhwadrii zhit shoo neehee'aa , ąįį shoo t'ee duuyeh nakhwałeeraha'aii t'inchy'aa .
43:16:023:0	Izhit zhat drin nigwiindhat ji' shahohkat kwaa . Łi'didlii haa nakhwaagwahaldak , shoozhri' zhit Gwiti' jidii eenjit oohkat nakhwats'an hahtsyaa t'inchy'aa .
43:16:003:1	Jii Nankat Gwatr'agwaanduu Gaayiigwiłtsąįį
43:16:024:0	Gwehkįį shoozhri' zhit tth'aii ch'oohkat kwaa akwat : jidii ach'oohkat ąįį nik'eegwahaadhat t'oonchy'aa , shoh nakhwazhit deedahaa'aii t'oonchy'aa . ”
