43:18:001:1	Niveet'ah'in Nąįį Jesus Giiyuunjik
43:18:001:0	Jyąhts'ą' khadigeedi' ąįįtł'ęę Jesus k'ǫǫ Kidron deetaa ditsyaa nąįį haa neiinzhii . Izhit gwanzhįh deek'it goo'aii , izhit Jesus ditsyaa nąįį haa gwiteiinzhii .
43:18:002:0	Judas , Jesus gwantł'ąhchįį ąįį gwanzhįh deek'it nijin goo'aii gaandaii ąįį gwehkįį zhat khit ditsyaa nąįį ninidik yaandaii .
43:18:003:0	Judas ąįį gwanzhįh deek'it gwats'ą' ąįį Kharigidiinjii Zheh Gwachoh gwak'ąąhtii nąįį akwat Roman niveet'ah'in lęįį nąįį haadlii , ąįįt'ee giinkhih kįh dilk'ii nąįį chan ts'ą' Pharisee nąįį goohił'e' : datthak kheeghan akwat chųų daak'a' tyah akwat gał vakat gwaak'a' neegahaazhik .
43:18:004:0	Jesus deereheelyaa datthak ch'adąį' hee gaandaii ; ąįįts'ą' goots'ą' niinzhii ts'ą' jyaa gavahnyąą : “ Juu vinkeegǫh'in t'akhwa'in ? ”
43:18:005:0	“ Jesus Nazareth gwats'an , ” giiyahnyąą . “ Shįį t'ee t'ihchy'aa , ” gavahnyąą . Judas , Jesus gwantł'ahchįį chan zhat nadhat .
43:18:006:0	Nijin Jesus jyaa gavahnyąą dąį' , “ Shįį t'ee t'ihchy'aa , ” an gagahaajil ts'ą' nan kat oo'an gahaajil .
43:18:007:0	Jesus chan hee gavaahkat , “ Juu vinkeegǫh'in t'akhwa'in ? ” “ Jesus Nazareth gwats'an , ” ginyąą .
43:18:008:0	“ Shįį t'ee t'ihchy'aa , ch'adąį' nakhwaiinyą' . Shįį shinkeegoh'in t'akhwa'in ji' , jii ch'izhii nąįį gavaanagoh'aa shrǫ' ! ” Jesus gavahnyąą .
43:18:009:0	( Deiinyą' chy'aa łi'didlii gweheelyaa ji' eenjit jyaa nyąą t'inyąą : “ Ch'ihłak gaa haa tr'igweendaii kwaa , Shiti' , juu shintł'eiinlii nąįį tee gwats'an ” ) .
43:18:010:0	Peter ąįį kheeghan shrii choh di'įį , khąhnaii ts'ą' ndak khii giinkhih choh vi-slave Malchus oaazhii ąįį shriits'ąįį dzee' gadąąhtrit .
43:18:002:1	Jesus , Annas ts'ą' Nigiiyąąhchįį
43:18:011:0	Jesus Peter jyaa ahnyąą , “ Nizhrii choh gwizhit nąhchįį ! Shiti' chųų tyah vizhit khaiinjich'iidhat shintł'eiin'ąįį zhit ch'ishinjyaa kwaa shǫįįnyąą ? ”
43:18:012:0	Niveet'ah'in ts'ą' dagakhaihkwai' chan ts'ą' gwak'ąąhtii nąįį haa Jesus goonjik ts'ą' giikat dich'iłchaa ,
43:18:013:0	ąįįts'ą' Annas tr'ookit ts'ą' giihiłchįį . Caiaphas t'ee vichį' eedhidii ts'ą' zhat dąį' Caiaphas ndak khii giinkhih choh nilii .
43:18:003:1	Peter , Jesus Haandaii Kwaa Nyąą
43:18:014:0	Caiaphas t'ee dinjii ch'ihłak zhrįh dinjii tee gwats'an juu nąįį datthak niindhat eenjit ji' gweheezyaa Jews nąįį ąįįnyą' .
