43:4:001:1	Jesus , Ts'ą' Samaria Gwats'an Tr'injaa Haa
43:4:001:0	Zhat dąį' Jesus ąįį John andaa ts'ą' vitsyaa nąįį gwilii ts'ą' datthak chųų goots'an ąhtsii gwinyąą ąįį Pharisee nąįį gwigwiitth'ak .
43:4:002:0	Jesus ąįį chųų gwats'an ąhtsii kwaa gaa vitsyaa nąįį t'ii'in ąįį t'agoogwahnyąą .
43:4:003:0	Jesus nijin jyaa digwinyąą gwiitth'ak dąį' , Judea nahkat gihłeehoozhii ts'ą' Galilee nahkat gwits'eehoozhii ,
43:4:004:0	Samaria nahkat t'ee , Galilee gwats'ą' hee goo'aii ts'ą' zhat gehgoo haazhii .
43:4:005:0	Jesus Samaria nahkat gwizhit kwaiik'it Sychar goozhii k'idik . Deenaadąį' izhit geeghaih t'ee Jacob didinji' Joseph nan intł'eiin'ąįį goo'aii .
43:4:006:0	Izhit t'ee Jacob vichųų deek'it goo'aii ąįįts'ą' Jesus niighyuk niinzhii ts'ą' cheendak ts'ą' zhat chųų tr'oonjii deek'it eeghaii naadii . Drin tł'an gweedhaa gwiizhit .
43:4:007:0	Samaria gwats'an tr'injaa zhat chųų hoondal eenjit k'idik ts'ą' Jesus jyaa yahnyąą , “ Chųų shintł'eiinkaii . ”
43:4:008:0	( Vitsyaa nąįį kwaiik'it shih gooheekwat eenjit nigijyaa gwiizhit . )
43:4:009:0	Ąįį tr'injaa jyaa yahnyąą , “ Jews nąįį tee gwats'an iinlii , shįį ąįį Samaria gwats'an ihłii , jaghaii chųų shaiinyąą t'iinyąą ? ” ( Jews nąįį duuyeh gaa Samaria gwich'in nąįį k'it zhit ch'aga'aa ) .
43:4:010:0	Jesus jyaa yahnyąą , “ Vit'eegwijyąhchy'aa jidii neenjit di'įį gaanandaii akwat juu ihłii shaanandaii ji' , oohaahkat ts'ą' chųų gwandaii nintł'eeheekaa . ”
43:4:011:0	Ąįį tr'injaa jyaa yahnyąą , “ Tyah ni'įį kwaa , nanzhit k'iizhak chųų ts'ą' niighit . Nijin chųų gwandaii oohiindal t'iinyąą ?
43:4:012:0	Yeenii diilak Jacob jii chųų deek'it diinantł'eegwiin'ąįį ; adan , didinji' , dinin nąįį haa datthak gwats'an chųų geenį' . Jacob vandaa neegoo'aii yiindhan lee t'iinyąą ? ”
43:4:013:0	Jesus jyaa yahnyąą , “ Juu dząą chųų eenį' t'ee chan hee chųų haał'yaa .
43:4:014:0	Gaa juu chųų vintł'eiinkaii duuyeh chan chųų dahłįį neelii . Ąįį chųų vintł'eehihkaa ąįį vizhit han gwinjik chųų ninlaii k'it t'inchy'aa ts'ą' khit yaa gweheendaii . ”
43:4:015:0	Ąįį tr'injaa jyaa nyąą , “ Jii chųų t'avaiinyąą shintł'eiinkaii ! Ąįį ji' chan chųų haał'yaa kwaa , akwat chan dząą chųų kaneehihdyaa kwaa . ”
43:4:016:0	Jesus jyaa yahnyąą , “ Oo'an neehindii ts'ą' nakąį' , oo'ee nąąhchįį . ”
43:4:017:0	Ąįį tr'injaa jyaa yahnyąą , “ Shakąį' kwaa t'oonchy'aa . ” Jesus jyaa nyąą , “ Nakąį' kwaa diinyąą dąį' łyaa t'iinyąą łee .
