43:7:001:1	Jesus , Dachaa Nąįį Haa
43:7:001:0	Jii ąįįtł'ęę , Jesus Galilee nahkat datthak neehidik ; Judea nahkat ąįį gwats'ą' neehidik gitr'ii'ee , Jews kįh dilk'ii nąįį giiyuukhwaa giindhan geh'an .
43:7:002:0	Dinjii chan hee khaihłan niheedaa ts'ą' ąįį eenjit niighit kwaa Israel nąįį tr'ał zheh googwahahtsyaa nineegweedhat ( Tabernacles googahnyąą ) .
43:7:003:0	Ąįįts'ą' t'ee Jesus vachaa nąįį jyaa yahnyąą , “ Dzaa gihłeehinkhaii ts'ą' Judea nahkat gwats'ą' hinkhaii , zhit deeni'in kwaii nitsyaa nąįį googwahąąh'yaa eenjit .
43:7:004:0	Ch'ihłak gwinzii shaagoondaii niindhan gwiizhit duuyeh dee'in nagwąąh'įį . Jyaa dini'in akwat jii nankat datthak naagweheendaii gwahtsii . ”
43:7:005:0	( vachaa nąįį gaa giik'iinjiighit kwaa ) .
43:7:006:0	Jesus jyaa goovahnyąą , “ Tth'aii gwats'ą' hihshyaa eenjit gwinzii zhat shaa nigwiighit kwaa . Nakhwan ąįį nijin ji' hohjyaa gaa gwinzii .
43:7:007:0	Jii nankat nąįį juu datthak sheet'iindhan kwaa gaa gootr'agwaanduu gwanlii goovaihnyąą geh'an , nakhwan ąįį jyaa nakhwagahthan kwaa .
43:7:008:0	Nijin dinjii khaihłan niinjil gwats'ą' hohjyaa ts'ą' ch'oh'aa . Shįį ąįį zhat nihihshyaa kwaa . Gwats'ą' hihshyaa eenjit tth'aii gwinzii zhat shaa nigwiighit kwaa . ”
43:7:002:1	Jesus , Tabernacles Ch'aga'aa Gwats'ą' Haazhii
43:7:009:0	Jyaa diinyą' ąįįtł'ęę t'ee adan ąįį Galilee dhidii .
43:7:010:0	Vachaa nąįį dinjii khaihłan niinjil gwats'ą' gahaajil ąįįtł'ęę Jesus gweentak gootąįį haazhii .
43:7:011:0	Jews kįh dilk'ii nąįį dinjii khaihłan niinjil tee giiyinkeegwaah'in , “ Adaajii t'inchy'aa ? ” giiyahnyąą .
43:7:012:0	Datthak dinjii khaihłan niinjil tee dagaadzit ts'ą' giiyeeginkhii . Goolat nąįį , “ Dinjii nizįį t'inchy'aa giiyahnyąą ! ” Goolat nąįį , “ Akwaa , dinjii nan'ee t'inchy'aa ! ” giiyahnyąą .
43:7:013:0	Gaa ch'ihłak gaa gwandah giiyeeginkhii kwaa , Jews kįh dilk'ii nąįį agąąnjat geh'an .
43:7:014:0	Drin dǫǫ gwizhit datthak ch'aga'aa ndaanagąąhjik gwiizhit Jesus Kharigidiinjii Zhee Gwachoh gwizhit nihdeiinzhii ts'ą' geech'ǫąąhtan . ( Drin nihk'iidǫǫ gwizhit datthak dinjii ch'aga'aa )
43:7:015:0	Jews kįh dilk'ii nąįį eenjit geegagoolii kwaa t'inyąą ts'ą' jyaa ginyąą , “ Jii dinjii gooltin kwaa gwiizhit deegwiłtsii gwandaii t'inyąą ? ”
43:7:016:0	Jesus jyaa goovahnyąą , “ Jidii eech'oaałtan shats'an t'igwinyąą kwaa gaa Vit'eegwijyąhchy'aa shihił'e' vats'an t'ihnyąą .
43:7:017:0	Juu Vit'eegwijyąhchy'aa doo'ya' yuunyąą gwik'it t'inchy'aa ąįį t'ee jidii eech'oaałtan ąįį Vit'eegwijyąhchy'aa vats'an t'igwii'in akwat shats'an t'igwii'in ji' eenjit gaaheendaii .
43:7:018:0	Juu deeyiindhan zhrįh gwik'it geech'ǫąąhtan t'ee zhyaa sharahoh'e' niindhan , juu yihił'e' ąįį eenjit hil'ee niindhan ąįįt'ee łi'didlii nilii ts'ą' oots'it t'inyąą kwaa .
43:7:019:0	Deenaadąį' Moses va-law nakhwantł'in'ąįį , t'oonchy'aa . Nakhwatee ch'ihłak gaa Law k'eegwahthat kwaa . Jaghaii geenjit shęhdaa tr'agǫh'aa geetr'agoh'in ? ”
43:7:020:0	Izhit zhat dinjii lęįį nąįį jyaa ginyąą , “ Nizhit ch'anky'aa iizųų dhidii ! Juu nęhdaa tr'igwihee'aa gwik'eegwandaii t'igwii'in ? ”
43:7:021:0	Jesus jyaa goovahnyąą . “ Gwitr'it gwinzii ch'ihłak t'agwał'ya' ts'ą' datthak nakhwandaa t'igwiizhik .
43:7:022:0	Moses nakhwagii chyaatsal vadhah gihłeehoht'ii nakhwaihnyąą geh'an Neegwaazhii Drin chyaatsal vadhah gihłeehoht'ii , ( Moses ąįį nakwaa gaa yeenii nakhwalak nąįį tr'ookit khagwigwiin'ąįį . )
43:7:023:0	Moses va-law łeehaanaii kwaa eenjit chyaatsal Neegwaazhii Drin vadhah gihłeerahaht'ii goo'aii ji' jaghaii Neegwaazhii Drin dinjii ts'ą' tr'iinjik eenjit shats'ą' nakhwak'įį gwanlii ?
43:7:003:1	Jesus Lee Christ T'inchy'aa ?
43:7:024:0	Dinjii gwiizųų t'ii'in dohnyą' shrǫ' , nijin gwinzii t'ii'in dąį' , K'eegwaadhat jyaa dagoo'ya' shrǫ' diinoohnyąą ! ”
43:7:025:0	Jerusalem gwich'in lat nąįį jyaa diginyąą , “ Jii dinjii lee giihaahkhwaa geegwitr'it t'agoogwah'in chy'aa ?
