43:5:001:1	Dinjii Chųų Teełtin Eeghaii Shranaazhik
43:5:001:0	Jii ąįįtł'ęę Jerusalem gwizhit Israel nąįį ch'ara'aa googwahtsii izhit Jesus gwats'ą' haazhii .
43:5:002:0	Izhit divii deek'it goo'aii geeghaih chųų dhakaii goo'aii , ąįį eelin zheh gwatsal ch'ihłoanli' goodlii ; Hebrew ginjik zhit Bethzatha goozhii .
43:5:003:0	Ąįį zheh gwadąįį gwizhit iłts'ik lęįį nąįį k'igilt'aii , vandee kwaa , neehidik kwaa akwat vatthąį' iłchįį nąįį . ( Chųų hee tł'ak eenjit nagogwal'in ;
43:5:004:0	neegwiidhak hee K'eegwaadhat vizheekat gwich'in chųų zhit neediidhak ts'ą' chųų atł'ak gwahtsii . Juu tr'ookit iłts'ik chųų atł'ak zhit gwizhyahkhat t'ee veenjit gwinzii neegwiilik . ) .
43:5:005:0	Izhit dinjii ch'ihłak dhidii , 38 years łąą iłts'ik .
43:5:006:0	Jesus zhat k'ilt'aii niyiił'in ts'ą' niighyuk iłts'ik yaandaii ; ts'ą' jyaa yahnyąą , “ Sheenjit gwinzii neegooli' niindhan ? ”
43:5:007:0	Ąįį dinjii jyaa nyąą , “ Juu chųų zhit shahahchyaa gaashandaii kwaa ; chųų atł'ak dąį' gwizhit hihshyaa gwik'eegwihdaii gwiizhit sharahtee dinjii gwizhyahkhat geh'an . ”
43:5:008:0	Jesus jyaa yahnyąą , “ Ndak niindhat , nichyah oiinjii ts'ą' inkhaa . ”
43:5:009:0	Izhit zhat ąįį dinjii veenjit gwinzii neekhwadlit gwagwahkhan dichyah oonjik ts'ą' ahaa ( tr'iinzhii ) . Izhit Neegwaazhii Drin goo'aii ,
43:5:010:0	ts'ą' Israel kįh dilk'ii nąįį ąįį dinjii shranaazhik jyaa agahnyąą , “ Juk Neegwaazhii Drin t'oonchy'aa , dii-law zhit nichyah k'eehin'ak kwaa goo'aii gwinyąą . ”
43:5:011:0	Jyaa gavahnyąą , “ Ąįį dinjii sheenjit gwinzii neegwiłtsąįį jyaa shaiinyą' , ‘Nichyah oiinjii ts'ą' inkhaa . ’ ”
43:5:012:0	Jii giiyųąhkat , “ Jii dinjii nichyah oiinjii ts'ą' inkhaa nahnyąą ąįį juu t'inchy'aa ? ”
43:5:013:0	Gaa ąįį dinjii shranaazhik ąįį juu t'inchy'aa yaandaii kwaa , tr'ihkhit dinjii gwanlii tee gwa'an gwiteiinzhii geh'an .
43:5:014:0	Ąįįtł'ęę gwandaa Jesus ąįį Kharigidiinjii Zheh Gwachoh gookwantee gwizhit yats'ą' tr'ineezhii ts'ą' jyaa yahnyąą , “ Et'ee neenjit gwinzii akwat natr'agwaanduu akhagoiinyąą , ąįį akwaa ji' gwandaa nidivee gwiizųų gweheelyaa . ”
43:5:002:1	Gwidinji' Vik'iighai' Gwarandaii Tr'ihee'yaa
43:5:015:0	Ąįį dinjii ąįį Jews kįh dilk'ii nąįį ts'ą' haazhii ts'ą' Jesus oozhii ąįį yats'ą' tr'iinjik gavaa gwaandak .
43:5:016:0	Izhit gwats'an t'ee Jews kįh dilk'ii nąįį Jesus tr'ookhwaa giindhan , Neegwaazhii Drin dinjii shrineiinlik geh'an .
43:5:017:0	Jesus jyaa gavahnyąą , “ Shiti' khit gwitr'it t'agwah'in , ąįįts'ą' shįį chan gwitr'it t'agwał'in gwat'aałchy'aa . ”
43:5:018:0	Jii jyaa diinyą' gwats'an t'ee łyaa geenjit tr'ookhwaa giiyuunyąą . Neegwaazhii Drin gwa-law łeełnaii gwizhrįh geenjit nakwaa gaa Vit'eegwijyąhchy'aa Shiti' nyąą ts'ą' jyąhts'ą' Vit'eegwijyąhchy'aa vagwahtsii veegoo'aii k'it t'inchy'aa geh'an .
43:5:019:0	Ąįįts'ą' Jesus jyaa gavahnyąą : “ Łi'didlii haa nakhwaa gwahaldak , Gwidinji' duuyeh adakhai' k'eegwiichy'aa t'ii'in , Viti' dee'in gwąąh'in izhit gwizhrįh gwik'it t'ii'in . Gwiti' dee'in , Gwidinji' chan gwik'it t'ii'in t'oonchy'aa .
43:5:020:0	Gwiti' , Didinji' eet'iindhan ts'ą' dee'in datthak yats'ą' googwaahch'in . Jii dinjii shrineiinlik ąįį gwandaa yats'ą' googwahahchy'aa t'avarahnyąą ts'ą' geegwaroolii kwaa lęįį nakhwandaa t'ihee'yaa .
43:5:021:0	Gwiti' , dinjii niindhat nąįį ineegwahdaii . Izhit gwik'it Gwidinji' chan juu niindhan nąįį gwandaii intł'ineehee'aa t'avarahnyąą .
43:5:022:0	Gwiti' adan zhrįh dinjii eenjit k'eegwaadhat kwaa t'inchy'aa . Gaa Didinji' chan dinjii datthak eenjit k'eegwaadhat eenjit gwiłtsąįį ,
43:5:023:0	Gwiti' deegwiłtł'oo tr'ihił'ee gwik'it Gwidinji' chan tr'ahah'aa eenjit . Juu Gwidinji' hił'ee kwaa t'ee Gwiti' yihił'e' ąįį chan hił'ee kwaa t'agwarahnyąą .
43:5:024:0	“ Jii t'ee łi'didlii nakhwaa gwahaldak : Juu shiginjik diitth'ak ts'ą' juu shihił'e' k'injiighit ąįįt'ee gwandaii ndaanąą'ąį' kwaa hee'yaa . Ch'adąį' hee niindhat gwats'an neegwiindaii geh'an Ch'aroahkat Drin zhit ji' duuyeh an ilii .
43:5:025:0	Jii t'ee łi'didlii nakhwaa gwahaldak : khaiinjii zhat nigwiindhat , ch'adąį' hee zhat nigwiindhat , zhit juu niindhat nąįį Vit'eegwijyąhchy'aa Vidinji' giheetth'ak ts'ą' juu yiitth'ak gweheendaii .
43:5:026:0	Gwiti' dinjii ineegwahdaii eenjit t'aih dii'įį , izhit gwik'it Vidinji' chan dinjii ineegwahahdaii eenjit t'aih intł'eiin'ąįį .
43:5:027:0	Ąįįts'ą' Vidinji' ąįį dinjii ts'ą' k'eegwahaadhat eenjit t'aih yintł'eiin'ąįį , Gwidinji' nilii geh'an .
43:5:028:0	Jii nakhwarahtee t'agǫǫnjyaa shrǫ' ; zhat nigwiighit juu tth'ank'it gwizhit niindhat nąįį datthak nijin giiyeheetth'ak .
43:5:003:1	Juu Jesus Nilii ts'ą' Dee'in Yeeginkhii Nąįį
43:5:029:0	Nijin giiyiitth'ak ji' t'ee tth'ank'it khagiheedaa zhit juu gwinzii t'ee'ya' khaneegiheedaa ts'ą' neegwigweheendaii , zhit juu vigwitr'it gwiizųų nąįį chan , khaneegiheedaa ts'ą' goorahahkat . ”
43:5:030:0	“ Duuyeh shakhai' k'eegwiichy'aa t'ishi'in ; Vit'eegwijyąhchy'aa jyaa shahnyąą ji' gwizhrįh dinjii ts'ą' k'eegwahaldhat , shįį deegoochy'a' nihthan gwizhrįh gwik'it goo'aii kwaa gaa Shiti' shihił'e' ąįį deegoochy'a' niindhan izhit gwik'it goo'aii .
43:5:031:0	“ Nijin ideenjit giihkhii dąį' zhit deihnyąą ąįį shats'an gwizhrįh t'igwinyąą kwaa .
43:5:032:0	Gaa zhit juu sheenjit ginkhii ts'ą' deeshahnyąą ąįį łi'didlii nilii gaashandaii .
43:5:033:0	Ąįį yihił'e' nąįį John ts'ą' nanoozhik ąįįts'ą' łi'didlii haa gavaa ginkhe' .
43:5:034:0	Dinjii andah t'iinyą' hįhjyaa gwat'aałchy'aa kwaa ; neekhwazhii ji' eenjit gwizhrįh jyaa dihnyąą t'ihnyąą .
43:5:035:0	John adrii ts'ą' gach'ahdrii k'it t'inchy'aa , ch'ihłee gwizhrįh va'aadrii eet'oonghya' .
43:5:036:0	Gaa jii diihnyąą datthak John deiinyą' andaa gwihil'ee t'ihnyąą . Jidii gwitr'it t'agwał'in t'ee Shiti' geegwitr'it t'agoh'ya' shoonyąą shi'in , izhit deeshi'in gǫǫh'ya' ! Gwik'iighai' t'ee Gwiti' shihił'e' gwigweheechy'aa .
43:5:037:0	Ąįįts'ą' Gwiti' shihił'e' , ąįį nakhwandaa sheeginkhe' . Gwehkįį dohtth'ak kwaa , vinin gaa nǫh'in kwaa ,
43:5:038:0	nakhwadrii zhit viginjik dhoh'ąįį chan kwaa , juu hił'e' ąįį k'injuhkhit kwaa geh'an .
43:5:039:0	Dęhtły'aa Choh kat aakin gǫǫ'įį , gwandaii ndaanąą'ąį' kwaa gaayiitr'ahaatsyaa nohthan geenjit . Ąįįt'ee vizhit shįį sheegirinkhii t'igwinyąą !
43:5:040:0	Ąįį googaa gwandaii khwa'yaa eenjit shįį shats'ą' hohjyaa kwaa .
43:5:041:0	“ Dinjii shihił'ee akwat shihił'ee kwaa nąįį adan goots'an t'oonchy'aa .
43:5:042:0	Gaa shįį łyaa nakhwaashandaii ; nakhwadrii zhit Vit'eegwijyąhchy'aa veenjit ch'eet'igwiniindhan khwa'įį kwaa .
43:5:043:0	Shiti' voozhri' zhit dząą gwats'ą' hoiizhii gaa shik'iinjuhkhit kwaa ; gaa ch'izhii dinjii doozhri' zhit nakhwats'ą' neiinzhii ąįį vik'injahohkhit .
43:5:044:0	Nihłeenjit khadhoo'ee łyaa geet'ohthan , gaa Vit'eegwijyąhchy'aa ch'ihłak zhrįh nilii ąįį hil'ee di'įį ąįį geenjit ninjich'ǫhthat kwaa . Jii kwaii jyaa dohchy'aa gwiizhit nats'ąą gwik'iinjuhohkhit ?
43:5:045:0	Gwiti' vandah gwiizųų t'ahǫǫ'ya' nakhwahaihjyaa nohthan kwaa . Moses , vit'injyaahchy'aa ąįį jyaa t'ihee'yaa .
43:5:046:0	Moses łyaa vik'injuhkhit ji' , shįį chan shik'iinjuhkhit haa nihk'it t'oonchy'aa , deenyąą t'ee shįį sheeginkhii t'inyąą .
43:5:047:0	Gaa deenaadąį' Moses deenyąą ts'ą' gwadąąntł'oo ąįį gwik'iinjuhkhit kwaa akwat gwiizhit nats'ąą shiginjik k'injihohkhit ? ”
