9:23:001:1	Kii'áílahgi áádóó honoojíidi David naaghá
9:23:001:0	Áádóó David yił dahoolne'go ádaaní, Shoo, Filístiya dine'é éí Kii'áílah kin haal'áagi yik'iijée'go ha'ínída'al'isígi haghada'iis'nil. 
9:23:002:0	Éí bąą David éí Bóhólníihii náyooskango ání, Filístiya dine'é bich'į' deeshbahgo nideestsiłgoósh t'áá áko? Áko Bóhólníihii éí David áyidííniid, Nílááh, Filístiya dine'é naniłtseedgo Kii'áílah dine'é yisdánínííł. 
9:23:003:0	Áádóó David bidiné ádadííniid, Jó, Júdah kéyahgi nidi t'áá íiyisí nídeiildzid, ákoshą' hait'éego Kii'áílah kin haal'áágóó diikahgo Filístiya dine'é bisiláo bik'iidiijah? 
9:23:004:0	Áádóó David éí Bóhólníihii nínááyooskan. Nít'éé' Bóhólníihii áhodííniid, Dah diináahgo Kii'áílah kin haal'áá góyaa dínááh, háálá áadi Filístiya dine'é nílák'ee deeshnił. 
9:23:005:0	Áko David índa diné yił naakaígíí Kii'áílah kin haal'áá góyaa yíkaigo Filístiya dine'é yik'iijée'go nideistseed áádóó dabilį́į́' yits'ą́ą́' adeineeskaad, áko David éí Kii'áílah kin haal'áagi kéédahat'íinii yisdááyíínil. 
9:23:006:0	Ahímelek biye' Abáíyathar éí David yikéé' eelwodgo Kii'áílah kin haal'áágóó íífad wolyéii yoołtsosgo David yich'į' níyá. 
9:23:007:0	Áko, Kii'áílahgi David jiníyá, ha'níigo Saul yił dahoolne'. Áádóó Saul ádííniid, Diyin God shílák'ee hodíí'ą́, háálá kintahgi dáń'dadilkał índa bich'ą́ą́h dah nídaatį́įhii hólónígi yah ajííyá. 
9:23:008:0	Áádóó Saul éí diné t'áá a łtso áłah áyiilaago Kii'áílah góyaa hidiikahgo David áádóó diné yił naakaígíí binídiilzhish daniizį́į́'. 
9:23:009:0	Áko Saul t'áá nahont'inee David bizh'niiłhínígíí bił bééhoozingo Abáíyathar náá'iiłniihii áyidííniid, Íífad wolyéii wóshdę́ę́' de'níłtsóós. 
9:23:010:0	Áádóó David ázhdííniid, Ízrel biBóhólníihii Diyin God, ná naal'a'í nishłíinii éí Saul shíká dínéeztą́ą'go Kii'áílah kin haal'áajį' doogáałgo baa hodiséts'ą́ą́'. Éí shiniinaa kin haal'áhígíí ábizhniiłdįįd lá. 
9:23:011:0	Kii'áílahdóó dine'éésh hálák'ee dashdidoo'ááł? T'áá baa hodisíts'ą́'ígi át'éegoósh Saul doogááł? Ízrel dine'é biBóhólníihii Diyin God nílíinii, nánooshkąąh, ná naal'a'í nishłíinii shił hólne'. Áádóó Bóhólníihii ádííniid, Éí doogááł. 
9:23:012:0	Áádóó David ádííniid, Da' Kii'áílah dine'éésh éí shí áádóó diné shił naakaígíí Saul yílák'ee danihididoo'ááł? Áádóó Bóhólníihii ádííniid, Yílák'ee danihididoo'ááł. 
9:23:013:0	Áko David áádóó diné hoł naakaígíí hastą́ądi neeznádiin daats'í yilt'éego nídiijée'go Kii'áílah kin haal'áádóó t'áá ooleełjigo aheeskai. Áko David éí Kii'áílahdóó dah náázdiidzáago Saul bił hóone'go t'áadoo ákǫ́ǫ́ deeyáa da. 
9:23:014:0	Áádóó David éí honoojíidi bidziilgo nahaz'ą́ągi dziłtahdi Zif honoojí nahont'ingi nijigháá nít'éé'. Áko Saul t'áá ákwíí jį́ ch'ééh hákantá, nidi Diyin God éí t'áadoo yílák'ee hodíí'ą́ą da. 
9:23:015:0	Áko David éí Saul hákantáago hoł bééhoozin. David éí Zif honoojíigi tsintahgi nijigháá nít'éé'. 
9:23:016:0	Áádóó Saul biye' Jánathan nídii'na'go tsintahdi David yaa níyáago Diyin God binahjį' chánah ánáhojiidlaa. 
9:23:017:0	Áádóó áhozhdííniid, T'áadoo nił yé'í, háálá shizhé'é Saul doo shóniidoołt'eeł da, áko Ízrel dine'é aláahgo binanit'a'í dííleeł, índa shí éí t'áá nikéé' góne' sézį́į dooleeł; díí shizhé'é Saul ałdó' bił bééhózin. 
9:23:018:0	Áádóó Bóhólníihii binááł ahazhdeet'ą́ągo David éí t'áá tsintah hodíłch'ilgi nijigháago Jánathan bighangóó anáádzá.  
9:23:019:0	Ákohgo Zif honoojí dine'é éí Gíbiyah kin haal'áagi Saul yaa yíkaigo kódaaní, Bidziilgo nahaz'ą́ądi tsintah hodíłch'ilgi David nant'in; Hakáílah yanáalk'idígi Jiisháíman honoojíhígíí shádi'ááhjí nant'in. 
9:23:020:0	Éí bąą k'ad, aláahgo naat'áanii nílíinii, kodi nínááh. Nii' sizíinii t'áá át'é bee íinínízingo kodi nínáahgo nihí ałdó' naat'áanii nílíinii nílák'ee dahodidiit'ááł. 
9:23:021:0	Áádóó Saul ání, Bóhólníihii nihik'ijidlíi le', háálá shaa a'ááh danoozį́į́'. 
9:23:022:0	Nílááh, wohkah, baa nánihooshkąąh, áko nínádít'į́hígi nihił béédahodoozįįł áádóó háishą' áadi biiłtsą́, háálá éí diné ayóogo bina'adlo'go shił hóóne'. 
9:23:023:0	Éí bąą hádahósídóo'į́į'go nínádít'į́hígóó ts'ídá hazhó'ó nihił béédahodoozįįł, áádóó t'áá yíní át'éegi nihił béédahoozingo shaa nínáádoohkahgo ákǫ́ǫ́ nihił deeshkah. Áko éí bik'ijį' t'áá aaníí éí kéyah bii' nijigháago Júdah dine'é mííl yilt'éhígíí bitahgóó hahodínéeshtaał. 
9:23:024:0	Áko nídiijée'go Zif honoojíígóó Saul yilą́ąjį' eekai, nidi David áádóó diné bił naakaígíí Méíyan honoojíidi naaldeeh; éí Jiisháíman honoojíhígíí shádi'ááh nahós'a'jí áhoolyé. 
9:23:025:0	Saul áádóó diné bił naakaígíí háká dadínéeztą́ą́' ha'níigo David hoł hóóne'. Éí bąągo tsékoohjigo ajoolwodgo Méíyan honoojíigi nijighá. Áádóó Saul díí dzidiizts'ą́ą'go Méíyan honoojítahgóó David bikéé' adziyoodzá. 
9:23:026:0	Áko Saul áádóó diné bił naakaígíí łahjí dził yąąh híijéé'; David áádóó diné bił nijikaígíí ałdó' łahjí ííjéé'. Áko David éí Saul bik'ee hoł yée'go tsxį́įłgo bił ch'ídiijah jinízin, háálá Saul áádóó diné bił naakaígíí hoł nidadoodił biniyé k'adę́ę honát'ih. 
9:23:027:0	Áko naal'a'í ła' Saul yaa níyáago ání, Sołtį', tsxį́įłgo ánít'į́, háálá Filístiya dine'é siláo nihikéyah yaatįįh yikai lá. 
9:23:028:0	Ákohgo Saul éí David bikéé' joojah yę́ędóó t'ą́ą́' dah nízhdiijée'go Filístiya dine'é bich'į' anaa' hodzisłį́į́'. Éí bąą éí tsékoohgi Tsé Baa Ats'á'ooldee'ii hoolyée doo, hodoo'niid. 
9:23:029:0	Áko David áádę́ę́' diné bił ch'ééjíkaigo t'áá ákwii Engíídai nahós'a'gi tsétahgi bidziilgo nahaz'ą́ą́góó kéédahojit'į́į́ nít'éé'.
