9:30:001:1	David éí Ámalek dine'é yik'eh deesdlį́į́'
9:30:001:0	Áko táá' yiską́ągo David áádóó diné hoł naakaígíí bił Zíklag kin haal'áagi jíkaigo Ámalek dine'é éí shádi'áahjigo kéyah áádóó Zíklag kin haal'áii yaatįįh yikai; Zíklag dine'é yik'eh dadeesdlį́į'go kin haal'áii adeideesk'ą́ą́'. 
9:30:002:0	Áko sáanii áádóó ákwii kéédahat'íinii t'áá ałtso deisnáago t'áá dahóyáanii índa áłchíní danilíinii t'áadoo ła' dayiisxį́į da, nidi dah deidii'eezhgo anídeezh'eezh. 
9:30:003:0	Áko David índa diné hoł naakaígíí éí kin haal'áajį' yíkai, nít'éé' jó, kin haal'áhígíí adoolk'ą́ą́' lá. Bida'asdzą́ą́ áádóó dabiye'ké índa dabitsi'ké yisnááh ádaalyaa lá. 
9:30:004:0	Ákohgo David áádóó diné hoł naakaígíí hoł hadadeeshghaazhgo dajíícha; t'áá hó daznízinjį' dajíícha. 
9:30:005:0	David hwe'asdzą́ą́ nidilt'éhígíí ałdó' yisnááh ályaa lá. Ahínowam éí Jézriyeldóó naaghá, Ábigeil bąąh áhásdįįdii Néíbal be'asdzą́ą́ nít'éé' yę́ę éí Kármeldóó naaghá. 
9:30:006:0	Áko David t'áá íiyisí ádił niseedzá; jó, diné hoł nidazdoołniiłgo yádaałti', háálá diné t'áá ałtso dabiye'ké índa dabitsi'ké yąąh dabíni'. Nidi David éí Bóhólníihii haDiyin God binahjį' hadziil ízh'diilyaa. 
9:30:007:0	Áko David éí Ahímelek biye' Abáíyathar náá'iiłniihii nilíinii áyidííniid, Íífad wolyéii de'níłtsóós, baa nánooshkąąh. Ákohgo Abáíyathar éí íífad David yeiníłtsooz. 
9:30:008:0	Áko David éí Bóhólníihii náyookąąh, Da' díí dabi'disnánígíísh bikéé' nídiishyeed? Da' shónídeideesht'eełísh? Nít'éé' áhodííniid, Bikéé' nídiilyeedgo t'áá aaníí t'áá ałtso shónéidííłt'eeł. 
9:30:009:0	Ákohgo David dah diiyá, áádóó diné hastą́ądi neeznádiingo hoł naakaígíí ałdó' bił dashdiikai. Bíísor tó nílínígi jíkaigo ła' t'áá ákwii nizhnínil. 
9:30:010:0	Nidi David áádóó diné dį́įdi neeznádiin ánéelą́ą'go hwe'ana'í bikéé' ahijookai, nidi diné naakidi neeznádiin yilt'éego nídínéeskaigo Bíísor tó nílínígíí ha'naagóó dookahígíí doo yídáághahgóó t'áá ákwii naháaztą́. 
