9:11:001:1	Saul éí Áman dine'é yik'eh deesdlį́į́'
9:11:001:0	Áman dine'é ła' Néíhash yolyéego bidine'é yił Jéíbesh-gíliyad kin haal'áhígíí bich'į' anaa' ádahodoolíiłgo yik'ijį' danilį́įgo yinaagóó nidahaazná, áádóó Jéíbesh dine'é t'áá ałtso Néíhash ádeidííniid, Nihił ahadi'nít'aahgo ná nideiilnish doo. 
9:11:002:0	Nidi Néíhash éí Áman dine'é nilíinii Jéíbesh dine'é ábizhdííniid, Díí áhoot'éhígíí bee nihił ahadadi'nisht'ą́ągo danihináá' nish'náájíígíí habídi'yeeshxish, áko índa Ízrel dine'é t'áá ałtso baa yáhásinígi íishłaa doo. 
9:11:003:0	Jéíbesh dine'é yá aląąjį' naazíinii ádadííniid, Tsosts'id jį́ nihadi'ní'aahgo Ízrel dine'é bitahgóó t'áá át'é hane' ádadiilnííł. Doo ła' yisdánihónííł át'éégóogo éí t'óó naa ádadidiit'ááł. 
9:11:004:0	Ákohgo Saul bikin haal'áii Gíbiyah kin haal'áadi nidaal'a'í hane' haa deiz'ą́ągo diné t'áá ałtso bee bił dahóóne' áádóó diné t'áá ałtso hadadeeshghaazhgo dááchxa. 
9:11:005:0	Áko dá'ák'ehdę́ę́' Saul éí béégashii bee nihwiildlaadii bikéé' níjoodáałgo ázhdííniid, Dinéshą' bich'į' haa dahóót'įįdgo daachxa? Ákohgo Jéíbesh dine'é baa hane' yee hoł dahoolne'. 
9:11:006:0	Áko Diyin God biNíłch'i Saul bik'i hoole'go hane' yidiizts'ą́'ígíí bik'ee ayóó át'éego báhóóchįįd. 
9:11:007:0	Saul éí béégashii bee nihwiildlaadii neistseedgo niyiishgizh, áko naal'a'í danilíinii éí Ízrel dine'é kéédahat'į́į́góó adayiizhjaa'go ádaaní, T'áá háiida Saul índa Sámuel doo bikéé' dashdiiyáhígíí éí habéégashii ałdó' bich'į' ákóhodoonííł. Ákohgo diné éí ayóó át'éego Bóhólníihii yik'ee bił yéé' dahazlį́į'go t'áá łahjį' ch'íníjéé'. 
9:11:008:0	Áko Bíízek kin shijaa'jį' diné ch'íheezhjé'ígíí jííłta'; nít'éé' Ízrel dine'é éí táadi neeznádiindi mííl yilt'éé lá, índa Júdah dine'é éí tádiindi mííl lá. 
9:11:009:0	Áko naal'a'í yíkaígíí ádeiłní, Jéíbesh-gíliyad dine'é ádabididoohniił, Yiską́ągo honiigaigo yisdádoohkah. Áko naal'a'í yíkaigo Jéíbesh-gíliyad dine'é hane' yee yił dahoolne'go t'áá íiyisí yaa bił dahóózhǫǫd. 
9:11:010:0	Éí bąą Jéíbesh dine'é éí Néíhash ádeidííniid, Yiską́ągo t'áá nihí t'óó nihich'į' diikahgo t'áá nihí danohsinígi ádanihidoohłííł. 
9:11:011:0	Áko náábiiskání Saul éí diné táa'go dah yinéełgo áyiilaa, áádóó baa jíishjée' doo biniyé Áman dine'é dah deínéhígi abínígo jíkai, áko ałníní'ą́ąjį' bik'i jiijée'go nidadzistseed; ch'éékaígíí éí taozhjée'go nidilt'é nidi doo ła' t'ááłáhígi naa'aash da nít'éé'. 
9:11:012:0	Ákohgo Ízrel dine'é éí Sámuel ádeidííniid, Háishą' ánihiłní, Da' Saul wolyéiísh nihinant'áa doo? Éí diné ádanihizhdííniidígíí náhodii'éeshgo nidahodiiltsxił. 
9:11:013:0	Nidi Saul ání, Díí jį́ diné doo ła' diyoolyéeł da, háálá díí jį́ Bóhólníihii éí Ízrel dine'é yee yisdádookahii áyiilaa. 
9:11:014:0	Nít'éé' Sámuel éí diné áyidííniid, Tį', Gílgal haz'ánígóó diikahgo áadi aláahgo bee óhólníihii ániidí áńdadiilnííł. 
9:11:015:0	Ákohgo diné t'áá ałtso Gílgalgóó dah diikai, áádóó Gílgalgi Bóhólníihii binááł Saul éí aláahgo naat'áanii ádayiilaa. Áadi nááhidoonihii hózhǫ́ǫ́jí nááhániihii Bóhólníihii binááł náádayiisnii', áko áadi Saul índa Ízrel dine'é t'áá ałtso ayóó át'éego bił dahóózhǫǫd.
